Table B-4: El,ectoral,Remedies Avai,lable Und,er State Vot,ing Righ,ts Acts
,,District Ranke,d Choice,Cumulative,Limited,General
State,Year,Elections Voting,/ STV,Voting,Voting,PR
Enacted,,,,,,
California,2002,E,I,I,I,I
Washington,2018,E,I,I,I,I
Oregon,2019,I,I,I,I,I
Virginia,2021,I,I,I,I,I
New York,2022,E,E,E,E,I
Connecticut,2023,E,E,E,E,I
Minnesota,2024,E,E,E,E,I
Colorado,2025,I,I,I,I,I
Maryland,2026,I,I,I,I,I
New Jersey,2026,E,I,I,I,I
Vermont,2026,I,I,I,I,I
Failed,,,,,,
Florida,2024,E,E,E,E,I
Michigan,2024,E,E,E,E,I
Missouri,2024,E,I,I,I,I
Illinois,2025,E,E,E,E,E
Texas,2025,E,E,E,E,E
Alabama,2026,E,E,E,I,I
Arizona,2026,∅,∅,∅,∅,∅
Georgia,2026,E,I,I,I,E
Louisiana,2026,E,I,I,I,E
Mississippi,2026,E,I,I,I,E
Oklahoma,2026,E,E,E,E,I
Rhode Island,2026,I,I,I,I,I
