Statistic,Mean S,t. Dev.,Median,Min,Max,N
Female,0.64,0.48,1,0,1,580
White,0.61,0.49,1,0,1,589
Black,0.18,0.39,0,0,1,589
Latino,0.07,0.26,0,0,1,589
Asian,0.04,0.19,0,0,1,589
Age,42.91,15.01,40,17,80,589
College educated,0.74,0.44,1,0,1,589
Income >90k,0.43,0.50,0,0,1,515
Homeowner,0.59,0.49,1,0,1,564
Democrat,0.75,0.43,1,0,1,589
Liberal,0.78,0.41,1,0,1,589
Attended meeting,0.43,0.50,0,0,1,589
Table C-3,: Sample,Descriptiv,e Statistics,", Wave",1,
Statistic,Mean S,t. Dev.,Median,Min,Max,N
Female,0.70,0.46,1,0,1,251
White,0.49,0.50,0,0,1,255
Black,0.29,0.45,0,0,1,255
Latino,0.10,0.30,0,0,1,255
Asian,0.04,0.20,0,0,1,255
Age,44.15,14.43,40,23,80,255
College educated,0.73,0.45,1,0,1,255
Income >90k,0.43,0.50,0,0,1,222
Homeowner,0.54,0.50,1,0,1,246
Democrat,0.79,0.41,1,0,1,255
Liberal,0.79,0.41,1,0,1,255
Attended meeting,0.35,0.48,0,0,1,255
