Table D-6: Predictors of Su,pport for Housing,Proposals without C,ompen
,No,With Interact,afforda
,covariates cov,ariates x hom,eowner
,(1),(2),(3)
Distance (km),0.053,0.078∗,0.077∗
,(0.035),(0.039),(0.039)
Affordable,0.069∗∗∗,0.086∗∗∗,0.113∗
,(0.017),(0.021),(0.034)
Homeowner,−,0.012,0.009
,,(0.041),(0.044)
Income,−,0.005 −,0.005
,,(0.006),(0.006)
"White, non-Hispanic",−,0.065 −,0.065
,,(0.054),(0.055)
"Black, non-Hispanic",−,0.218∗∗∗ −,0.218∗
,,(0.065),(0.065)
Hispanic,−,0.095 −,0.093
,,(0.075),(0.076)
College,−,0.062 −,0.061
,,(0.047),(0.047)
Liberal,,0.018,0.017
,,(0.040),(0.040)
Female,−,0.150∗∗∗ −,0.150∗
,,(0.034),(0.034)
Age,−,0.010 −,0.010
,,(0.007),(0.007)
Age squared,,0.00002,0.0000
,,(0.0001),(0.0001
Affordable*Homeowner,,−,0.043
,,,(0.042)
Constant,0.359∗∗∗,0.976∗∗∗,0.964∗
,(0.025),(0.152),(0.154)
Observations,"2,583","1,713","1,713"
R2,0.009,0.143,0.144
,,∗ ∗∗,∗∗∗
