,No,With Inte,ract price,Inte,ract pric
cov,ariates co,variates x aff,ordability x,for,m of com
,(1),(2),(3),,(4)
"Compensation, logged",0.038∗∗∗,0.033∗∗∗,0.054∗∗∗,,0.038∗∗
,(0.008),(0.009),(0.011),,(0.014)
Distance (km),0.036,0.065,0.068,,0.065
,(0.042),(0.047),(0.047),,(0.047)
Public benefits,0.042,0.032,0.032,,0.106
,(0.034),(0.036),(0.036),,(0.136)
Affordable,0.085∗∗∗,0.091∗∗∗,0.404∗∗,,0.091∗∗
,(0.021),(0.025),(0.124),,(0.025)
Homeowner,,−0.027,−0.027,,−0.027
,,(0.046),(0.046),,(0.046)
Income,,−0.009,−0.009,,−0.009
,,(0.007),(0.007),,(0.007)
"White, non-Hispanic",,0.051,0.047,,0.052
,,(0.061),(0.061),,(0.061)
"Black, non-Hispanic",,−0.100,−0.106,,−0.100
,,(0.075),(0.075),,(0.075)
Hispanic,,0.059,0.057,,0.060
,,(0.084),(0.085),,(0.084)
College,,−0.070,−0.069,,−0.071
,,(0.054),(0.053),,(0.054)
Democrat,,0.039,0.037,,0.039
,,(0.049),(0.049),,(0.049)
Female,,−0.145∗∗∗,−0.145∗∗∗,,−0.144∗∗
,,(0.038),(0.038),,(0.038)
Age,,−0.019∗∗,−0.020∗∗,,−0.019∗∗
,,(0.007),(0.007),,(0.007)
Age squared,,0.0001,0.0001,,0.0001
,,(0.0001),(0.0001),,(0.0001)
Compensation*Affordable,,,−0.043∗∗,,
,,,(0.016),,
Compensation*Public,,,,,−0.010
,,,,,(0.018)
Constant,0.115,0.982∗∗∗,0.834∗∗∗,,0.944∗∗
,(0.068),(0.185),(0.188),,(0.206)
Observations,"2,583","1,713","1,713",,"1,713"
R2 0,.021,0.167,0.171,,0.168
