,covariates cov,ariates cov,ariates c,ovariates
,(1),(2),(3),(4)
"Compensation, logged",0.091∗∗∗,0.085∗∗∗,0.028,0.036∗∗
,(0.018),(0.018),(0.014),(0.014)
Affordable,0.581∗∗,0.554∗∗,0.178,0.301
,(0.193),(0.194),(0.163),(0.159)
Public benefits,0.089,0.137∗,0.008,−0.020
,(0.059),(0.058),(0.050),(0.046)
Distance (km),,0.127,,0.028
,,(0.075),,(0.059)
Income,−,0.010,,−0.008
,,(0.012),,(0.009)
"White, non-Hispanic",,0.087,,0.024
,,(0.086),,(0.080)
"Black, non-Hispanic",,0.006,,−0.185
,,(0.105),,(0.099)
Hispanic,,0.139,,0.014
,,(0.145),,(0.113)
College,−,0.056,,−0.032
,,(0.087),,(0.083)
Liberal,−,0.011,,0.036
,,(0.084),,(0.061)
Female,−,0.229∗∗∗,,−0.106∗
,,(0.066),,(0.046)
Age,−,0.024,,−0.031∗∗
,,(0.014),,(0.010)
Age squared,,0.0002,,0.0002
,,(0.0002),,(0.0001)
Compensation*Affordable,−0.063∗ −,0.057∗ −,0.014,−0.032
,(0.026),(0.026),(0.021),(0.021)
Constant,−0.195,0.565,0.144,1.258∗∗∗
,(0.138),(0.296),(0.110),(0.271)
Observations,747,665 1,",198","1,048"
R2,0.059,0.159 0,.010,0.177
