"Compensation, logged",0.113∗∗,0.082,0.069,0.062
,(0.041),(0.042),(0.053),(0.047)
Income,0.015,−0.004,0.047,0.021
,(0.049),(0.050),(0.050),(0.044)
Public benefits,0.137,0.143∗ −,0.035,−0.039
,(0.070),(0.068),(0.059),(0.050)
Distance (km),,0.115,,−0.013
,,(0.103),,(0.084)
"White, non-Hispanic",,0.014,,−0.053
,,(0.105),,(0.072)
"Black, non-Hispanic",,−0.213,,−0.117
,,(0.119),,(0.102)
Hispanic,,−0.014,,−0.116
,,(0.160),,(0.129)
College,,−0.059,,0.007
,,(0.103),,(0.088)
Liberal,,−0.054,,−0.022
,,(0.107),,(0.068)
Female,,−0.211∗∗,,−0.146∗∗
,,(0.074),,(0.053)
Age,,−0.011,,−0.028∗
,,(0.016),,(0.011)
Age squared,,0.00004,,0.0001
,,(0.0002),,(0.0001)
Compensation*Income −,0.002,0.001 −,0.004,−0.003
,(0.007),(0.007),(0.006),(0.006)
Constant −,0.367,0.396 −,0.227,1.078∗
,(0.306),(0.405),(0.410),(0.500)
Observations,323,317,521,518
R2 0,.099,0.188 0,.022,0.176
,,∗,∗∗,∗∗∗
