Distance (km),0.078∗,0.106,0.147∗∗,−0.032
,(0.039),(0.063),(0.056),(0.072)
Affordable,0.086∗∗∗,0.129∗∗∗,0.039,0.114∗∗
,(0.021),(0.037),(0.031),(0.035)
Homeowner −,0.012,−0.007,0.053,0.014
,(0.041),(0.062),(0.102),(0.058)
Income −,0.005,−0.015,0.017,−0.002
,(0.006),(0.011),(0.011),(0.010)
"White, non-Hispanic −",0.065,−0.127 −,0.014,−0.165∗
,(0.054),(0.105),(0.080),(0.074)
"Black, non-Hispanic −",0.218∗∗∗,−0.330∗∗ −,0.071,−0.276∗∗
,(0.065),(0.120),(0.114),(0.086)
Hispanic −,0.095,−0.188 −,0.217,0.006
,(0.075),(0.128),(0.122),(0.103)
College −,0.062,−0.069,0.186∗,−0.174∗∗
,(0.047),(0.081),(0.072),(0.061)
Liberal,0.018,−0.012,0.006,0.035
,(0.040),(0.059),(0.066),(0.066)
Female −,0.150∗∗∗,−0.142∗ −,0.131∗,−0.086
,(0.034),(0.057),(0.059),(0.059)
Age −,0.010,0.005 −,0.032,−0.009
,(0.007),(0.013),(0.018),(0.012)
Age squared,0.00002,−0.0001,0.0002,0.0001
,(0.0001),(0.0001),(0.0002),(0.0001)
Constant,0.976∗∗∗,0.770∗,0.970∗,1.005∗∗∗
,(0.152),(0.339),(0.471),(0.237)
Observations,"1,713",608,659,446
R2 0,.143,0.178 0,.175,0.184
