"Compensation, logged",0.033∗∗∗,0.043∗∗∗,0.017,0.061∗
,(0.009),(0.013),(0.015),(0.020)
Distance (km),0.065,0.031,0.152∗,0.068
,(0.047),(0.071),(0.069),(0.095)
Public benefits,0.032,−0.031,0.043,0.086
,(0.036),(0.060),(0.058),(0.068)
Affordable,0.091∗∗∗,0.136∗∗,0.022,0.133∗
,(0.025),(0.046),(0.037),(0.046)
Homeowner,−0.027,0.001,0.076,0.037
,(0.046),(0.070),(0.109),(0.083)
Income,−0.009,−0.026∗,0.012,0.006
,(0.007),(0.013),(0.012),(0.012)
"White, non-Hispanic",0.051,−0.132,0.099,0.060
,(0.061),(0.103),(0.089),(0.092)
"Black, non-Hispanic",−0.100,−0.371∗∗,0.041 −,0.025
,(0.075),(0.122),(0.128),(0.116)
Hispanic,0.059,−0.175 −,0.170,0.230
,(0.084),(0.132),(0.116),(0.124)
College,−0.070,−0.089,0.064 −,0.092
,(0.054),(0.094),(0.106),(0.079)
Democrat,0.039,0.031,0.055,0.027
,(0.049),(0.070),(0.074),(0.085)
Female,−0.145∗∗∗,−0.102 −,0.144∗ −,0.144∗
,(0.038),(0.064),(0.064),(0.071)
Age,−0.019∗∗,−0.018 −,0.034 −,0.011
,(0.007),(0.015),(0.019),(0.014)
Age squared,0.0001,0.0001,0.0002,0.0000
,(0.0001),(0.0002),(0.0002),(0.0002
Constant,0.982∗∗∗,1.218∗∗,0.948,0.432
,(0.185),(0.421),(0.526),(0.337)
Observations,"1,713",608,659,446
R2,0.167,0.170 0,.180,0.177
