CBSA Number of,Places
"New York-Newark-Jersey City, NY-NJ-PA",24
"Chicago-Naperville-Elgin, IL-IN-WI",21
"Detroit-Warren-Dearborn, MI",19
"Minneapolis-St. Paul-Bloomington, MN-WI",16
"Los Angeles-Long Beach-Anaheim, CA",12
"San Francisco-Oakland-Berkeley, CA",9
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",8
"Riverside-San Bernardino-Ontario, CA",8
"Seattle-Tacoma-Bellevue, WA",8
"Cincinnati, OH-KY-IN",6
"Boston-Cambridge-Newton, MA-NH",5
"Columbus, OH",5
"Portland-Vancouver-Hillsboro, OR-WA",5
"Dallas-Fort Worth-Arlington, TX",4
"Denver-Aurora-Lakewood, CO",4
"Charlotte-Concord-Gastonia, NC-SC",3
"Phoenix-Mesa-Chandler, AZ",3
"Nashville-Davidson–Murfreesboro–Franklin, TN",2
"Miami-Fort Lauderdale-Pompano Beach, FL",1
"Orlando-Kissimmee-Sanford, FL",1
