,,,Table B-1:,Diagnostics,from Redist,ricting Si,mulations,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
City P,op. Tol.,Diversity Rˆ: p,op overlap Rˆ :,own rate Rˆ :,pct latino Rˆ :,pct dem,ESS,Acc. Rate M,ax. Un. Plans,SD
Anaheim,0.0562,"[0.54,0.76]",1.0029,1.0007,1.0005,1.0023,"[88.4%,91.1%]","[25.3%,53.7%]","[5392,6319]","[0.58,0.74]"
Apple Valley,0.0681,"[0.74,0.97]",1.0005,1.0003,1.0005,1.0002,"[88.7%,98.5%]","[10.8%,30.7%]","[5693,6303]","[0.24,0.55]"
Atwater,0.0543,"[0.42,0.76]",1.0006,1.0006,1.0004,1.0003,"[81.6%,87.7%]","[9.9%,26.8%]","[5584,6410]","[0.62,0.72]"
Banning,0.0330,"[0.37,0.68]",1.0022,1.0012,1.0007,1.0014,"[79.6%,88.6%]","[12.0%,29.2%]","[5419,6388]","[0.64,0.77]"
Barstow,0.0371,"[0.45,0.75]",1.0005,1.0007,1.0006,1.0007,"[87.6%,97.6%]","[14.8%,32.3%]","[5542,6258]","[0.30,0.74]"
Big Bear Lake,0.0743,"[0.25,0.63]",1.0014,1.0007,1.0007,1.0005,"[83.7%,94.2%]","[17.6%,29.1%]","[5467,6313]","[0.49,0.71]"
Buena Park,0.1243,"[0.55,0.85]",1.0001,1.0004,1.0003,1.0003,"[90.9%,96.9%]","[24.2%,63.2%]","[5622,6295]","[0.37,0.55]"
Camarillo,0.1488,"[0.65,0.91]",1.0002,1.0005,1.0001,1.0004,"[89.6%,97.4%]","[29.4%,75.1%]","[5616,6308]","[0.32,0.59]"
Campbell,0.2652,"[0.49,0.82]",1.0002,1.0002,1.0004,1.0002,"[89.9%,97.0%]","[38.6%,76.8%]","[5555,6291]","[0.35,0.60]"
Carlsbad,0.0624,"[0.46,0.84]",1.0004,1.0004,1.0006,1.0004,"[91.2%,96.5%]","[17.1%,31.4%]","[5759,6372]","[0.37,0.59]"
Cathedral City,0.0538,"[0.56,0.88]",1.0010,1.0009,1.0007,1.0011,"[90.1%,96.2%]","[14.7%,36.7%]","[5684,6321]","[0.39,0.56]"
Ceres,0.0175,"[0.42,0.72]",1.0004,1.0001,1.0001,1.0004,"[93.8%,95.2%]","[6.3%,13.8%]","[5840,6284]","[0.39,0.48]"
Chino Hills,0.0700,"[0.60,0.88]",1.0008,1.0018,1.0008,1.0009,"[89.3%,96.2%]","[14.2%,41.7%]","[5514,6340]","[0.49,0.61]"
Chula Vista,0.0995,"[0.59,0.86]",1.0004,1.0003,1.0003,1.0005,"[89.2%,96.4%]","[27.9%,54.7%]","[5792,6294]","[0.36,0.58]"
Citrus Heights,0.0980,"[0.60,0.87]",1.0005,1.0006,1.0007,1.0008,"[88.6%,96.9%]","[22.4%,59.6%]","[5679,6315]","[0.35,0.58]"
Claremont,0.1195,"[0.47,0.82]",1.0009,1.0005,1.0010,1.0002,"[85.7%,93.4%]","[24.8%,46.5%]","[5501,6282]","[0.50,0.66]"
Compton,0.0337,"[0.57,0.86]",1.0002,1.0004,1.0002,1.0006,"[93.8%,98.1%]","[14.4%,26.7%]","[5783,6337]","[0.28,0.45]"
Concord,0.1093,"[0.75,0.97]",1.0009,1.0014,1.0009,1.0010,"[90.8%,97.2%]","[28.4%,61.4%]","[5640,6285]","[0.33,0.56]"
Corona,0.0169,"[0.59,0.86]",1.0008,1.0009,1.0005,1.0007,"[91.9%,96.7%]","[10.3%,30.3%]","[5482,6359]","[0.36,0.55]"
Dana Point,0.0860,"[0.48,0.75]",1.0003,1.0021,1.0025,1.0005,"[87.7%,91.6%]","[24.9%,47.3%]","[5466,6338]","[0.54,0.65]"
Dixon,0.0237,"[0.62,0.89]",1.0002,1.0007,1.0013,1.0003,"[91.0%,96.8%]","[10.7%,19.9%]","[5820,6298]","[0.35,0.52]"
Duarte,0.4438,"[0.46,0.70]",1.0010,1.0034,1.0013,1.0025,"[84.3%,94.3%]","[30.1%,88.0%]","[5049,6301]","[0.48,0.71]"
Eastvale,0.0652,"[0.69,0.96]",1.0003,1.0005,1.0002,1.0008,"[88.3%,97.0%]","[15.8%,33.1%]","[5480,6284]","[0.34,0.61]"
Elk Grove,0.0887,"[0.57,0.86]",1.0008,1.0003,1.0005,1.0005,"[90.6%,97.5%]","[24.6%,41.7%]","[5748,6315]","[0.31,0.56]"
Encinitas,0.0650,"[0.59,0.89]",1.0008,1.0010,1.0005,1.0004,"[90.2%,97.1%]","[11.7%,19.3%]","[5732,6318]","[0.34,0.57]"
Escondido,0.0291,"[0.56,0.89]",1.0002,1.0002,1.0002,1.0003,"[92.4%,98.1%]","[9.0%,16.0%]","[5615,6338]","[0.28,0.50]"
Exeter,0.1696,"[0.52,0.85]",1.0016,1.0004,1.0012,1.0012,"[88.9%,96.0%]","[32.0%,62.6%]","[5405,6318]","[0.37,0.61]"
Fairfield,0.0354,"[0.56,0.82]",1.0005,1.0007,1.0009,1.0006,"[96.3%,93.2%]","[6.1%,35.4%]","[5503,6364]","[0.47,0.66]"
Fontana,0.0368,"[0.52,0.81]",1.0000,1.0003,1.0001,1.0001,"[90.3%,96.4%]","[15.0%,26.0%]","[5865,6366]","[0.39,0.51]"
Fullerton,0.0976,"[0.63,0.88]",1.0009,1.0002,1.0006,1.0003,"[88.9%,96.7%]","[24.7%,62.4%]","[5630,6358]","[0.37,0.59]"
Garden Grove,0.1182,"[0.61,0.87]",1.0011,1.0006,1.0004,1.0003,"[87.2%,96.1%]","[31.5%,72.1%]","[5485,6302]","[0.40,0.63]"
Glendora,0.0475,"[0.71,0.94]",1.0009,1.0002,1.0002,1.0006,"[92.0%,96.7%]","[13.4%,39.4%]","[5604,6346]","[0.35,0.53]"
Half Moon Bay,0.1330,"[0.61,0.89]",1.0001,1.0003,1.0004,1.0002,"[90.2%,96.9%]","[18.8%,38.7%]","[5540,6314]","[0.35,0.55]"
Hemet,0.0270,"[0.63,0.88]",1.0016,1.0012,1.0005,1.0008,"[90.3%,96.7%]","[11.3%,22.6%]","[5536,6358]","[0.37,0.58]"
Hesperia,0.0208,"[0.68,0.94]",1.0018,1.0013,1.0006,1.0012,"[89.1%,98.0%]","[17.5%,35.2%]","[5611,6320]","[0.28,0.56]"
Imperial Beach,0.0803,"[0.69,0.94]",1.0002,1.0004,1.0003,1.0004,"[92.5%,98.1%]","[20.8%,39.1%]","[5786,6345]","[0.27,0.49]"
Indio,0.0480,"[0.60,0.92]",1.0007,1.0001,1.0003,1.0001,"[88.5%,96.4%]","[13.2%,30.8%]","[5532,6381]","[0.38,0.62]"
