,,,Redistributive,,,Overdose rate-based,,,Clinic Construction,
Subgroup,,Mean,SD,n,Mean,SD,n,Mean,SD,n
All Responden,ts,0.558,(0.497),991,0.442,(0.497),1012,0.457,(0.498),2000
Democrats,,0.693,(0.462),499,0.508,(0.5),488,0.562,(0.496),987
Independents,,0.425,(0.496),174,0.423,(0.496),163,0.427,(0.495),337
Republicans,,0.416,(0.494),317,0.359,(0.48),359,0.316,(0.465),673
Liberals,,0.755,(0.431),314,0.578,(0.495),308,0.602,(0.49),621
Moderates,,0.500,(0.501),268,0.414,(0.493),273,0.460,(0.499),541
Conservatives,,0.447,(0.498),284,0.385,(0.487),343,0.320,(0.467),625
Below Median,Income,0.600,(0.49),507,0.385,(0.487),475,0.491,(0.5),982
Above Median,Income,0.514,(0.5),484,0.492,(0.5),537,0.424,(0.494),1018
Below Median,Overdose Rate,0.553,(0.498),533,0.481,(0.5),536,0.454,(0.498),1067
Above Median,Overdose Rate,0.563,(0.497),458,0.397,(0.49),476,0.461,(0.499),933
Know Someone,w/ Addiction,0.598,(0.491),547,0.479,(0.5),528,0.501,(0.5),1074
Don’t Know So,meone w/ Addiction,0.509,(0.5),444,0.401,(0.491),484,0.406,(0.491),926
