Table A9:,Spati,al,Se,lf-Interest Trea,tment,Effect:,Hetero,geneity,by Re,sponde,nt Cha,racte
istics,,,,,,,,,,,,
,,,,,,,,Dependent,variable:,,,
,,,,,,,Cli,nic Construc,tion Support,,,
,,,,,(1),(2),(3),(4),(5),(6),(7),(8)
Treatment Conditio,n = Near,,,,−0.146∗∗∗,−0.164∗∗∗,−0.179∗∗∗,−0.188∗∗∗,−0.119∗∗∗,−0.142∗∗∗,−0.148∗∗∗,−0.164∗∗∗
,,,,,(0.031),(0.034),(0.030),(0.031),(0.032),(0.033),(0.031),(0.032)
Above Median Inco,me,,,,−0.073∗∗,0.00003,,,,,,
,,,,,(0.031),(0.044),,,,,,
Treatment Conditio,n = Near,×,Above,Median Income,0.005,0.021,,,,,,
,,,,,(0.044),(0.046),,,,,,
Above Median Over,dose Rate,,,,,,−0.035,−0.052,,,,
,,,,,,,(0.031),(0.032),,,,
Treatment Conditio,n = Near,×,Above,Median Overdose Rate,,,0.081∗,0.077∗,,,,
,,,,,,,(0.044),(0.046),,,,
Know Someone w/,Addiction,,,,,,,,0.119∗∗∗,0.099∗∗∗,,
,,,,,,,,,(0.031),(0.032),,
Treatment Conditio,n = Near,×,Know,Someone w/ Addiction,,,,,−0.045,−0.022,,
,,,,,,,,,(0.044),(0.045),,
Party = Independe,nt,,,,,,,,,,−0.150∗∗∗,−0.118∗∗
,,,,,,,,,,,(0.044),(0.054)
Party = Republican,,,,,,,,,,,−0.245∗∗∗,−0.141∗∗∗
,,,,,,,,,,,(0.033),(0.042)
Treatment Conditio,n = Near,×,Party,= Independent,,,,,,,0.040,0.070
,,,,,,,,,,,(0.061),(0.072)
Treatment Conditio,n = Near,×,Party,= Republican,,,,,,,−0.007,0.007
,,,,,,,,,,,(0.048),(0.050)
Constant,,,,,0.565∗∗∗,0.601∗∗∗,0.543∗∗∗,0.613∗∗∗,0.463∗∗∗,0.519∗∗∗,0.634∗∗∗,0.677∗∗∗
,,,,,(0.022),(0.071),(0.021),(0.069),(0.022),(0.070),(0.021),(0.068)
Demographic contr,ols,,,,,(cid:88),,(cid:88),,(cid:88),,(cid:88)
Observations,,,,,"2,000","1,741","2,000","1,741","2,000","1,741","1,997","1,741"
Adjusted R2,,,,,0.024,0.097,0.020,0.099,0.029,0.105,0.068,0.098
F Statistic,,,,,17.287∗∗∗,12.748∗∗∗,14.904∗∗∗,12.956∗∗∗,20.675∗∗∗,13.782∗∗∗,30.188∗∗∗,12.795∗∗∗
Note:,,,,,∗p<0.1; ∗∗p<,0.05; ∗∗∗p<0.,01,,,,,
