,,Mean,(treated),Mean,(control),Std. mean,difference
H,omeownership rate,,0.34,,0.34,,-0.01
Pe,rcent voted in 2002,,0.42,,0.42,,-0.03
Percent,non-Hispanic white,,0.34,,0.38,,-0.12
Percent,non-Hispanic Black,,0.10,,0.09,,0.01
,Percent Hispanic,,0.37,,0.37,,0.01
,Vacancy rate,,0.05,,0.05,,-0.03
Density,(pop./km-squared),,13467.50,,11011.33,,0.12
,Table C-4: B,alance,", Near-Near",Anal,"ysis, All B",locks,
,,Mean,(treated),Mean,(control),Std. mean,difference
H,omeownership rate,,0.85,,0.84,,0.02
Pe,rcent voted in 2002,,0.50,,0.49,,0.06
Percent,non-Hispanic white,,0.45,,0.43,,0.07
Percent,non-Hispanic Black,,0.07,,0.08,,-0.06
,Percent Hispanic,,0.29,,0.35,,-0.19
,Vacancy rate,,0.04,,0.04,,0.07
Density,(pop./km-squared),,3774.38,,4836.58,,-0.05
,Table C-5: Balan,"ce, Ne",ar-Near An,"alysis,",Homeown,er Blocks,
,,Mean,(treated),Mean,(control),Std. mean,difference
H,omeownership rate,,0.06,,0.07,,-0.02
Pe,rcent voted in 2002,,0.38,,0.39,,-0.04
Percent,non-Hispanic white,,0.31,,0.36,,-0.17
Percent,non-Hispanic Black,,0.10,,0.10,,-0.02
,Percent Hispanic,,0.38,,0.36,,0.08
,Vacancy rate,,0.05,,0.06,,-0.05
Density,(pop./km-squared),,22271.75,,16569.14,,0.29
,Table C-6: Bal,"ance,",Near-Near,Analys,"is, Renter",Blocks,
