,Model 1,Model 2,Model 3,Model
Treatment,−0.004,−0.032,0.024,−0.006
,(0.030),(0.029),(0.030),(0.025)
Income (cont.),,−0.012∗,,0.008
,,(0.006),,(0.005)
Female,,0.013,,0.033
,,(0.030),,(0.027)
College or more,,−0.011,,0.024
,,(0.031),,(0.027)
Age,,0.001,,−0.000
,,(0.001),,(0.001)
"Republican (-1, 1)",,−0.082∗,,−0.044
,,(0.035),,(0.035)
"Conservative (-1, 1)",,−0.049,,−0.147∗
,,(0.033),,(0.035)
Intercept,0.654∗∗∗,0.665∗∗∗,0.425∗∗∗,0.363∗
,(0.020),(0.060),(0.021),(0.054)
R2,0.000,0.182,0.002,0.372
Adj. R2,−0.002,0.166,−0.001,0.359
Num. obs.,411 3,65,411 3,65
RMSE,0.308,0.282,0.300,0.243
∗∗∗p < 0.001; ∗∗p < 0.01; ∗p,< 0.05,,,
using and immigration,support among,white long-t,ime homeowne,rs in ra
