Treatment,−0.016,−0.015,0.000,−0.008
,(0.017),(0.015),(0.023),(0.023)
Symbolic racism score,,,−0.625∗∗∗,−0.542∗
,,,(0.043),(0.048)
Treatment x SRS,,,−0.043,−0.019
,,,(0.055),(0.054)
Non-white,,0.031∗,,0.011
,,(0.016),,(0.014)
Income (cont.),,−0.017∗∗∗,,−0.019∗
,,(0.004),,(0.004)
Female,,−0.001,,−0.029∗
,,(0.015),,(0.014)
College or more,,−0.009,,−0.019
,,(0.016),,(0.015)
"Republican (-1, 1)",,−0.140∗∗∗,,−0.042∗
,,(0.009),,(0.011)
Intercept,0.582∗∗∗,0.614∗∗∗,0.793∗∗∗,0.857∗
,(0.012),(0.020),(0.017),(0.026)
R2,0.001,0.202,0.281,0.328
Adj. R2,−0.000,0.199,0.279,0.324
Num. obs. 1,503 14,54 15,03 14,54
RMSE,0.324,0.290,0.275,0.266
∗∗∗p < 0.001; ∗∗p < 0.01; ∗p < 0.0,5,,,
