Treatment,0.007,0.010,−0.011,−0.009
,(0.011),(0.013),(0.013),(0.015)
Non-white,,0.029,0.033,−0.005
,,(0.015),(0.017),(0.021)
Treatment x Non-white,,,0.076∗∗,0.072∗
,,,(0.026),(0.030)
Homeowner (bi.),,−0.039∗,,−0.040∗
,,(0.016),,(0.016)
Income (cont.),,−0.008∗∗,,−0.008∗∗
,,(0.002),,(0.002)
Female (bi.),,0.056∗∗∗,,0.052∗∗
,,(0.013),,(0.013)
College or more,,−0.039∗∗,,−0.038∗∗
,,(0.014),,(0.014)
Age,,−0.003∗∗∗,,−0.003∗∗
,,(0.001),,(0.001)
"Republican (-1, 1)",,−0.024,,−0.027
,,(0.016),,(0.016)
"Conservative (-1, 1)",,−0.054∗∗∗,,−0.053∗∗
,,(0.016),,(0.016)
Intercept,0.414∗∗∗,0.564∗∗∗,0.404∗∗∗,0.571∗∗
,(0.008),(0.029),(0.010),(0.029)
R2,0.000,0.117,0.014,0.120
Adj. R2,−0.000,0.113,0.013,0.115
Num. obs. 27,92 1,951 27,92 1,951
RMSE,0.301,0.287,0.299,0.286
∗∗∗p < 0.001; ∗∗p < 0.01; ∗p < 0.05,,,,
Support for state housing,control amon,g residents of r,acially changi,ng ZIPs
