Treatment,−0.047∗,−0.039,−0.076∗∗∗,−0.067∗∗
,(0.018),(0.020),(0.021),(0.023)
Party match with Governor,0.002,0.009,0.004,0.009
,(0.018),(0.019),(0.021),(0.023)
Treatment x Party match,0.084∗∗∗,0.088∗∗,0.117∗∗∗,0.104∗∗
,(0.025),(0.027),(0.028),(0.031)
Homeowner,,−0.044∗∗,,−0.053∗∗
,,(0.017),,(0.020)
Income (cont.),,−0.005∗,,−0.005
,,(0.003),,(0.003)
Female,,0.051∗∗∗,,0.011
,,(0.014),,(0.016)
College or more,,−0.042∗∗,,−0.040∗
,,(0.015),,(0.017)
Age,,−0.003∗∗∗,,−0.003∗∗
,,(0.001),,(0.001)
Non-white,,0.023,,
,,(0.016),,
"Republican (-1, 1)",,−0.029,,−0.003
,,(0.019),,(0.022)
"Conservative (-1, 1)",,−0.048∗∗,,−0.071∗∗
,,(0.018),,(0.022)
Intercept,0.421∗∗∗,0.550∗∗∗,0.411∗∗∗,0.581∗∗
,(0.014),(0.032),(0.017),(0.037)
R2,0.010,0.119,0.022,0.110
Adj. R2,0.009,0.114,0.021,0.104
Num. obs. 24,35 1,831 17,92 1,373
RMSE,0.300,0.287,0.293,0.286
∗∗∗p < 0.001; ∗∗p < 0.01; ∗p < 0.05,,,,
7: Support for state housing con,trol among re,sidents of racia,lly changing Z,"IPs, by"
"with governor (Study 4, RQ4).",Models 3–4 re,strict to white,respondents.,
