ZIP code characterist,ics,,,,
"Pop. density, 2020 (p","er km2, winsorized)",1607.71,(1919.70),1017.67,(1023.40)
"∆ pop. density, 2000–",2020 (per km2),199.43,(426.91),170.77,(288.45)
% non-Hisp. white in,"ZIP, 2020",53.65,(25.46),61.02,(16.43)
∆ non-Hisp. white sh,"are, 2000–2020 (pp.)",-12.76,(11.19),-18.42,(7.43)
% change in non-Hisp,". white share, 2000–2020",-11.86,(114.37),-24.44,(12.64)
Respondent character,istics,,,,
Female,,0.48,(0.50),0.52,(0.50)
Age (years),,42.73,(15.14),41.70,(13.73)
"White, non-Hispanic",,0.44,(0.50),0.71,(0.45)
College degree or mo,re,0.56,(0.50),0.56,(0.50)
Homeowner,,0.59,(0.49),0.76,(0.43)
Attitudinal outcomes,(pre-treatment),,,,
Housing policy suppo,rt (0–1),0.57,(0.32),0.42,(0.30)
Immigration/refugee,support (0–1),0.48,(0.29),,—
N,,1,524,28,44
ZIP density from 2010,Census ZCTA land area; winso,rised at,99th percentile. ∆,non-His,p. white share
is the 2000–2020 perce,ntage-point difference. Study 2,attitudi,nal measures are f,rom the,pre-treatment
