,Anger,Disgust,Sympathy,Fear,Hope
Treatment −,0.090∗∗∗,−0.089∗∗∗,0.116∗∗∗,−0.060∗∗∗,0.251∗
,(0.016),(0.016),(0.029),(0.016),(0.029)
Symbolic Racism Score,0.002,0.036,−0.200∗∗∗,0.060,0.035
,(0.038),(0.036),(0.052),(0.036),(0.060)
Treatment x SRS,0.249∗∗∗,0.235∗∗∗,−0.233∗∗∗,0.220∗∗∗,−0.569∗
,(0.050),(0.049),(0.061),(0.047),(0.067)
Non-white,0.043∗∗∗,0.046∗∗∗,−0.023,0.038∗∗∗,0.033
,(0.010),(0.010),(0.017),(0.011),(0.018)
Income (cont.),0.001,0.001,−0.011∗,−0.005,0.002
,(0.003),(0.003),(0.004),(0.003),(0.005)
Female,−0.007,−0.001,−0.044∗∗,−0.005,−0.007
,(0.010),(0.010),(0.017),(0.011),(0.018)
College or more,0.003,0.013,0.044∗,0.020,0.018
,(0.011),(0.010),(0.018),(0.011),(0.018)
"Republican (-1, 1)",−0.004,−0.005,−0.003,−0.010,0.052∗
,(0.008),(0.008),(0.012),(0.009),(0.013)
Intercept,0.050∗,0.018,0.409∗∗∗,0.040,0.390∗
,(0.020),(0.019),(0.033),(0.021),(0.035)
R2,0.064,0.077,0.086,0.066,0.086
Adj. R2,0.058,0.072,0.080,0.060,0.080
Num. obs. 14,54 14,54 1,455 14,54 14,55
RMSE,0.194,0.189,0.317,0.208,0.334
∗∗∗p < 0.001; ∗∗p < 0.01; ∗p < 0.05,,,,,
