Table D-1: Descriptive statistics: Experiment,1 and weighted,average of sample,d ZIP code
Characteristic Survey,sample,ZIP population,(weighted)
Homeowner (pct.),71%,,68%
Female (pct.),56%,,51%
"White, non-Hispanic (pct.)",74%,,60%
"Income (mean, household)","$85,814",,"$91,997"
Age (mean),42,,39
College educated (pct.),55%,,39%
Republican/lean R. (pct.),30%,,NA
Table D-2: Descriptive statistics: Experiment,2 and weighted,average of sample,d ZIP code
Characteristic Survey,sample,ZIP population,(weighted)
Homeowner (pct.),77%,,72%
Female (pct.),61%,,50%
"White, non-Hispanic (pct.)",85%,,73%
"Income (mean, household)","$68,293",,"$66,102"
Age (mean),50,,42
College educated (pct.),28%,,24%
Republican/lean R. (pct.),54%,,NA
