E,xperiment 2:,Fairness,Experiment 2:,Legitimac
,Model 1,Model 2,Model 3,Model 4
Limited input −,0.086∗∗∗ −,0.088∗∗∗,−0.028∗∗,−0.030∗∗
,(0.015),(0.015),(0.010),(0.010)
State board −,0.032∗ −,0.031∗,−0.024∗,−0.024∗
,(0.015),(0.015),(0.010),(0.010)
Homeowner,,0.005,,−0.021
,,(0.018),,(0.012)
"White, non-Hispanic",,0.009,,0.022
,,(0.021),,(0.014)
Income (cont.),−,0.006,,−0.001
,,(0.003),,(0.002)
Female (bi.),−,0.022,,−0.004
,,(0.015),,(0.010)
College or more,,0.010,,0.013
,,(0.018),,(0.012)
Age,−,0.002∗∗∗,,−0.002∗∗
,,(0.000),,(0.000)
"Republican (-1, 1)",−,0.036∗∗∗,,−0.025∗∗
,,(0.008),,(0.006)
(Intercept),0.602∗∗∗,0.746∗∗∗,0.524∗∗∗,0.631∗∗
,(0.012),(0.030),(0.008),(0.020)
R2,0.024,0.056,0.009,0.055
Adj. R2,0.023,0.051,0.008,0.050
Num. obs. 15,64 15,27,1536 1,500
RMSE,0.287,0.284,0.194,0.191
∗∗∗p < 0.001; ∗∗p < 0.01; ∗p < 0.05,,,,
