,State board −,0.104∗∗∗ −,0.091∗∗∗ −,0.103∗∗∗,−0.095∗∗
,,(0.017),(0.016),(0.017),(0.017)
,Homeowner −,0.005,0.004 −,0.003,0.002
,,(0.020),(0.019),(0.020),(0.020)
,"White, non-Hispanic",0.018,0.009,0.017,0.031
,,(0.020),(0.020),(0.020),(0.020)
,Income (cont.),0.006,0.006,0.006,0.006
,,(0.003),(0.003),(0.003),(0.003)
,Female (bi.) −,0.003,0.013 −,0.008,−0.001
,,(0.017),(0.016),(0.017),(0.017)
,College or more,0.041∗,0.038∗,0.039∗,0.041∗
,,(0.019),(0.018),(0.018),(0.018)
,Age −,0.002∗ −,0.001 −,0.001∗,−0.001
,,(0.001),(0.001),(0.001),(0.001)
,"Republican (-1, 1) −",0.046∗∗∗ −,0.001 −,0.019,−0.030∗∗
,,(0.010),(0.010),(0.012),(0.010)
,Pretreatment project support,,0.328∗∗∗,,
,,,(0.031),,
,Climate change concern,,,0.162∗∗∗,
,,,,(0.044),
,Expected effects on property,,,,0.309∗∗
,,,,,(0.045)
,(Intercept),0.550∗∗∗,0.312∗∗∗,0.418∗∗∗,0.369∗∗
,,(0.035),(0.040),(0.051),(0.043)
,R2,0.081,0.189,0.095,0.137
,Adj. R2,0.073,0.181,0.086,0.129
,Num. obs. 9,56 9,56 9,56,955
,RMSE,0.265,0.249,0.263,0.257
,∗∗∗p < 0.001; ∗∗p < 0.01; ∗p < 0.05,,,,
Tabl,e I-6: Effect of state board with,limited input,on perceived,fairness of,siting de
alter,native specification (Experiment,"1, Branch 1",only). Not d,"isplayed, bu",t alluded
main,text.,,,,
