Minority tra,"ct, 2000",0.19**,0.16*
,,(0.02),(0.02)
Population (,"square root),",0.00,0.00
2000,,(0.00),(0.00)
Ownership r,"ate, 2000",–0.03,–0.04
,,(0.10),(0.11)
Log median,tract-to-CBSA,–0.13**,–0.12*
income ratio,", 2000",(0.05),(0.05)
Metropolitan,level,,
(Intercept),,0.27**,0.28*
,,(0.01),(0.01)
Segregation,clustering,0.07,–0.03
"index, 2000",,(0.05),(0.04)
Proportion,black/,0.03,0.13*
"Hispanic, 20",06,(0.06),(0.06)
Log of popu,"lation, 2006",0.01,0.00
,,(0.01),(0.01)
Log median,household,–0.13**,–0.14*
"income, 200",6,(0.02),(0.02)
West,,0.01,0.00
,,(0.02),(0.02)
Midwest,,0.05**,0.06*
,,(0.02),(0.02)
South,,–0.01,–0.02
,,(0.02),(0.02)
Housing sta,"rts ratio,",0.09,0.08
2000–2006,,(0.08),(0.08)
Change in h,ousing price,0.02**,0.02*
"index, 2000",–2006,(0.00),(0.00)
ross-level in,teraction,,
Segregation,clustering,,0.34*
index × min,ority tract,,(0.07)
evel-1 N,,96,96
evel-1 varia,nce,0.04,0.04
evel-1 expla,ined variation,0.41,0.42
