"Compensation, logged",0.026∗∗∗,0.025∗∗∗,0.026∗
,(0.003),(0.002),(0.003)
In-party,,0.052∗∗∗,0.089
,,(0.013),(0.051)
Out-party,−,0.070∗∗∗ −,0.034
,,(0.015),(0.052)
Compensation x In-party,,−,0.005
,,,(0.007)
Compensation x Out-party,,−,0.005
,,,(0.007)
Affordability: Mixed-income,0.035∗∗∗,0.038∗∗∗,0.038∗
,(0.008),(0.006),(0.006)
Method: Tax reduction −,0.041∗∗∗ −,0.036∗∗∗ −,0.036∗
,(0.007),(0.005),(0.005)
Method: Parks investment −,0.049∗∗∗ −,0.042∗∗∗ −,0.042∗
,(0.007),(0.006),(0.006)
Size: Larger than status quo −,0.037∗∗∗ −,0.033∗∗∗ −,0.033∗
,(0.006),(0.005),(0.005)
Proximity: Neighboring parcel −,0.014∗ −,0.018∗∗∗ −,0.018∗
,(0.006),(0.005),(0.005)
(Intercept),0.543∗∗∗,0.515∗∗∗,0.504∗
,(0.050),(0.042),(0.043)
Controls,Yes,Yes,Yes
R2,0.113,0.123,0.123
Adj. R2,0.112,0.122,0.122
Num. obs. 141,99 212,78 212,78
RMSE,0.314,0.313,0.313
N Clusters 14,30 21,46 21,46
∗∗∗p < 0.001; ∗∗p < 0.01; ∗p < 0.05,,,
