"Compensation, log",ged,0.025∗∗∗,0.025∗
,,(0.003),(0.004)
Democratic cue,,0.060∗∗∗ −,0.093∗
,,(0.017),(0.022)
Republican cue,,−0.057∗∗,0.045∗
,,(0.020),(0.021)
Affordability: Mix,ed-income,0.032∗∗∗,0.046∗
,,(0.008),(0.009)
Method: Tax redu,ction,−0.031∗∗∗ −,0.043∗
,,(0.007),(0.008)
Method: Parks in,vestment,−0.038∗∗∗ −,0.048∗
,,(0.007),(0.008)
Size: Larger than,status quo,−0.034∗∗∗ −,0.032∗
,,(0.006),(0.007)
Proximity: Neighb,oring parcel,−0.017∗∗ −,0.019∗
,,(0.006),(0.007)
Homeowner,,−0.034∗ −,0.084∗
,,(0.015),(0.020)
Income quartile,,−0.027 −,0.032
,,(0.015),(0.018)
"Density, quartile",,0.014,0.008
,,(0.014),(0.019)
Female,,−0.032∗ −,0.002
,,(0.013),(0.016)
"Age, category",,−0.025∗∗∗ −,0.065∗
,,(0.004),(0.006)
"White, non-Hispa",nic,−0.027 −,0.004
,,(0.014),(0.022)
College educated,,0.011,0.006
,,(0.015),(0.017)
"Income x density,",quartiles,0.003,0.002
,,(0.005),(0.007)
(Intercept),,0.538∗∗∗,0.628∗
,,(0.054),(0.063)
R2,,0.068,0.141
Adj. R2,,0.067,0.140
Num. obs.,12,224 90,54
RMSE,,0.312,0.311
N Clusters,1,235 9,11
∗∗∗p < 0.001; ∗∗p <,0.01; ∗p < 0.05,,
