Single-member districts −,0.470 −,0.227 −,0.805
,(0.255),(0.236),(0.459)
Percent non-Hispanic white,0.016 −,0.012,0.080
,(0.096),(0.092),(0.162)
Percent Black −,0.092,0.110 −,0.379
,(0.132),(0.144),(0.299)
Percent Hispanic,0.023,0.025,0.051
,(0.080),(0.086),(0.171)
Population (thousands) −,0.012 −,0.025 −,0.055
,(0.078),(0.080),(0.103)
Vacancy rate,5.200,6.155,18.206
(,10.607) (,10.666) (,20.706)
Home ownership rate,18.395∗∗,9.107,10.872
,(6.314),(6.286),(8.841)
Median home value (thousands),0.004,0.007 −,0.010
,(0.006),(0.004),(0.008)
Median income (thousands) −,0.014 −,0.032,0.024
,(0.055),(0.038),(0.074)
Past minority representation,0.333,0.601,1.549
,(1.485),(1.302),(2.732)
City FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
City-specific Trends,Yes,Yes,Yes
Observations,597,597,597
R2 0,.679 0,.751 0,.573
,∗,∗∗ ∗∗∗,
