Table C-11: Effect of Conve,rsi,on to Single-M,e,m,ber District,s,o,n,Logged,Total,U,nits A
"proved, Robustness to Exclus",io,n of One City,(C,a,se Study Sa,m,p,le,),,,
,,Full,N,o,Anaheim,N,o,E,scondido,No,G,lendale
,,(1),,,(2),,,,(3),,,(4)
Single-member districts,,0.210,,,0.115,,,,0.065,,,0.222
,,p = 0.126,p,=,0.132,,p,=,0.494,p,=,0.205
Minority block groups,,0.311,,,0.326,,,,0.318,,,0.352
,,p = 0.000∗∗∗,p,=,0.000∗∗∗,,p,=,0.000∗∗∗,p,=,0.000∗∗∗
SMD∗Minority block groups,,−0.424,,,−0.500,,,−,0.403,,−,0.334
,,p = 0.000∗∗∗,p,=,0.000∗∗∗,,p,=,0.000∗∗∗,p,=,0.000∗∗∗
Controls,,Yes,,,Yes,,,,Yes,,,Yes
City FE,,Yes,,,Yes,,,,Yes,,,Yes
Year FE,,Yes,,,Yes,,,,Yes,,,Yes
City Trends,,Yes,,,Yes,,,,Yes,,,Yes
Observations,,"1,184",,,832,,,1,",040",,1,",008"
,,Full No,Sa,n,ta Barbara,,No,S,anta Cruz,N,o,Ventura
,,(1),,,(2),,,,(3),,,(4)
Single-member districts,,0.210,,,0.234,,,,0.281,,,0.252
,p =,0.126,p,=,0.583,,p,=,0.126,p,=,0.189
Minority block groups,,0.311,,,0.301,,,,0.338,,,0.268
,p =,0.000∗∗∗,p,=,0.000∗∗∗,,p,=,0.000∗∗∗,p,=,0.000∗∗∗
SMD∗Minority block groups,,−0.424,,−,0.426,,,,−0.432,,−,0.431
,p =,0.000∗∗∗,p,=,0.249,,p,=,0.000∗∗∗,p,=,0.000∗∗∗
Controls,,Yes,,,Yes,,,,Yes,,,Yes
City FE,,Yes,,,Yes,,,,Yes,,,Yes
Year FE,,Yes,,,Yes,,,,Yes,,,Yes
City Trends,,Yes,,,Yes,,,,Yes,,,Yes
Observations,,"1,184",,,928,,,,"1,072",,1,",040"
∗ ∗∗ ∗∗∗,,,,,,,,,,,,
