Prox. to pct,point. ∆ in non-white,0.030∗∗∗,,0.018∗∗,
,,(0.008),,(0.006),
Prox. to pro,p. ∆ in non-white,,0.052∗∗∗,,0.040∗∗
,,,(0.008),,(0.007)
"Pct. white,",non-Hispanic (1980),0.196∗∗∗,0.171∗∗∗,0.149∗∗,0.148∗∗
,,(0.049),(0.038),(0.047),(0.045)
Pct. unempl,oyed (1980) −,0.606,−1.010∗∗∗ −,0.799∗,−1.109∗∗
,,(0.345),(0.265),(0.315),(0.261)
Pct. homeow,ner (1980),0.033,0.041 −,0.018,−0.000
,,(0.057),(0.051),(0.053),(0.052)
Pct. vacant,(1980) −,0.721,−0.849 −,0.922∗,−1.052∗∗
,,(0.529),(0.431),(0.347),(0.312)
Log median,household income (1980) −,0.072,−0.095∗∗ −,0.046,−0.079∗
,,(0.040),(0.028),(0.034),(0.030)
Pop. density,(1980) −,5.169,0.599 −,7.494,−4.536
,(,10.309),(8.102),(7.052),(5.747)
Place Fixed,Effects,Yes,Yes,Yes,Yes
R2,,0.597,0.665,0.595,0.643
Adj. R2,,0.552,0.628,0.545,0.598
Num. obs.,4,03,403 3,73,373
RMSE,,2.333,2.125,2.434,2.286
N Clusters,,37,37,33,33
∗∗∗p < 0.001; ∗∗p,< 0.01; ∗p < 0.05,,,,
able 2: Effec,t of proximity to diversifying,tract on sup,port for voter’,"s veto, amo",ng precin
