Pct. point ∆,in non-Black pop. −,0.028,
,,(0.062),
Prop. ∆ in,non-Black pop.,−,0.043
,,,(0.065)
Pct. unempl,oyed (1980) −,0.272∗∗∗ −,0.258∗
,,(0.047),(0.049)
Pct. homeo,wner (1980),0.032,0.036
,,(0.029),(0.031)
Pct. vacant,(1980) −,0.171 −,0.131
,,(0.192),(0.166)
Log median,household income (1980),0.063∗∗∗,0.056∗
,,(0.013),(0.012)
Pop. density,(1980) −,2.489 −,2.126
,,(2.799),(2.949)
Place Fixed,Effects,Yes,Yes
R2,,0.585,0.587
Adj. R2,,0.555,0.557
Num. obs.,3,69 3,69
RMSE,,2.025,2.020
N Clusters,,19,19
∗∗∗p < 0.001; ∗∗p,< 0.01; ∗p < 0.05,,
