Pct. point ∆,in non-Hisp. pop.,−0.163,
,,(0.081),
Prop. ∆ in,non-Hisp pop.,−,0.092∗
,,,(0.040)
Pct. Hispan,ic (1980),−0.038 −,0.029
,,(0.049),(0.059)
Pct. unempl,oyed (1980),−0.838∗∗ −,0.830∗
,,(0.303),(0.313)
Pct. homeo,wner (1980),0.067,0.068
,,(0.064),(0.063)
Pct. vacant,(1980),0.401,0.393
,,(0.331),(0.337)
Log median,household income (1980),0.156∗∗∗,0.156∗
,,(0.034),(0.034)
Pop. density,(1980),−3.314∗∗∗ −,3.194∗
,,(0.823),(0.882)
Place Fixed,Effects,Yes,Yes
R2,,0.600,0.600
Adj. R2,,0.541,0.541
Num. obs.,,393 3,93
RMSE,,3.492,3.493
N Clusters,,44,44
∗∗∗p < 0.001; ∗∗p,< 0.01; ∗p < 0.05,,
Effect of ch,ange in a precinct’s non-His,panic population,(1980-1
"veto, 1993.",Treatment data are winsoriz,ed.,
