,,,Model 1,Model 2,Model 3,Model 4
,Prox. to pct,point. ∆ in non-white,0.030∗∗∗,,0.016∗∗,
,,,(0.008),,(0.005),
,Prox. to pro,p. ∆ in non-white,,0.020∗,,0.013
,,,,(0.009),,(0.009)
,"Pct. white,",non-Hispanic (1980),0.192∗∗∗,0.154∗∗,0.148∗∗,0.119∗
,,,(0.050),(0.052),(0.046),(0.047)
,Pct. unempl,oyed (1980) −,0.615,−0.528 −,0.774∗,−0.782∗
,,,(0.353),(0.349),(0.327),(0.320)
,Pct. homeo,wner (1980),0.038,0.059 −,0.014,−0.010
,,,(0.061),(0.054),(0.059),(0.053)
,Pct. vacant,(1980) −,0.704,−0.756 −,0.952∗,−1.048∗
,,,(0.524),(0.508),(0.425),(0.411)
,Log median,household income (1980) −,0.071,−0.079∗ −,0.046,−0.055
,,,(0.038),(0.036),(0.035),(0.033)
,Pop. density,(1980) −,4.668,−1.800 −,7.253,−6.316
,,(,10.310),(9.694),(7.638),(7.362)
,Place Fixed,Effects,Yes,Yes,Yes,Yes
,Controls,,Yes,Yes,Yes,Yes
,R2,,0.597,0.578,0.592,0.589
,Adj. R2,,0.552,0.531,0.541,0.538
,Num. obs.,4,03,403 3,73,373
,RMSE,,2.334,2.388,2.445,2.453
,N Clusters,,42,42,37,37
,∗∗∗p < 0.001; ∗∗p,< 0.01; ∗p < 0.05,,,,
Ta,ble I-14: Eff,ect of proximity to diversif,ying tract,on support fo,r voter’s v,"eto, am"
pre,cincts which,changed minimally from 198,0 to 1993.,Population thr,eshold for,diversify
tra,ct removed.,,,,,
