"location","GEO_id","year","treat","switcher","switcher2","year_switch","multi","single","l.multi","l.single","l.total","pct_asian","pct_black","pct_hisp","pct_wnh","max.group","min.group","prop_asian_elected_past12","prop_black_elected_past12","prop_latino_elected_past12","prop_white_elected_past12","prop_min_elected_past12","H_citytract_NHW","population.th","own_rate","vacancy_rate","med_value.th","med_income.th","density"
"ADELANTO",600296,2010,0,0,0,NA,0,54,0,4.00733318523247,4.00733318523247,3.7,23.4,42.7,18.5324553151458,"black","hisp",0,0.153846153846154,0.230769230769231,0.307692307692308,0.230769230769231,0.009308154,29.764,0.609071042166732,0.150886503437462,170.5,43.305,567.1
"ADELANTO",600296,2011,0,0,0,NA,0,24,0,3.2188758248682,3.2188758248682,2.9,22.8,43.4,18.7675252689925,"black","hisp",0,0.230769230769231,0.230769230769231,0.230769230769231,0.230769230769231,0.009308154,30.67,0.604922325013091,0.161221337768801,118.5,42.208,567.1
"ADELANTO",600296,2012,0,0,0,NA,0,20,0,3.04452243772342,3.04452243772342,3.3,23,46.3,16.9297680412371,"black","hisp",0,0.230769230769231,0.230769230769231,0.230769230769231,0.230769230769231,0.009308154,31.04,0.551199972611181,0.166647107147048,104.4,41.113,567.1
"ADELANTO",600296,2013,0,0,0,NA,0,58,0,4.07753744390572,4.07753744390572,2.6,21.2,44.3,19.9260581336053,"black","hisp",0,0.333333333333333,0.333333333333333,0.166666666666667,0.333333333333333,0.009308154,31.376,0.542610571736785,0.166069428891377,95.9,38.768,567.1
"ADELANTO",600296,2014,0,0,0,NA,0,34,0,3.55534806148941,3.55534806148941,2.6,20.7,48,17.4298933056369,"black","hisp",0,0.333333333333333,0.333333333333333,0.166666666666667,0.333333333333333,0.009308154,31.773,0.495541952225697,0.16304347826087,95.2,35.262,567.1
"ADELANTO",600296,2015,0,0,0,NA,0,116,0,4.76217393479776,4.76217393479776,2.1,20.4,49.2,17.9887083190368,"black","hisp",0,0.5,0.25,0.166666666666667,0.25,0.009308154,32.059,0.472824121263933,0.135992848362946,102.5,33.298,567.1
"ADELANTO",600296,2016,0,0,0,NA,0,6,0,1.94591014905531,1.94591014905531,2.2,20.5,52.9,15.5860233357061,"black","hisp",0,0.5,0.25,0.166666666666667,0.25,0.009308154,32.311,0.449833431314913,0.121719160104987,129.9,29.647,567.1
"ADELANTO",600296,2017,0,0,0,NA,0,90,0,4.51085950651685,4.51085950651685,2.5,23.6,53.8,13.6976298414823,"black","hisp",0,0.5,0.333333333333333,0.0833333333333333,0.333333333333333,0.009308154,32.867,0.470878354261981,0.0974745743343618,151.6,34.446,567.1
"ADELANTO",600296,2018,0,0,0,NA,0,16,0,2.83321334405622,2.83321334405622,1.6,23.8,57.3,11.9134546325114,"black","hisp",0,0.5,0.333333333333333,0.0833333333333333,0.333333333333333,0.009308154,33.416,0.502388050133026,0.0951773707396244,181.6,40.018,567.1
"ADELANTO",600296,2019,0,0,0,NA,0,63,0,4.15888308335967,4.15888308335967,2.1,22.6333333333333,54.6666666666667,13.7323692698999,"black","hisp",0,0.538461538461538,0.307692307692308,0.153846153846154,0.307692307692308,0.009308154,32.8646666666667,0.474366611903307,0.104790368392991,154.366666666667,34.7036666666667,567.1
