"place","year","candidates","candidates_l","seats_l","totalvotes","totalvotes_l","n_elected","n_elected_l","n_elected_a","n_elected_b","n_elected_w","prop_latino_elected","prop_asian_elected","prop_black_elected","prop_white_elected","prop_latino_ran","latino_voteshare"
"00296",1998,9,1,1,3695,376,2,0,0,0,2,0,0,0,1,0.5,0.101759133964817
"00296",2000,14,2,2,7374,1204,3,0,0,0,1,0,0,0,0.333333333333333,0.666666666666667,0.163276376457825
"00296",2002,8,2,2,3447,1209,2,1,0,0,0,0.5,0,0,0,1,0.350739773716275
"00296",2004,4,0,0,5305,0,2,0,0,1,1,0,0,0.5,0.5,0,0
"00296",2006,3,1,1,3503,1280,2,1,0,0,0,0.5,0,0,0,0.5,0.36540108478447
"00296",2008,5,1,1,6958,1887,2,1,0,1,0,0.5,0,0.5,0,0.5,0.271198620293188
"00296",2010,4,1,1,4151,939,2,0,0,1,1,0,0,0.5,0.5,0.5,0.226210551674295
"00296",2012,6,3,2,6107,2861,2,1,0,1,0,0.5,0,0.5,0,1,0.46847879482561
"00296",2014,5,0,0,2996,0,2,0,0,2,0,0,0,1,0,0,0
"00296",2016,4,1,1,8258,2483,2,1,0,1,0,0.5,0,0.5,0,0.5,0.300678130297893
"00296",2018,12,2,2,8733,2350,3,1,0,1,1,0.333333333333333,0,0.333333333333333,0.333333333333333,0.666666666666667,0.269094240238177
"00394",1999,2,0,0,2644,0,2,0,0,0,2,0,0,0,1,0,0
"00394",2001,8,0,0,7687,0,3,0,0,0,3,0,0,0,1,0,0
"00394",2003,6,1,1,6154,942,2,0,0,0,2,0,0,0,1,0.5,0.153071173220669
"00394",2005,6,0,0,13744,0,3,0,0,0,3,0,0,0,1,0,0
"00394",2007,4,0,0,4473,0,2,0,0,0,2,0,0,0,1,0,0
"00394",2011,4,0,0,5124,0,2,0,0,0,2,0,0,0,1,0,0
"00394",2013,5,0,0,5848,0,3,0,0,0,3,0,0,0,1,0,0
"00394",2015,6,0,0,5491,0,2,0,0,0,2,0,0,0,1,0,0
"00394",2018,5,1,1,18875,5934,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0.314384105960265
"00562",1998,7,0,0,33073,0,2,0,0,0,2,0,0,0,1,0,0
"00562",2000,7,0,0,43479,0,2,0,0,0,2,0,0,0,1,0,0
"00562",2002,8,0,0,35027,0,2,0,0,0,2,0,0,0,1,0,0
"00562",2004,7,0,0,48989,0,2,0,0,0,2,0,0,0,1,0,0
"00562",2006,6,0,0,38991,0,2,0,1,0,1,0,0.5,0,0.5,0,0
"00562",2008,4,0,0,48882,0,2,0,0,0,2,0,0,0,1,0,0
"00562",2010,8,0,0,44553,0,2,0,1,0,1,0,0.5,0,0.5,0,0
"00562",2012,7,0,0,48510,0,2,0,0,0,2,0,0,0,1,0,0
"00562",2014,3,0,0,30447,0,2,0,0,0,2,0,0,0,1,0,0
"00562",2016,5,0,0,56873,0,2,0,0,0,2,0,0,0,1,0,0
"00562",2018,5,0,0,54691,0,2,0,0,0,2,0,0,0,1,0,0
"00674",1998,3,0,0,8516,0,2,0,0,0,2,0,0,0,1,0,0
"00674",2000,6,0,0,16690,0,4,0,0,0,4,0,0,0,1,0,0
"00674",2002,3,0,0,8109,0,2,0,0,0,2,0,0,0,1,0,0
"00674",2004,6,0,0,17045,0,3,0,0,0,3,0,0,0,1,0,0
"00674",2006,4,0,0,11311,0,2,0,0,0,2,0,0,0,1,0,0
"00674",2008,6,0,0,19465,0,3,0,0,0,3,0,0,0,1,0,0
"00674",2010,4,0,0,11098,0,2,0,0,0,2,0,0,0,1,0,0
