"place","year","candidates","candidates_l","seats_l","totalvotes","totalvotes_l","n_elected","n_elected_l","n_elected_a","n_elected_b","n_elected_w","prop_latino_elected","prop_asian_elected","prop_black_elected","prop_white_elected","prop_latino_ran","latino_voteshare"
"67000",1998,17,2,2,801490,82050,5,0,1,0,4,0,0.2,0,0.8,0.4,0.102371832462039
"67000",2000,87,8,5,267724,27968,11,2,2,0,7,0.181818181818182,0.181818181818182,0,0.636363636363636,0.454545454545455,0.104465793130239
"67000",2002,14,0,0,45100,0,5,0,1,0,4,0,0.2,0,0.8,0,0
"67000",2004,77,8,3,230510,26479,16,1,1,0,13,0.0625,0.0625,0,0.8125,0.1875,0.114871372174743
"67000",2006,26,2,2,102445,1995,5,0,1,0,4,0,0.2,0,0.8,0.4,0.0194738640245986
"67000",2008,42,7,7,201995,39139,21,5,6,0,10,0.238095238095238,0.285714285714286,0,0.476190476190476,0.333333333333333,0.193762221837174
"67000",2010,46,2,2,114770,2078,5,0,2,0,3,0,0.4,0,0.6,0.4,0.0181057767709332
"67000",2012,26,5,4,159929,55306,6,2,3,0,1,0.333333333333333,0.5,0,0.166666666666667,0.666666666666667,0.3458159558304
"67000",2013,2,0,0,10478,0,1,0,1,0,0,0,1,0,0,0,0
"67000",2014,17,1,1,92054,4090,5,0,2,0,3,0,0.4,0,0.6,0.2,0.0444304430008473
"67000",2015,3,0,0,16635,0,1,0,0,0,1,0,0,0,1,0,0
"67000",2016,28,6,2,191316,26427,6,0,1,0,5,0,0.166666666666667,0,0.833333333333333,0.333333333333333,0.138132722825064
"67000",2018,26,0,0,186869,0,6,0,1,0,5,0,0.166666666666667,0,0.833333333333333,0,0
"67000",2019,4,0,0,23473,0,1,0,0,0,1,0,0,0,1,0,0
