"location","year","total","single","multi","multiTwo","multiThreeFour","multiFivePlus","county","status","permits_vli","permits_li","permits_mod","permits_abovemod","permits","permits_check","location_df"
"ADELANTO","1980",12,0,12,8,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1981",50,12,38,22,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1982",172,27,145,34,3,108,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1983",377,27,350,74,127,149,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1984",183,38,145,6,51,88,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1985",229,42,187,26,43,118,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1986",670,205,465,60,60,345,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1987",15,15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1988",115,35,80,0,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1989",42,42,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1990",157,157,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1991",507,507,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1992",966,966,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1993",542,542,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1994",404,404,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1995",207,207,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1996",151,151,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1997",95,95,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1998",11,11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","1999",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2000",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2001",96,96,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2002",327,327,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2003",367,367,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2004",900,900,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2005",1101,1101,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2006",329,329,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2007",307,307,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2008",1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2009",41,41,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2010",54,54,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2011",24,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2012",20,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2013",58,58,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2014",34,34,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2015",116,116,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2016",6,6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADELANTO","2017",90,90,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
