location,year,total,single,multi,multiTwo,multiThreeFour,multiFivePlus
ADELANTO,2018,16,16,0,0,0,0
ADELANTO,2017,90,90,0,0,0,0
ADELANTO,2016,6,6,0,0,0,0
ADELANTO,2015,116,116,0,0,0,0
ADELANTO,2014,34,34,0,0,0,0
ADELANTO,2013,58,58,0,0,0,0
ADELANTO,2012,20,20,0,0,0,0
ADELANTO,2011,24,24,0,0,0,0
ADELANTO,2010,54,54,0,0,0,0
ADELANTO,2009,41,41,0,0,0,0
ADELANTO,2008,1,1,0,0,0,0
ADELANTO,2007,307,307,0,0,0,0
ADELANTO,2006,329,329,0,0,0,0
ADELANTO,2005,1101,1101,0,0,0,0
ADELANTO,2004,900,900,0,0,0,0
ADELANTO,2003,367,367,0,0,0,0
ADELANTO,2002,327,327,0,0,0,0
ADELANTO,2001,96,96,0,0,0,0
ADELANTO,2000,0,0,0,0,0,0
ADELANTO,1999,0,0,0,0,0,0
ADELANTO,1998,11,11,0,0,0,0
ADELANTO,1997,95,95,0,0,0,0
ADELANTO,1996,151,151,0,0,0,0
ADELANTO,1995,207,207,0,0,0,0
ADELANTO,1994,404,404,0,0,0,0
ADELANTO,1993,542,542,0,0,0,0
ADELANTO,1992,966,966,0,0,0,0
ADELANTO,1991,507,507,0,0,0,0
ADELANTO,1990,157,157,0,0,0,0
ADELANTO,1989,42,42,0,0,0,0
ADELANTO,1988,115,35,80,0,0,80
ADELANTO,1987,15,15,0,0,0,0
ADELANTO,1986,670,205,465,60,60,345
ADELANTO,1985,229,42,187,26,43,118
ADELANTO,1984,183,38,145,6,51,88
ADELANTO,1983,377,27,350,74,127,149
ADELANTO,1982,172,27,145,34,3,108
ADELANTO,1981,50,12,38,22,11,5
ADELANTO,1980,12,0,12,8,4,0
AGOURA HILLS,2018,3,3,0,0,0,0
AGOURA HILLS,2017,3,3,0,0,0,0
AGOURA HILLS,2016,3,3,0,0,0,0
AGOURA HILLS,2015,2,2,0,0,0,0
AGOURA HILLS,2014,33,33,0,0,0,0
AGOURA HILLS,2013,18,13,5,0,0,5
AGOURA HILLS,2012,0,0,0,0,0,0
AGOURA HILLS,2011,2,2,0,0,0,0
AGOURA HILLS,2010,24,24,0,0,0,0
AGOURA HILLS,2009,2,2,0,0,0,0
AGOURA HILLS,2008,2,2,0,0,0,0
AGOURA HILLS,2007,7,7,0,0,0,0
AGOURA HILLS,2006,5,5,0,0,0,0
AGOURA HILLS,2005,2,2,0,0,0,0
AGOURA HILLS,2004,26,26,0,0,0,0
AGOURA HILLS,2003,342,6,336,0,0,336
AGOURA HILLS,2002,10,10,0,0,0,0
AGOURA HILLS,2001,35,35,0,0,0,0
AGOURA HILLS,2000,180,20,160,0,0,160
AGOURA HILLS,1999,7,7,0,0,0,0
AGOURA HILLS,1998,2,2,0,0,0,0
AGOURA HILLS,1997,3,3,0,0,0,0
AGOURA HILLS,1996,2,2,0,0,0,0
AGOURA HILLS,1995,0,0,0,0,0,0
AGOURA HILLS,1994,2,2,0,0,0,0
AGOURA HILLS,1993,2,2,0,0,0,0
AGOURA HILLS,1992,2,2,0,0,0,0
AGOURA HILLS,1991,0,0,0,0,0,0
AGOURA HILLS,1990,0,0,0,0,0,0
AGOURA HILLS,1989,0,0,0,0,0,0
AGOURA HILLS,1988,0,0,0,0,0,0
AGOURA HILLS,1987,0,0,0,0,0,0
AGOURA HILLS,1986,0,0,0,0,0,0
AGOURA HILLS,1985,0,0,0,0,0,0
AGOURA HILLS,1984,0,0,0,0,0,0
AGOURA HILLS,1983,0,0,0,0,0,0
AGOURA HILLS,1982,0,0,0,0,0,0
AGOURA HILLS,1981,0,0,0,0,0,0
AGOURA HILLS,1980,0,0,0,0,0,0
ALAMEDA,2018,31,31,0,0,0,0
ALAMEDA,2017,56,46,10,0,0,10
ALAMEDA,2016,90,59,31,0,0,31
ALAMEDA,2015,181,118,63,0,8,55
ALAMEDA,2014,57,5,52,0,0,52
ALAMEDA,2013,37,1,36,0,0,36
ALAMEDA,2012,0,0,0,0,0,0
ALAMEDA,2011,24,24,0,0,0,0
ALAMEDA,2010,16,16,0,0,0,0
ALAMEDA,2009,3,3,0,0,0,0
ALAMEDA,2008,2,2,0,0,0,0
ALAMEDA,2007,106,104,2,2,0,0
ALAMEDA,2006,116,112,4,4,0,0
ALAMEDA,2005,151,149,2,2,0,0
ALAMEDA,2004,83,83,0,0,0,0
ALAMEDA,2003,67,59,8,8,0,0
ALAMEDA,2002,83,79,4,4,0,0
ALAMEDA,2001,32,30,2,2,0,0
ALAMEDA,2000,5,3,2,2,0,0
ALAMEDA,1999,62,62,0,0,0,0
ALAMEDA,1998,51,51,0,0,0,0
ALAMEDA,1997,206,202,4,4,0,0
ALAMEDA,1996,111,111,0,0,0,0
ALAMEDA,1995,178,178,0,0,0,0
ALAMEDA,1994,9,5,4,4,0,0
ALAMEDA,1993,10,10,0,0,0,0
ALAMEDA,1992,54,46,8,8,0,0
ALAMEDA,1991,70,66,4,4,0,0
ALAMEDA,1990,89,89,0,0,0,0
ALAMEDA,1989,228,222,6,6,0,0
ALAMEDA,1988,140,134,6,6,0,0
ALAMEDA,1987,718,710,8,8,0,0
ALAMEDA,1986,219,219,0,0,0,0
ALAMEDA,1985,382,368,14,14,0,0
ALAMEDA,1984,396,392,4,4,0,0
ALAMEDA,1983,326,322,4,4,0,0
ALAMEDA,1982,87,87,0,0,0,0
ALAMEDA,1981,129,127,2,2,0,0
ALAMEDA,1980,168,164,4,4,0,0
ALAMEDA COUNTY UNINCORPORATED AREA,2018,121,36,85,2,71,12
ALAMEDA COUNTY UNINCORPORATED AREA,2017,86,33,53,0,12,41
ALAMEDA COUNTY UNINCORPORATED AREA,2016,32,22,10,10,0,0
ALAMEDA COUNTY UNINCORPORATED AREA,2015,136,43,93,10,6,77
