"Location","Year","Series","Series Code","Permits"
"ADELANTO",2019,"Total Units",1.0,63.0
"ADELANTO",2019,"Units in Single-Family Structures",2.0,63.0
"ADELANTO",2019,"Units in All Multi-Family Structures",3.0,0
"AGOURA HILLS",2019,"Total Units",1.0,3.0
"AGOURA HILLS",2019,"Units in Single-Family Structures",2.0,3.0
"AGOURA HILLS",2019,"Units in All Multi-Family Structures",3.0,0
"ALAMEDA",2019,"Total Units",1.0,683.0
"ALAMEDA",2019,"Units in Single-Family Structures",2.0,61.0
"ALAMEDA",2019,"Units in All Multi-Family Structures",3.0,622.0
"ALAMEDA COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,93.0
"ALAMEDA COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,87.0
"ALAMEDA COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,6.0
"ALBANY",2019,"Total Units",1.0,12.0
"ALBANY",2019,"Units in Single-Family Structures",2.0,12.0
"ALBANY",2019,"Units in All Multi-Family Structures",3.0,0
"ALHAMBRA",2019,"Total Units",1.0,126.0
"ALHAMBRA",2019,"Units in Single-Family Structures",2.0,39.0
"ALHAMBRA",2019,"Units in All Multi-Family Structures",3.0,87.0
"ALISO VIEJO",2019,"Total Units",1.0,0
"ALISO VIEJO",2019,"Units in Single-Family Structures",2.0,0
"ALISO VIEJO",2019,"Units in All Multi-Family Structures",3.0,0
"ALPINE COUNTY",2019,"Total Units",1.0,5.0
"ALPINE COUNTY",2019,"Units in Single-Family Structures",2.0,5.0
"ALPINE COUNTY",2019,"Units in All Multi-Family Structures",3.0,0
"ALTURAS",2019,"Total Units",1.0,0
"ALTURAS",2019,"Units in Single-Family Structures",2.0,0
"ALTURAS",2019,"Units in All Multi-Family Structures",3.0,0
"AMADOR CITY",2019,"Total Units",1.0,0
"AMADOR CITY",2019,"Units in Single-Family Structures",2.0,0
"AMADOR CITY",2019,"Units in All Multi-Family Structures",3.0,0
"AMADOR COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,22.0
"AMADOR COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,22.0
"AMADOR COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,0
"AMERICAN CANYON",2019,"Total Units",1.0,1.0
"AMERICAN CANYON",2019,"Units in Single-Family Structures",2.0,1.0
"AMERICAN CANYON",2019,"Units in All Multi-Family Structures",3.0,0
"ANAHEIM",2019,"Total Units",1.0,669.0
"ANAHEIM",2019,"Units in Single-Family Structures",2.0,123.0
"ANAHEIM",2019,"Units in All Multi-Family Structures",3.0,546.0
"ANDERSON",2019,"Total Units",1.0,39.0
"ANDERSON",2019,"Units in Single-Family Structures",2.0,39.0
"ANDERSON",2019,"Units in All Multi-Family Structures",3.0,0
"ANGELS",2019,"Total Units",1.0,7.0
"ANGELS",2019,"Units in Single-Family Structures",2.0,7.0
"ANGELS",2019,"Units in All Multi-Family Structures",3.0,0
"ANTIOCH",2019,"Total Units",1.0,330.0
"ANTIOCH",2019,"Units in Single-Family Structures",2.0,232.0
"ANTIOCH",2019,"Units in All Multi-Family Structures",3.0,98.0
"APPLE VALLEY TOWN",2019,"Total Units",1.0,105.0
"APPLE VALLEY TOWN",2019,"Units in Single-Family Structures",2.0,101.0
"APPLE VALLEY TOWN",2019,"Units in All Multi-Family Structures",3.0,4.0
"ARCADIA",2019,"Total Units",1.0,145.0
"ARCADIA",2019,"Units in Single-Family Structures",2.0,85.0
"ARCADIA",2019,"Units in All Multi-Family Structures",3.0,60.0
"ARCATA",2019,"Total Units",1.0,27.0
"ARCATA",2019,"Units in Single-Family Structures",2.0,27.0
"ARCATA",2019,"Units in All Multi-Family Structures",3.0,0
"ARROYO GRANDE",2019,"Total Units",1.0,32.0
"ARROYO GRANDE",2019,"Units in Single-Family Structures",2.0,32.0
"ARROYO GRANDE",2019,"Units in All Multi-Family Structures",3.0,0
"ARTESIA",2019,"Total Units",1.0,11.0
"ARTESIA",2019,"Units in Single-Family Structures",2.0,11.0
"ARTESIA",2019,"Units in All Multi-Family Structures",3.0,0
"ARVIN",2019,"Total Units",1.0,121.0
"ARVIN",2019,"Units in Single-Family Structures",2.0,121.0
"ARVIN",2019,"Units in All Multi-Family Structures",3.0,0
"ATASCADERO",2019,"Total Units",1.0,71.0
"ATASCADERO",2019,"Units in Single-Family Structures",2.0,35.0
"ATASCADERO",2019,"Units in All Multi-Family Structures",3.0,36.0
"ATHERTON TOWN",2019,"Total Units",1.0,22.0
"ATHERTON TOWN",2019,"Units in Single-Family Structures",2.0,20.0
"ATHERTON TOWN",2019,"Units in All Multi-Family Structures",3.0,2.0
"ATWATER",2019,"Total Units",1.0,3.0
"ATWATER",2019,"Units in Single-Family Structures",2.0,3.0
"ATWATER",2019,"Units in All Multi-Family Structures",3.0,0
"AUBURN",2019,"Total Units",1.0,11.0
"AUBURN",2019,"Units in Single-Family Structures",2.0,11.0
"AUBURN",2019,"Units in All Multi-Family Structures",3.0,0
"AVALON",2019,"Total Units",1.0,0
"AVALON",2019,"Units in Single-Family Structures",2.0,0
"AVALON",2019,"Units in All Multi-Family Structures",3.0,0
"AVENAL",2019,"Total Units",1.0,17.0
"AVENAL",2019,"Units in Single-Family Structures",2.0,17.0
"AVENAL",2019,"Units in All Multi-Family Structures",3.0,0
"AZUSA",2019,"Total Units",1.0,185.0
"AZUSA",2019,"Units in Single-Family Structures",2.0,10.0
"AZUSA",2019,"Units in All Multi-Family Structures",3.0,175.0
"BAKERSFIELD",2019,"Total Units",1.0,1472.0
"BAKERSFIELD",2019,"Units in Single-Family Structures",2.0,1419.0
"BAKERSFIELD",2019,"Units in All Multi-Family Structures",3.0,53.0
"Location","Year","Series","Series Code","Permits"
"BALDWIN PARK",2019,"Total Units",1.0,20.0
"BALDWIN PARK",2019,"Units in Single-Family Structures",2.0,12.0
"BALDWIN PARK",2019,"Units in All Multi-Family Structures",3.0,8.0
"BANNING",2019,"Total Units",1.0,11.0
"BANNING",2019,"Units in Single-Family Structures",2.0,11.0
"BANNING",2019,"Units in All Multi-Family Structures",3.0,0
"BARSTOW",2019,"Total Units",1.0,1.0
"BARSTOW",2019,"Units in Single-Family Structures",2.0,1.0
"BARSTOW",2019,"Units in All Multi-Family Structures",3.0,0
"BEAUMONT",2019,"Total Units",1.0,535.0
"BEAUMONT",2019,"Units in Single-Family Structures",2.0,535.0
"BEAUMONT",2019,"Units in All Multi-Family Structures",3.0,0
"BELL",2019,"Total Units",1.0,63.0
"BELL",2019,"Units in Single-Family Structures",2.0,11.0
"BELL",2019,"Units in All Multi-Family Structures",3.0,52.0
"BELL GARDENS",2019,"Total Units",1.0,7.0
"BELL GARDENS",2019,"Units in Single-Family Structures",2.0,3.0
"BELL GARDENS",2019,"Units in All Multi-Family Structures",3.0,4.0
"BELLFLOWER",2019,"Total Units",1.0,19.0
"BELLFLOWER",2019,"Units in Single-Family Structures",2.0,3.0
"BELLFLOWER",2019,"Units in All Multi-Family Structures",3.0,16.0
"BELMONT",2019,"Total Units",1.0,1.0
"BELMONT",2019,"Units in Single-Family Structures",2.0,1.0
"BELMONT",2019,"Units in All Multi-Family Structures",3.0,0
"BELVEDERE",2019,"Total Units",1.0,5.0
"BELVEDERE",2019,"Units in Single-Family Structures",2.0,5.0
"BELVEDERE",2019,"Units in All Multi-Family Structures",3.0,0
"BENICIA",2019,"Total Units",1.0,6.0
"BENICIA",2019,"Units in Single-Family Structures",2.0,6.0
"BENICIA",2019,"Units in All Multi-Family Structures",3.0,0
"BERKELEY",2019,"Total Units",1.0,266.0
"BERKELEY",2019,"Units in Single-Family Structures",2.0,80.0
"BERKELEY",2019,"Units in All Multi-Family Structures",3.0,186.0
"BEVERLY HILLS",2019,"Total Units",1.0,25.0
"BEVERLY HILLS",2019,"Units in Single-Family Structures",2.0,17.0
"BEVERLY HILLS",2019,"Units in All Multi-Family Structures",3.0,8.0
"BIG BEAR LAKE",2019,"Total Units",1.0,25.0
"BIG BEAR LAKE",2019,"Units in Single-Family Structures",2.0,25.0
"BIG BEAR LAKE",2019,"Units in All Multi-Family Structures",3.0,0
"BIGGS",2019,"Total Units",1.0,0
"BIGGS",2019,"Units in Single-Family Structures",2.0,0
"BIGGS",2019,"Units in All Multi-Family Structures",3.0,0
"BISHOP",2019,"Total Units",1.0,1.0
"BISHOP",2019,"Units in Single-Family Structures",2.0,1.0
"BISHOP",2019,"Units in All Multi-Family Structures",3.0,0
"BLUE LAKE",2019,"Total Units",1.0,1.0
"BLUE LAKE",2019,"Units in Single-Family Structures",2.0,1.0
"BLUE LAKE",2019,"Units in All Multi-Family Structures",3.0,0
"BLYTHE",2019,"Total Units",1.0,1.0
"BLYTHE",2019,"Units in Single-Family Structures",2.0,1.0
"BLYTHE",2019,"Units in All Multi-Family Structures",3.0,0
"BRADBURY",2019,"Total Units",1.0,2.0
"BRADBURY",2019,"Units in Single-Family Structures",2.0,2.0
"BRADBURY",2019,"Units in All Multi-Family Structures",3.0,0
"BRAWLEY",2019,"Total Units",1.0,112.0
"BRAWLEY",2019,"Units in Single-Family Structures",2.0,52.0
"BRAWLEY",2019,"Units in All Multi-Family Structures",3.0,60.0
