GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
1600000US0600135,0600135,"Acalanes Ridge CDP, California",409,79,152750,36185,74.3,13.1,138542,85606,0.0,8.2,-,**,0.0,8.2,-,**,18.1,10.9,153500,51928,0.0,8.2,-,**,0.0,8.2,-,**,7.6,11.5,-,**,0.0,8.2,-,**,74.3,13.1,138542,85606,0.0,8.2,-,**,20.5,12.1,220000,175772,59.7,14.0,161591,91241,19.8,11.3,106797,91480,287,83,188295,75009,39.7,16.6,"250,000+",***,60.3,16.6,153083,31368,87.8,12.8,219286,70070,12.2,12.8,-,**,0.0,11.5,-,**,122,59,41346,55051,51.6,30.7,41058,93778,51.6,30.7,41058,93778,0.0,24.6,-,**,48.4,30.7,72708,79140,33.6,28.1,33828,58728,14.8,22.6,-,**,4.4,(X),(X),(X),0.0,(X),(X),(X),14.8,(X),(X),(X)
1600000US0600156,0600156,"Acampo CDP, California",138,111,126923,35724,100.0,22.2,126923,35724,0.0,22.2,-,**,0.0,22.2,-,**,0.0,22.2,-,**,0.0,22.2,-,**,0.0,22.2,-,**,0.0,22.2,-,**,47.1,50.0,-,**,52.9,50.0,151017,83789,0.0,22.2,-,**,13.8,27.4,-,**,86.2,27.4,127288,43664,0.0,22.2,-,**,119,110,127288,43664,0.0,25.1,-,**,100.0,25.1,127288,43664,100.0,25.1,127288,43664,0.0,25.1,-,**,0.0,25.1,-,**,19,30,-,**,0.0,70.6,-,**,0.0,70.6,-,**,0.0,70.6,-,**,100.0,70.6,-,**,100.0,70.6,-,**,0.0,70.6,-,**,68.8,(X),(X),(X),63.9,(X),(X),(X),100.0,(X),(X),(X)
1600000US0600212,0600212,"Acton CDP, California",2417,169,89886,10221,94.3,2.8,92054,12213,0.0,1.4,-,**,0.0,1.4,-,**,0.7,0.8,173889,14693,0.0,1.4,-,**,4.9,2.8,85170,44061,0.0,1.4,-,**,9.8,2.7,79868,22520,88.4,3.3,91736,13822,0.0,1.4,-,**,22.0,4.7,95143,41046,59.7,5.4,96790,6553,18.3,4.0,65652,19497,1947,190,96781,4667,34.7,6.7,97692,37696,65.3,6.7,96307,9247,85.0,5.0,101824,21950,11.9,4.2,45110,22145,3.2,2.8,82955,63049,470,138,46500,30341,39.1,15.1,34097,15801,28.7,13.3,33368,7819,10.4,10.6,100144,106792,60.9,15.1,62292,40898,41.1,15.0,60208,69873,19.8,16.0,65262,78279,27.3,(X),(X),(X),28.6,(X),(X),(X),22.1,(X),(X),(X)
1600000US0600296,0600296,"Adelanto city, California",7447,511,38768,4284,58.7,5.0,42938,3699,21.2,4.2,16923,3177,0.2,0.3,-,**,2.6,1.3,65648,38544,0.4,0.6,-,**,11.2,3.6,35547,15047,5.7,2.1,32305,10905,44.3,4.0,40608,4423,27.2,4.5,45990,9504,7.1,3.6,27622,26845,50.6,4.4,42008,5345,31.3,4.2,42056,4669,10.9,2.4,29041,8598,6314,337,40524,3129,64.9,4.6,40988,7673,35.1,4.6,39883,4208,60.7,5.0,49886,6144,31.5,4.9,15497,3020,7.9,3.1,49306,28112,1133,360,29051,7341,55.1,13.5,32523,9546,44.8,13.7,32750,12407,10.2,5.8,29167,21970,44.9,13.5,25820,12436,29.1,11.2,16382,9267,15.8,8.7,60573,61765,36.5,(X),(X),(X),35.0,(X),(X),(X),30.3,(X),(X),(X)
1600000US0600310,0600310,"Adin CDP, California",129,50,29485,45312,100.0,23.5,29485,45312,0.0,23.5,-,**,0.0,23.5,-,**,0.0,23.5,-,**,0.0,23.5,-,**,0.0,23.5,-,**,0.0,23.5,-,**,0.0,23.5,-,**,100.0,23.5,29485,45312,0.0,23.5,-,**,20.2,22.2,-,**,50.4,27.5,29271,45546,29.5,16.3,19500,12529,80,43,60179,17867,32.5,36.7,-,**,67.5,36.7,55357,54344,82.5,24.7,56429,33080,17.5,24.7,-,**,0.0,33.7,-,**,49,30,18750,2760,75.5,26.8,18125,6977,75.5,26.8,18125,6977,0.0,44.0,-,**,24.5,26.8,23125,33288,18.4,23.0,-,**,6.1,12.3,-,**,18.6,(X),(X),(X),20.0,(X),(X),(X),16.3,(X),(X),(X)
1600000US0600394,0600394,"Agoura Hills city, California",7316,264,107885,6627,88.4,2.7,108310,7619,0.6,0.6,28125,179682,0.0,0.5,-,**,6.2,1.4,139200,35916,0.0,0.5,-,**,2.9,1.8,31094,86214,2.0,1.4,142972,22070,9.5,2.5,96415,21803,82.6,3.0,108558,7811,1.1,0.9,47969,106128,26.1,4.1,110865,19690,53.4,4.3,132560,23203,19.4,3.4,64100,9479,5693,243,122793,13833,43.1,4.3,140032,29691,56.9,4.3,120000,11972,80.4,4.4,147616,9876,17.7,4.3,50479,16490,1.9,1.3,42250,76430,1623,333,68169,15500,42.1,9.9,54000,10934,35.1,8.9,48393,12856,7.1,5.2,67788,103878,57.9,9.9,92014,30012,38.4,8.9,90625,46868,19.5,8.7,100658,36441,29.1,(X),(X),(X),29.7,(X),(X),(X),27.2,(X),(X),(X)
1600000US0600450,0600450,"Agua Dulce CDP, California",1036,135,103333,14768,93.3,7.0,100524,11340,0.0,3.3,-,**,0.0,3.3,-,**,0.0,3.3,-,**,0.0,3.3,-,**,0.0,3.3,-,**,6.7,7.0,-,**,15.1,8.0,150081,128623,81.8,9.1,100444,8132,0.8,1.3,-,**,20.0,9.8,84360,23456,57.0,8.7,127179,16605,22.2,6.6,60833,12375,840,132,117500,25939,41.9,12.2,127143,43399,58.1,12.2,104302,19894,93.9,7.4,124306,18661,6.1,7.4,-,**,0.0,4.1,-,**,196,81,31905,19676,46.4,22.0,30774,10671,46.4,22.0,30774,10671,0.0,16.3,-,**,53.6,22.0,39479,102197,29.1,19.4,23625,21694,24.5,22.5,195565,155758,35.3,(X),(X),(X),38.5,(X),(X),(X),21.9,(X),(X),(X)
1600000US0600464,0600464,"Aguanga CDP, California",419,152,49618,9466,88.3,11.4,49097,20091,3.8,6.2,-,**,0.0,8.0,-,**,0.0,8.0,-,**,0.0,8.0,-,**,3.8,6.4,-,**,4.1,6.7,-,**,3.8,6.4,-,**,88.3,11.4,49097,20091,0.0,8.0,-,**,3.8,6.4,-,**,50.6,19.3,49375,6696,45.6,19.5,39297,58910,210,90,51686,5506,71.4,20.9,50872,2880,28.6,20.9,57188,56077,84.3,17.9,51657,5334,7.6,12.7,-,**,8.1,11.7,-,**,209,132,27212,58673,21.5,21.5,11397,26976,14.4,18.4,-,**,7.2,11.6,-,**,78.5,21.5,40500,102093,78.5,21.5,40500,102093,0.0,15.4,-,**,35.3,(X),(X),(X),37.6,(X),(X),(X),33.0,(X),(X),(X)
1600000US0600478,0600478,"Ahwahnee CDP, California",762,150,54926,8736,96.7,3.3,54963,8910,0.0,4.5,-,**,0.0,4.5,-,**,0.0,4.5,-,**,0.0,4.5,-,**,0.0,4.5,-,**,3.3,3.3,52404,58295,1.6,2.5,-,**,96.7,3.3,54963,8910,2.4,3.1,-,**,24.8,10.5,80521,89197,34.8,11.5,61695,18689,38.1,12.2,37794,18686,478,128,68611,25655,27.2,12.9,128500,84645,72.8,12.9,61458,15372,100.0,7.1,68611,25655,0.0,7.1,-,**,0.0,7.1,-,**,284,106,28333,5543,45.4,24.6,18750,34723,41.2,24.4,17961,19709,4.2,6.2,-,**,54.6,24.6,28942,3657,54.6,24.6,28942,3657,0.0,11.6,-,**,25.7,(X),(X),(X),31.6,(X),(X),(X),15.8,(X),(X),(X)
