GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
1500000US060371011101,060371011101,"Block Group 1, Census Tract 1011.10, Los Angeles County, California",659,95,621,96,38,41
1500000US060371011102,060371011102,"Block Group 2, Census Tract 1011.10, Los Angeles County, California",641,95,597,94,44,47
1500000US060371011103,060371011103,"Block Group 3, Census Tract 1011.10, Los Angeles County, California",457,97,427,98,30,37
1500000US060371011221,060371011221,"Block Group 1, Census Tract 1011.22, Los Angeles County, California",877,95,785,100,92,60
1500000US060371011222,060371011222,"Block Group 2, Census Tract 1011.22, Los Angeles County, California",497,94,433,99,64,49
1500000US060371012101,060371012101,"Block Group 1, Census Tract 1012.10, Los Angeles County, California",941,138,917,142,24,38
1500000US060371012102,060371012102,"Block Group 2, Census Tract 1012.10, Los Angeles County, California",1421,132,1382,132,39,58
1500000US060371012201,060371012201,"Block Group 1, Census Tract 1012.20, Los Angeles County, California",410,65,377,66,33,36
1500000US060371012202,060371012202,"Block Group 2, Census Tract 1012.20, Los Angeles County, California",846,74,787,80,59,47
1500000US060371013001,060371013001,"Block Group 1, Census Tract 1013, Los Angeles County, California",441,89,420,86,21,34
1500000US060371013002,060371013002,"Block Group 2, Census Tract 1013, Los Angeles County, California",436,64,429,66,7,12
1500000US060371013003,060371013003,"Block Group 3, Census Tract 1013, Los Angeles County, California",355,93,348,93,7,11
1500000US060371013004,060371013004,"Block Group 4, Census Tract 1013, Los Angeles County, California",338,74,338,74,0,12
1500000US060371014001,060371014001,"Block Group 1, Census Tract 1014, Los Angeles County, California",383,79,383,79,0,12
1500000US060371014002,060371014002,"Block Group 2, Census Tract 1014, Los Angeles County, California",633,78,605,75,28,44
1500000US060371014003,060371014003,"Block Group 3, Census Tract 1014, Los Angeles County, California",527,82,510,84,17,28
1500000US060371021031,060371021031,"Block Group 1, Census Tract 1021.03, Los Angeles County, California",708,36,680,46,28,32
1500000US060371021041,060371021041,"Block Group 1, Census Tract 1021.04, Los Angeles County, California",830,120,794,126,36,54
1500000US060371021042,060371021042,"Block Group 2, Census Tract 1021.04, Los Angeles County, California",500,123,500,123,0,12
1500000US060371021051,060371021051,"Block Group 1, Census Tract 1021.05, Los Angeles County, California",231,45,231,45,0,12
1500000US060371021052,060371021052,"Block Group 2, Census Tract 1021.05, Los Angeles County, California",346,45,346,45,0,12
