GEO.id,GEO.id2,GEO.display-label,D001,D002,D003
Id,Id2,Geography,Total:,Occupied,Vacant
1500000US060371011101,060371011101,"Block Group 1, Census Tract 1011.10, Los Angeles County, California",736,695,41
1500000US060371011102,060371011102,"Block Group 2, Census Tract 1011.10, Los Angeles County, California",652,616,36
1500000US060371011103,060371011103,"Block Group 3, Census Tract 1011.10, Los Angeles County, California",346,330,16
1500000US060371011221,060371011221,"Block Group 1, Census Tract 1011.22, Los Angeles County, California",829,807,22
1500000US060371011222,060371011222,"Block Group 2, Census Tract 1011.22, Los Angeles County, California",540,518,22
1500000US060371012101,060371012101,"Block Group 1, Census Tract 1012.10, Los Angeles County, California",942,868,74
1500000US060371012102,060371012102,"Block Group 2, Census Tract 1012.10, Los Angeles County, California",1375,1282,93
1500000US060371012201,060371012201,"Block Group 1, Census Tract 1012.20, Los Angeles County, California",453,427,26
1500000US060371012202,060371012202,"Block Group 2, Census Tract 1012.20, Los Angeles County, California",864,819,45
1500000US060371013001,060371013001,"Block Group 1, Census Tract 1013, Los Angeles County, California",480,470,10
1500000US060371013002,060371013002,"Block Group 2, Census Tract 1013, Los Angeles County, California",459,453,6
1500000US060371013003,060371013003,"Block Group 3, Census Tract 1013, Los Angeles County, California",329,323,6
1500000US060371013004,060371013004,"Block Group 4, Census Tract 1013, Los Angeles County, California",314,296,18
1500000US060371014001,060371014001,"Block Group 1, Census Tract 1014, Los Angeles County, California",296,273,23
1500000US060371014002,060371014002,"Block Group 2, Census Tract 1014, Los Angeles County, California",721,696,25
1500000US060371014003,060371014003,"Block Group 3, Census Tract 1014, Los Angeles County, California",551,529,22
1500000US060371021031,060371021031,"Block Group 1, Census Tract 1021.03, Los Angeles County, California",680,630,50
1500000US060371021041,060371021041,"Block Group 1, Census Tract 1021.04, Los Angeles County, California",983,943,40
1500000US060371021042,060371021042,"Block Group 2, Census Tract 1021.04, Los Angeles County, California",343,336,7
1500000US060371021051,060371021051,"Block Group 1, Census Tract 1021.05, Los Angeles County, California",273,263,10
1500000US060371021052,060371021052,"Block Group 2, Census Tract 1021.05, Los Angeles County, California",287,264,23
1500000US060371021071,060371021071,"Block Group 1, Census Tract 1021.07, Los Angeles County, California",943,905,38
1500000US060371021072,060371021072,"Block Group 2, Census Tract 1021.07, Los Angeles County, California",383,364,19
1500000US060371031011,060371031011,"Block Group 1, Census Tract 1031.01, Los Angeles County, California",642,618,24
1500000US060371031012,060371031012,"Block Group 2, Census Tract 1031.01, Los Angeles County, California",306,300,6
1500000US060371031021,060371031021,"Block Group 1, Census Tract 1031.02, Los Angeles County, California",311,301,10
1500000US060371031022,060371031022,"Block Group 2, Census Tract 1031.02, Los Angeles County, California",259,246,13
1500000US060371031023,060371031023,"Block Group 3, Census Tract 1031.02, Los Angeles County, California",409,385,24
1500000US060371031024,060371031024,"Block Group 4, Census Tract 1031.02, Los Angeles County, California",344,327,17
1500000US060371031025,060371031025,"Block Group 5, Census Tract 1031.02, Los Angeles County, California",385,368,17
1500000US060371032001,060371032001,"Block Group 1, Census Tract 1032, Los Angeles County, California",605,585,20
1500000US060371032002,060371032002,"Block Group 2, Census Tract 1032, Los Angeles County, California",772,750,22
1500000US060371032003,060371032003,"Block Group 3, Census Tract 1032, Los Angeles County, California",908,847,61
1500000US060371033001,060371033001,"Block Group 1, Census Tract 1033, Los Angeles County, California",671,633,38
1500000US060371033002,060371033002,"Block Group 2, Census Tract 1033, Los Angeles County, California",729,689,40
1500000US060371034001,060371034001,"Block Group 1, Census Tract 1034, Los Angeles County, California",494,444,50
1500000US060371034002,060371034002,"Block Group 2, Census Tract 1034, Los Angeles County, California",312,299,13
1500000US060371034003,060371034003,"Block Group 3, Census Tract 1034, Los Angeles County, California",256,249,7
1500000US060371034004,060371034004,"Block Group 4, Census Tract 1034, Los Angeles County, California",430,407,23
1500000US060371034005,060371034005,"Block Group 5, Census Tract 1034, Los Angeles County, California",992,943,49
1500000US060371041031,060371041031,"Block Group 1, Census Tract 1041.03, Los Angeles County, California",399,389,10
1500000US060371041032,060371041032,"Block Group 2, Census Tract 1041.03, Los Angeles County, California",443,428,15
1500000US060371041051,060371041051,"Block Group 1, Census Tract 1041.05, Los Angeles County, California",310,287,23
1500000US060371041052,060371041052,"Block Group 2, Census Tract 1041.05, Los Angeles County, California",1146,1104,42
1500000US060371041081,060371041081,"Block Group 1, Census Tract 1041.08, Los Angeles County, California",422,398,24
1500000US060371041082,060371041082,"Block Group 2, Census Tract 1041.08, Los Angeles County, California",666,642,24
1500000US060371041083,060371041083,"Block Group 3, Census Tract 1041.08, Los Angeles County, California",258,251,7
1500000US060371041241,060371041241,"Block Group 1, Census Tract 1041.24, Los Angeles County, California",466,435,31
1500000US060371041242,060371041242,"Block Group 2, Census Tract 1041.24, Los Angeles County, California",492,465,27
1500000US060371041243,060371041243,"Block Group 3, Census Tract 1041.24, Los Angeles County, California",257,244,13
1500000US060371042011,060371042011,"Block Group 1, Census Tract 1042.01, Los Angeles County, California",230,221,9
1500000US060371042012,060371042012,"Block Group 2, Census Tract 1042.01, Los Angeles County, California",341,328,13
1500000US060371042013,060371042013,"Block Group 3, Census Tract 1042.01, Los Angeles County, California",314,299,15
1500000US060371042031,060371042031,"Block Group 1, Census Tract 1042.03, Los Angeles County, California",646,612,34
1500000US060371042032,060371042032,"Block Group 2, Census Tract 1042.03, Los Angeles County, California",512,473,39
1500000US060371042041,060371042041,"Block Group 1, Census Tract 1042.04, Los Angeles County, California",345,332,13
1500000US060371042042,060371042042,"Block Group 2, Census Tract 1042.04, Los Angeles County, California",408,391,17
1500000US060371043101,060371043101,"Block Group 1, Census Tract 1043.10, Los Angeles County, California",240,228,12
1500000US060371043102,060371043102,"Block Group 2, Census Tract 1043.10, Los Angeles County, California",363,340,23
1500000US060371043103,060371043103,"Block Group 3, Census Tract 1043.10, Los Angeles County, California",328,318,10
1500000US060371043201,060371043201,"Block Group 1, Census Tract 1043.20, Los Angeles County, California",545,505,40
1500000US060371043202,060371043202,"Block Group 2, Census Tract 1043.20, Los Angeles County, California",300,286,14
1500000US060371043203,060371043203,"Block Group 3, Census Tract 1043.20, Los Angeles County, California",290,262,28
1500000US060371043204,060371043204,"Block Group 4, Census Tract 1043.20, Los Angeles County, California",224,212,12
1500000US060371044011,060371044011,"Block Group 1, Census Tract 1044.01, Los Angeles County, California",309,288,21
1500000US060371044012,060371044012,"Block Group 2, Census Tract 1044.01, Los Angeles County, California",416,394,22
1500000US060371044031,060371044031,"Block Group 1, Census Tract 1044.03, Los Angeles County, California",403,380,23
1500000US060371044032,060371044032,"Block Group 2, Census Tract 1044.03, Los Angeles County, California",314,277,37
1500000US060371044041,060371044041,"Block Group 1, Census Tract 1044.04, Los Angeles County, California",288,278,10
1500000US060371044042,060371044042,"Block Group 2, Census Tract 1044.04, Los Angeles County, California",406,384,22
1500000US060371045001,060371045001,"Block Group 1, Census Tract 1045, Los Angeles County, California",275,259,16
1500000US060371045002,060371045002,"Block Group 2, Census Tract 1045, Los Angeles County, California",473,426,47
1500000US060371046101,060371046101,"Block Group 1, Census Tract 1046.10, Los Angeles County, California",515,484,31
1500000US060371046102,060371046102,"Block Group 2, Census Tract 1046.10, Los Angeles County, California",270,245,25
1500000US060371046201,060371046201,"Block Group 1, Census Tract 1046.20, Los Angeles County, California",296,264,32
1500000US060371046202,060371046202,"Block Group 2, Census Tract 1046.20, Los Angeles County, California",500,458,42
1500000US060371047011,060371047011,"Block Group 1, Census Tract 1047.01, Los Angeles County, California",258,239,19
1500000US060371047012,060371047012,"Block Group 2, Census Tract 1047.01, Los Angeles County, California",467,467,0
1500000US060371047013,060371047013,"Block Group 3, Census Tract 1047.01, Los Angeles County, California",206,194,12
1500000US060371047031,060371047031,"Block Group 1, Census Tract 1047.03, Los Angeles County, California",314,299,15
1500000US060371047032,060371047032,"Block Group 2, Census Tract 1047.03, Los Angeles County, California",270,258,12
1500000US060371047041,060371047041,"Block Group 1, Census Tract 1047.04, Los Angeles County, California",1159,1117,42
1500000US060371048101,060371048101,"Block Group 1, Census Tract 1048.10, Los Angeles County, California",200,187,13
1500000US060371048102,060371048102,"Block Group 2, Census Tract 1048.10, Los Angeles County, California",290,268,22
1500000US060371048103,060371048103,"Block Group 3, Census Tract 1048.10, Los Angeles County, California",642,573,69
1500000US060371048211,060371048211,"Block Group 1, Census Tract 1048.21, Los Angeles County, California",574,532,42
1500000US060371048212,060371048212,"Block Group 2, Census Tract 1048.21, Los Angeles County, California",260,228,32
1500000US060371048221,060371048221,"Block Group 1, Census Tract 1048.22, Los Angeles County, California",614,562,52
1500000US060371060101,060371060101,"Block Group 1, Census Tract 1060.10, Los Angeles County, California",962,930,32
1500000US060371060201,060371060201,"Block Group 1, Census Tract 1060.20, Los Angeles County, California",567,545,22
1500000US060371060202,060371060202,"Block Group 2, Census Tract 1060.20, Los Angeles County, California",866,840,26
1500000US060371061111,060371061111,"Block Group 1, Census Tract 1061.11, Los Angeles County, California",527,516,11
1500000US060371061112,060371061112,"Block Group 2, Census Tract 1061.11, Los Angeles County, California",818,797,21
1500000US060371061121,060371061121,"Block Group 1, Census Tract 1061.12, Los Angeles County, California",613,594,19
1500000US060371061122,060371061122,"Block Group 2, Census Tract 1061.12, Los Angeles County, California",888,868,20
1500000US060371061131,060371061131,"Block Group 1, Census Tract 1061.13, Los Angeles County, California",492,474,18
1500000US060371061132,060371061132,"Block Group 2, Census Tract 1061.13, Los Angeles County, California",392,376,16
1500000US060371061141,060371061141,"Block Group 1, Census Tract 1061.14, Los Angeles County, California",1251,1154,97
1500000US060371061142,060371061142,"Block Group 2, Census Tract 1061.14, Los Angeles County, California",371,346,25
1500000US060371064031,060371064031,"Block Group 1, Census Tract 1064.03, Los Angeles County, California",301,287,14
1500000US060371064032,060371064032,"Block Group 2, Census Tract 1064.03, Los Angeles County, California",261,245,16
