GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
1600000US0600135,0600135,"Acalanes Ridge CDP, California",482,99,482,99,0,95
1600000US0600156,0600156,"Acampo CDP, California",71,97,71,97,0,95
1600000US0600212,0600212,"Acton CDP, California",2618,187,2414,194,204,114
1600000US0600296,0600296,"Adelanto city, California",8417,484,7060,386,1357,328
1600000US0600310,0600310,"Adin CDP, California",214,67,198,70,16,21
1600000US0600394,0600394,"Agoura Hills city, California",7511,280,7182,238,329,166
1600000US0600450,0600450,"Agua Dulce CDP, California",1237,145,1042,132,195,115
1600000US0600464,0600464,"Aguanga CDP, California",603,193,562,192,41,39
1600000US0600478,0600478,"Ahwahnee CDP, California",897,168,798,160,99,103
1600000US0600535,0600535,"Airport CDP, California",601,113,484,110,117,67
1600000US0600562,0600562,"Alameda city, California",31522,532,29087,485,2435,391
1600000US0600618,0600618,"Alamo CDP, California",5608,204,5419,236,189,110
1600000US0600674,0600674,"Albany city, California",7833,241,7301,224,532,170
1600000US0600716,0600716,"Albion CDP, California",131,79,131,79,0,95
1600000US0600786,0600786,"Alderpoint CDP, California",48,59,48,59,0,95
1600000US0600884,0600884,"Alhambra city, California",30751,522,28824,510,1927,333
1600000US0600898,0600898,"Alhambra Valley CDP, California",367,124,367,124,0,95
1600000US0600947,0600947,"Aliso Viejo city, California",19135,369,18077,356,1058,234
1600000US0600982,0600982,"Alleghany CDP, California",28,26,16,19,12,18
1600000US0600996,0600996,"Allendale CDP, California",703,120,703,120,0,95
1600000US0601010,0601010,"Allensworth CDP, California",98,25,74,24,24,11
1600000US0601094,0601094,"Almanor CDP, California",96,76,10,16,86,74
1600000US0601150,0601150,"Alondra Park CDP, California",2737,166,2636,163,101,83
1600000US0601164,0601164,"Alpaugh CDP, California",226,41,209,39,17,15
1600000US0601192,0601192,"Alpine CDP, California",5496,127,5015,225,481,200
1600000US0601228,0601228,"Alpine Village CDP, California",89,31,61,28,28,15
1600000US0601276,0601276,"Alta CDP, California",325,56,204,50,121,45
1600000US0601290,0601290,"Altadena CDP, California",16087,212,15498,264,589,187
1600000US0601360,0601360,"Alta Sierra CDP, California",3100,103,2903,147,197,125
1600000US0601416,0601416,"Alto CDP, California",318,94,318,94,0,95
1600000US0601444,0601444,"Alturas city, California",1368,145,1184,119,184,108
1600000US0601458,0601458,"Alum Rock CDP, California",3137,209,2869,212,268,139
