"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Occupied","Margin of Error!!Total!!Occupied","Estimate!!Total!!Vacant","Margin of Error!!Total!!Vacant"
"1600000US0603274","Avalon city, California","2330","244","1493","185","837","164"
"1600000US0686328","Woodland city, California","21182","447","20408","444","774","224"
"1600000US0600212","Acton CDP, California","2863","134","2667","143","196","109"
"1600000US0602462","Arcadia city, California","21198","525","19316","477","1882","312"
"1600000US0604870","Bell city, California","9095","293","8825","285","270","107"
"1600000US0611530","Carson city, California","26113","536","25469","480","644","211"
"1600000US0615044","Compton city, California","24939","578","23974","563","965","197"
"1600000US0619192","Diamond Bar city, California","18232","388","17645","383","587","190"
"1600000US0621096","East San Gabriel CDP, California","5432","113","5096","149","336","118"
"1600000US0684550","Westminster city, California","28313","525","27529","468","784","199"
"1600000US0646170","Marysville city, California","4967","323","4592","289","375","167"
"1600000US0657829","Plumas Lake CDP, California","2126","214","2093","216","33","38"
"1600000US0658134","Ponderosa CDP, California","176","107","0","12","176","107"
"1600000US0658422","Posey CDP, California","28","16","0","12","28","16"
"1600000US0658436","Poso Park CDP, California","60","21","2","3","58","20"
"1600000US0658478","Potrero CDP, California","113","55","113","55","0","12"
"1600000US0658506","Potter Valley CDP, California","203","54","203","54","0","12"
"1600000US0658758","Princeton CDP, California","165","44","132","44","33","27"
"1600000US0658814","Proberta CDP, California","45","38","45","38","0","12"
"1600000US0659115","Rackerby CDP, California","123","34","81","32","42","32"
"1600000US0659896","Red Corral CDP, California","893","142","705","152","188","110"
"1600000US0659906","Redcrest CDP, California","23","18","13","14","10","11"
"1600000US0660214","Redwood Valley CDP, California","660","144","578","133","82","83"
"1600000US0660279","Reliez Valley CDP, California","1496","161","1482","160","14","23"
"1600000US0660592","Richfield CDP, California","152","68","93","32","59","61"
"1600000US0660662","Richvale CDP, California","103","59","78","48","25","37"
"1600000US0660970","Rio Oso CDP, California","144","32","121","30","23","17"
