GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total population in occupied housing units:,Margin of Error; Total population in occupied housing units:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - Moved in 2010 or later,Margin of Error; Owner occupied: - Moved in 2010 or later,Estimate; Owner occupied: - Moved in 2000 to 2009,Margin of Error; Owner occupied: - Moved in 2000 to 2009,Estimate; Owner occupied: - Moved in 1990 to 1999,Margin of Error; Owner occupied: - Moved in 1990 to 1999,Estimate; Owner occupied: - Moved in 1980 to 1989,Margin of Error; Owner occupied: - Moved in 1980 to 1989,Estimate; Owner occupied: - Moved in 1970 to 1979,Margin of Error; Owner occupied: - Moved in 1970 to 1979,Estimate; Owner occupied: - Moved in 1969 or earlier,Margin of Error; Owner occupied: - Moved in 1969 or earlier,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - Moved in 2010 or later,Margin of Error; Renter occupied: - Moved in 2010 or later,Estimate; Renter occupied: - Moved in 2000 to 2009,Margin of Error; Renter occupied: - Moved in 2000 to 2009,Estimate; Renter occupied: - Moved in 1990 to 1999,Margin of Error; Renter occupied: - Moved in 1990 to 1999,Estimate; Renter occupied: - Moved in 1980 to 1989,Margin of Error; Renter occupied: - Moved in 1980 to 1989,Estimate; Renter occupied: - Moved in 1970 to 1979,Margin of Error; Renter occupied: - Moved in 1970 to 1979,Estimate; Renter occupied: - Moved in 1969 or earlier,Margin of Error; Renter occupied: - Moved in 1969 or earlier
1600000US0600135,0600135,"Acalanes Ridge CDP, California",1226,321,1072,307,42,76,445,243,351,230,204,155,14,24,16,25,154,145,23,28,59,89,72,110,0,12,0,12,0,12
1600000US0600156,0600156,"Acampo CDP, California",776,732,633,733,0,12,633,733,0,12,0,12,0,12,0,12,143,188,0,12,143,188,0,12,0,12,0,12,0,12
1600000US0600212,0600212,"Acton CDP, California",6945,471,6178,496,626,320,3014,499,1739,472,749,266,50,40,0,17,767,323,483,257,277,229,7,10,0,17,0,17,0,17
1600000US0600296,0600296,"Adelanto city, California",30058,660,14895,1759,3646,1681,8103,1529,2950,841,78,74,97,105,21,31,15163,1737,9374,1787,5114,1489,643,377,8,13,0,26,24,42
1600000US0600310,0600310,"Adin CDP, California",197,144,141,115,0,12,4,6,81,104,49,52,7,10,0,12,56,93,0,12,56,93,0,12,0,12,0,12,0,12
1600000US0600394,0600394,"Agoura Hills city, California",20537,63,15404,971,1208,505,6255,943,4287,839,2575,509,853,367,226,142,5133,987,2160,670,2749,936,139,127,85,130,0,23,0,23
1600000US0600450,0600450,"Agua Dulce CDP, California",2881,448,2655,420,424,243,891,352,588,209,554,218,131,81,67,52,226,168,174,166,25,33,22,33,0,12,0,12,5,8
1600000US0600464,0600464,"Aguanga CDP, California",897,409,691,290,112,104,354,198,125,165,100,114,0,12,0,12,206,311,0,12,190,310,16,26,0,12,0,12,0,12
1600000US0600478,0600478,"Ahwahnee CDP, California",2154,539,1629,575,53,60,1102,548,325,186,37,34,78,57,34,53,525,309,91,87,412,324,22,37,0,12,0,12,0,12
1600000US0600535,0600535,"Airport CDP, California",1547,411,501,209,22,39,319,212,120,163,28,35,12,20,0,12,1046,397,346,200,688,373,0,12,0,12,12,20,0,12
