"GEO_ID","id",
"NAME","Geographic Area Name",
"B25026_001E","Estimate!!Total population in occupied housing units",
"B25026_001M","Margin of Error!!Total population in occupied housing units",
"B25026_002E","Estimate!!Total population in occupied housing units!!Owner occupied",
"B25026_002M","Margin of Error!!Total population in occupied housing units!!Owner occupied",
"B25026_003E","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 2017 or later",
"B25026_003M","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 2017 or later",
"B25026_004E","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 2015 to 2016",
"B25026_004M","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 2015 to 2016",
"B25026_005E","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 2010 to 2014",
"B25026_005M","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 2010 to 2014",
"B25026_006E","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 2000 to 2009",
"B25026_006M","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 2000 to 2009",
"B25026_007E","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 1990 to 1999",
"B25026_007M","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 1990 to 1999",
"B25026_008E","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 1989 or earlier",
"B25026_008M","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 1989 or earlier",
"B25026_009E","Estimate!!Total population in occupied housing units!!Renter occupied",
"B25026_009M","Margin of Error!!Total population in occupied housing units!!Renter occupied",
"B25026_010E","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 2017 or later",
"B25026_010M","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 2017 or later",
"B25026_011E","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 2015 to 2016",
"B25026_011M","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 2015 to 2016",
"B25026_012E","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 2010 to 2014",
"B25026_012M","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 2010 to 2014",
"B25026_013E","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 2000 to 2009",
"B25026_013M","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 2000 to 2009",
"B25026_014E","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 1990 to 1999",
"B25026_014M","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 1990 to 1999",
"B25026_015E","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 1989 or earlier",
"B25026_015M","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 1989 or earlier",
