GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Householder who is White alone,Margin of Error; Total: - Householder who is White alone,Estimate; Total: - Householder who is Black or African American alone,Margin of Error; Total: - Householder who is Black or African American alone,Estimate; Total: - Householder who is American Indian and Alaska Native alone,Margin of Error; Total: - Householder who is American Indian and Alaska Native alone,Estimate; Total: - Householder who is Asian alone,Margin of Error; Total: - Householder who is Asian alone,Estimate; Total: - Householder who is Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Householder who is Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Householder who is Some other race alone,Margin of Error; Total: - Householder who is Some other race alone,Estimate; Total: - Householder who is Two or more races:,Margin of Error; Total: - Householder who is Two or more races:,Estimate; Total: - Householder who is Two or more races: - Householder who is Two races including Some other race,Margin of Error; Total: - Householder who is Two or more races: - Householder who is Two races including Some other race,"Estimate; Total: - Householder who is Two or more races: - Householder who is Two races excluding Some other race, and three or more races","Margin of Error; Total: - Householder who is Two or more races: - Householder who is Two races excluding Some other race, and three or more races"
1500000US060371011101,060371011101,"Block Group 1, Census Tract 1011.10, Los Angeles County, California",705,102,527,109,9,15,0,12,63,57,0,12,93,74,13,19,0,12,13,19
1500000US060371011102,060371011102,"Block Group 2, Census Tract 1011.10, Los Angeles County, California",603,108,443,110,0,12,0,12,47,33,0,12,113,72,0,12,0,12,0,12
1500000US060371011103,060371011103,"Block Group 3, Census Tract 1011.10, Los Angeles County, California",374,91,318,94,0,12,0,12,25,22,0,12,31,32,0,12,0,12,0,12
1500000US060371011221,060371011221,"Block Group 1, Census Tract 1011.22, Los Angeles County, California",782,89,547,100,0,12,6,11,153,54,0,12,44,34,32,40,0,12,32,40
1500000US060371011222,060371011222,"Block Group 2, Census Tract 1011.22, Los Angeles County, California",446,74,341,64,30,41,0,12,45,45,0,12,10,16,20,23,8,14,12,18
1500000US060371012101,060371012101,"Block Group 1, Census Tract 1012.10, Los Angeles County, California",871,140,586,142,34,39,0,12,56,51,0,12,180,83,15,23,15,23,0,12
1500000US060371012102,060371012102,"Block Group 2, Census Tract 1012.10, Los Angeles County, California",1345,143,952,178,90,77,0,12,24,26,0,12,208,99,71,59,0,12,71,59
1500000US060371012201,060371012201,"Block Group 1, Census Tract 1012.20, Los Angeles County, California",389,74,258,72,0,12,0,12,26,23,0,12,78,42,27,32,0,12,27,32
1500000US060371012202,060371012202,"Block Group 2, Census Tract 1012.20, Los Angeles County, California",778,87,603,89,32,35,0,12,67,37,0,12,37,27,39,31,10,17,29,26
