GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1500000US060371011101,060371011101,"Block Group 1, Census Tract 1011.10, Los Angeles County, California",465,86,328,92,242,77,86,66,43,48,43,49,137,69,113,66,24,22
1500000US060371011102,060371011102,"Block Group 2, Census Tract 1011.10, Los Angeles County, California",339,96,213,84,148,71,65,48,21,33,44,38,126,52,111,52,15,16
1500000US060371011103,060371011103,"Block Group 3, Census Tract 1011.10, Los Angeles County, California",302,89,229,78,192,70,37,41,4,7,33,40,73,52,73,52,0,12
1500000US060371011221,060371011221,"Block Group 1, Census Tract 1011.22, Los Angeles County, California",599,97,455,94,425,93,30,26,0,12,30,26,144,58,127,56,17,19
1500000US060371011222,060371011222,"Block Group 2, Census Tract 1011.22, Los Angeles County, California",358,93,257,80,202,69,55,42,0,12,55,42,101,49,48,32,53,48
1500000US060371012101,060371012101,"Block Group 1, Census Tract 1012.10, Los Angeles County, California",375,128,205,104,165,98,40,45,0,12,40,45,170,96,170,96,0,12
1500000US060371012102,060371012102,"Block Group 2, Census Tract 1012.10, Los Angeles County, California",813,167,353,141,227,114,126,76,10,16,116,74,460,137,363,109,97,75
1500000US060371012201,060371012201,"Block Group 1, Census Tract 1012.20, Los Angeles County, California",205,56,137,49,123,47,14,15,14,15,0,12,68,37,68,37,0,12
1500000US060371012202,060371012202,"Block Group 2, Census Tract 1012.20, Los Angeles County, California",473,83,264,69,189,62,75,42,21,19,54,39,209,71,179,64,30,28
1500000US060371013001,060371013001,"Block Group 1, Census Tract 1013, Los Angeles County, California",370,90,288,73,256,73,32,20,20,16,12,14,82,49,29,22,53,46
1500000US060371013002,060371013002,"Block Group 2, Census Tract 1013, Los Angeles County, California",322,71,210,67,165,58,45,44,35,39,10,19,112,50,81,41,31,29
