GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1500000US060371011101,060371011101,"Block Group 1, Census Tract 1011.10, Los Angeles County, California",140,71,122,70,61,45,61,56,30,44,31,40,18,19,0,12,18,19
1500000US060371011102,060371011102,"Block Group 2, Census Tract 1011.10, Los Angeles County, California",186,60,122,56,77,50,45,33,9,14,36,30,64,56,43,48,21,33
1500000US060371011103,060371011103,"Block Group 3, Census Tract 1011.10, Los Angeles County, California",84,55,84,55,61,47,23,22,13,18,10,14,0,12,0,12,0,12
1500000US060371011221,060371011221,"Block Group 1, Census Tract 1011.22, Los Angeles County, California",66,50,58,48,33,33,25,40,0,12,25,40,8,14,7,12,1,7
1500000US060371011222,060371011222,"Block Group 2, Census Tract 1011.22, Los Angeles County, California",8,13,8,13,8,13,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371012101,060371012101,"Block Group 1, Census Tract 1012.10, Los Angeles County, California",485,140,369,123,146,92,223,101,94,79,129,82,116,96,101,91,15,24
1500000US060371012102,060371012102,"Block Group 2, Census Tract 1012.10, Los Angeles County, California",425,131,205,101,44,51,161,88,90,74,71,57,220,110,129,78,91,77
1500000US060371012201,060371012201,"Block Group 1, Census Tract 1012.20, Los Angeles County, California",113,49,96,46,96,46,0,12,0,12,0,12,17,17,17,17,0,12
1500000US060371012202,060371012202,"Block Group 2, Census Tract 1012.20, Los Angeles County, California",137,63,82,52,74,52,8,12,0,12,8,12,55,41,55,41,0,12
1500000US060371013001,060371013001,"Block Group 1, Census Tract 1013, Los Angeles County, California",12,13,12,13,6,9,6,11,0,12,6,11,0,12,0,12,0,12
1500000US060371013002,060371013002,"Block Group 2, Census Tract 1013, Los Angeles County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
