GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1600000US0600135,0600135,"Acalanes Ridge CDP, California",1139,360,1139,360,658,218,0,12,0,12,322,169,0,12,0,12,159,195,0,12,159,195,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1600000US0600156,0600156,"Acampo CDP, California",787,749,369,340,369,340,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,418,670,418,670,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1600000US0600212,0600212,"Acton CDP, California",7058,562,5884,509,5462,554,135,81,15,26,75,52,0,17,60,100,137,92,0,17,137,92,1174,267,664,262,1,2,0,17,0,17,0,17,491,259,18,20,6,8,12,19
1600000US0600296,0600296,"Adelanto city, California",32059,30,13229,1328,5767,1010,6205,1425,6,12,395,174,0,25,48,55,808,511,6,10,802,511,18830,1329,13654,1702,209,201,21,26,33,45,0,25,4469,1279,444,193,233,128,211,134
1600000US0600310,0600310,"Adin CDP, California",173,90,173,90,173,90,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1600000US0600394,0600394,"Agoura Hills city, California",20697,42,18150,669,15555,747,431,304,10,16,1503,310,0,22,60,52,591,286,12,22,579,284,2547,667,1631,643,3,7,0,22,34,37,0,22,743,528,136,74,60,53,76,56
1600000US0600450,0600450,"Agua Dulce CDP, California",3567,428,2814,340,2456,254,7,10,0,12,61,80,0,12,0,12,290,238,0,12,290,238,753,339,464,225,5,9,0,12,0,12,0,12,82,77,202,223,38,45,164,219
1600000US0600464,0600464,"Aguanga CDP, California",766,311,568,269,568,269,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,198,172,127,128,0,12,0,12,0,12,0,12,71,113,0,12,0,12,0,12
1600000US0600478,0600478,"Ahwahnee CDP, California",1709,412,1678,409,1641,403,0,12,26,40,0,12,0,12,0,12,11,14,0,12,11,14,31,37,14,22,0,12,0,12,0,12,0,12,0,12,17,28,17,28,0,12
1600000US0600535,0600535,"Airport CDP, California",1565,374,406,184,376,190,30,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1159,360,968,414,0,12,0,12,0,12,0,12,187,166,4,8,4,8,0,12
1600000US0600562,0600562,"Alameda city, California",76733,44,67654,807,33353,1023,5297,698,138,73,23661,1172,561,222,420,332,4224,684,198,141,4026,636,9079,808,4443,658,233,200,88,92,546,343,8,13,2383,523,1378,305,557,196,821,275
1600000US0600618,0600618,"Alamo CDP, California",16301,952,14875,917,13144,915,170,144,13,16,863,244,51,49,271,265,363,193,0,19,363,193,1426,663,1386,662,0,19,12,18,18,28,0,19,10,14,0,19,0,19,0,19
1600000US0600674,0600674,"Albany city, California",19249,65,16758,449,9161,561,839,291,59,35,5166,541,198,125,157,126,1178,292,0,19,1178,292,2491,440,1176,365,12,19,164,117,5,7,0,19,615,206,519,207,191,91,328,187
