"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"1600000US0667000","San Francisco city, California","870044","*****","737393","*****","353670","486","43619","746","1363","235","294846","1598","2694","354","4163","856","37038","1603","1510","390","35528","1580","132651","*****","52868","2621","1783","466","1383","456","2821","518","217","119","63261","2783","10318","1024","5541","810","4777","580"
"1600000US0686804","Yolo CDP, California","429","202","88","66","88","66","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","341","187","169","113","0","12","0","12","0","12","0","12","172","182","0","12","0","12","0","12"
"1600000US0616651","Country Club CDP, California","9846","736","4430","487","3301","407","261","202","15","18","609","265","0","17","0","17","244","129","0","17","244","129","5416","711","3095","628","83","69","79","69","146","187","0","17","917","332","1096","538","149","88","947","537"
"1600000US0614008","Cleone CDP, California","804","268","483","175","483","175","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","321","264","127","159","0","12","194","227","0","12","0","12","0","12","0","12","0","12","0","12"
"1600000US0621061","East Richmond Heights CDP, California","3214","338","2607","273","1730","223","478","124","0","12","268","166","0","12","18","28","113","96","9","15","104","96","607","196","167","128","0","12","0","12","81","92","0","12","330","231","29","35","5","8","24","34"
"1600000US0620270","Durham CDP, California","5863","429","5105","411","4765","404","25","39","0","17","0","17","0","17","0","17","315","170","0","17","315","170","758","253","523","187","0","17","0","17","24","28","0","17","173","159","38","46","16","27","22","33"
"1600000US0651336","Nicolaus CDP, California","166","45","129","37","126","37","0","12","0","12","3","4","0","12","0","12","0","12","0","12","0","12","37","19","24","18","0","12","0","12","3","4","0","12","10","9","0","12","0","12","0","12"
"1600000US0682072","Vandenberg AFB CDP, California","3379","385","2587","355","1554","236","358","185","29","34","191","88","0","12","0","12","455","200","6","9","449","199","792","177","527","186","6","13","0","12","0","12","28","39","50","37","181","81","18","22","163","78"
"1600000US0644812","Macdoel CDP, California","105","108","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","105","108","105","108","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
