GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1600000US0600135,0600135,"Acalanes Ridge CDP, California",875000,71870
1600000US0600156,0600156,"Acampo CDP, California","1,000,000+",***
1600000US0600212,0600212,"Acton CDP, California",561900,35018
1600000US0600296,0600296,"Adelanto city, California",170500,18820
1600000US0600310,0600310,"Adin CDP, California",131300,116928
1600000US0600394,0600394,"Agoura Hills city, California",740200,34640
1600000US0600450,0600450,"Agua Dulce CDP, California",699700,70952
1600000US0600464,0600464,"Aguanga CDP, California",301200,240843
1600000US0600478,0600478,"Ahwahnee CDP, California",293300,44786
1600000US0600535,0600535,"Airport CDP, California",259900,112974
1600000US0600562,0600562,"Alameda city, California",662300,9749
1600000US0600618,0600618,"Alamo CDP, California","1,000,000+",***
1600000US0600674,0600674,"Albany city, California",625400,17798
1600000US0600716,0600716,"Albion CDP, California",511600,304441
1600000US0600786,0600786,"Alderpoint CDP, California",576400,304212
1600000US0600884,0600884,"Alhambra city, California",514800,13887
1600000US0600898,0600898,"Alhambra Valley CDP, California","1,000,000+",***
1600000US0600947,0600947,"Aliso Viejo city, California",558100,14129
1600000US0600982,0600982,"Alleghany CDP, California",-,**
1600000US0600996,0600996,"Allendale CDP, California",721800,87803
1600000US0601010,0601010,"Allensworth CDP, California",185700,32258
1600000US0601094,0601094,"Almanor CDP, California",-,**
1600000US0601150,0601150,"Alondra Park CDP, California",465900,19804
1600000US0601164,0601164,"Alpaugh CDP, California",88200,26085
1600000US0601192,0601192,"Alpine CDP, California",618800,28648
1600000US0601228,0601228,"Alpine Village CDP, California",425000,399669
1600000US0601276,0601276,"Alta CDP, California",335500,39364
1600000US0601290,0601290,"Altadena CDP, California",639600,14389
1600000US0601360,0601360,"Alta Sierra CDP, California",415400,28077
1600000US0601416,0601416,"Alto CDP, California","1,000,000+",***
1600000US0601444,0601444,"Alturas city, California",132200,17974
1600000US0601458,0601458,"Alum Rock CDP, California",543500,32359
1600000US0601514,0601514,"Amador City city, California",422200,112325
1600000US0601640,0601640,"American Canyon city, California",419000,28493
1600000US0601651,0601651,"Amesti CDP, California",517200,75270
1600000US0602000,0602000,"Anaheim city, California",503000,9211
1600000US0602028,0602028,"Anchor Bay CDP, California",645800,113209
1600000US0602042,0602042,"Anderson city, California",194300,15564
1600000US0602112,0602112,"Angels city, California",284000,51255
1600000US0602168,0602168,"Angwin CDP, California",676300,72407
1600000US0602210,0602210,"Antelope CDP, California",306400,13569
1600000US0602252,0602252,"Antioch city, California",388300,12823
1600000US0602294,0602294,"Anza CDP, California",268000,46117
1600000US0602364,0602364,"Apple Valley town, California",262100,9043
1600000US0602378,0602378,"Aptos CDP, California",714800,50984
1600000US0602382,0602382,"Aptos Hills-Larkin Valley CDP, California",850500,83040
1600000US0602420,0602420,"Arbuckle CDP, California",293600,31636
1600000US0602462,0602462,"Arcadia city, California",786400,18988
1600000US0602476,0602476,"Arcata city, California",349800,17831
1600000US0602553,0602553,"Arden-Arcade CDP, California",352000,6553
1600000US0602700,0602700,"Armona CDP, California",192700,48084
1600000US0602770,0602770,"Arnold CDP, California",447600,38156
1600000US0602812,0602812,"Aromas CDP, California",717700,97088
1600000US0602868,0602868,"Arroyo Grande city, California",541100,24708
1600000US0602896,0602896,"Artesia city, California",475500,21056
1600000US0602910,0602910,"Artois CDP, California",259100,116533
1600000US0602924,0602924,"Arvin city, California",169000,19276
1600000US0602980,0602980,"Ashland CDP, California",377900,29977
1600000US0603026,0603026,"Aspen Springs CDP, California",-,**
1600000US0603064,0603064,"Atascadero city, California",447300,13061
1600000US0603092,0603092,"Atherton town, California","1,000,000+",***
1600000US0603162,0603162,"Atwater city, California",214600,14930
1600000US0603190,0603190,"Auberry CDP, California",246200,86419
1600000US0603204,0603204,"Auburn city, California",455700,15457
1600000US0603205,0603205,"Auburn Lake Trails CDP, California",407100,32900
1600000US0603209,0603209,"August CDP, California",174500,35843
1600000US0603274,0603274,"Avalon city, California",843000,99156
1600000US0603302,0603302,"Avenal city, California",170100,22686
1600000US0603316,0603316,"Avery CDP, California",466100,310744
1600000US0603330,0603330,"Avilla Beach CDP, California",568200,147078
1600000US0603344,0603344,"Avocado Heights CDP, California",461900,21417
1600000US0603386,0603386,"Azusa city, California",385200,14915
1600000US0603512,0603512,"Baker CDP, California",18100,18089
1600000US0603526,0603526,"Bakersfield city, California",245100,3220
1600000US0603666,0603666,"Baldwin Park city, California",358800,8624
1600000US0603694,0603694,"Ballard CDP, California",924200,59467
1600000US0603708,0603708,"Ballico CDP, California",365800,118727
1600000US0603792,0603792,"Bangor CDP, California",272400,65623
1600000US0603820,0603820,"Banning city, California",233200,11269
1600000US0604030,0604030,"Barstow city, California",154400,10767
1600000US0604198,0604198,"Bass Lake CDP, California",369700,301536
1600000US0604415,0604415,"Bay Point CDP, California",303200,24340
1600000US0604470,0604470,"Bayview CDP (Contra Costa County), California",436000,67635
1600000US0604478,0604478,"Bayview CDP (Humboldt County), California",289700,49789
1600000US0604576,0604576,"Beale AFB CDP, California",-,**
1600000US0604632,0604632,"Bear Creek CDP, California",-,**
1600000US0604716,0604716,"Bear Valley CDP (Alpine County), California",-,**
1600000US0604730,0604730,"Bear Valley CDP (Mariposa County), California",67800,377985
1600000US0604734,0604734,"Bear Valley Springs CDP, California",371500,23001
1600000US0604758,0604758,"Beaumont city, California",278000,8192
1600000US0604772,0604772,"Beckwourth CDP, California",113700,153939
1600000US0604856,0604856,"Belden CDP, California",-,**
1600000US0604870,0604870,"Bell city, California",340300,17946
1600000US0604926,0604926,"Bella Vista CDP, California",325900,50310
1600000US0604938,0604938,"Bell Canyon CDP, California","1,000,000+",***
1600000US0604982,0604982,"Bellflower city, California",423400,12455
1600000US0604996,0604996,"Bell Gardens city, California",394600,36788
1600000US0605108,0605108,"Belmont city, California",900100,16634
1600000US0605164,0605164,"Belvedere city, California","1,000,000+",***
1600000US0605262,0605262,"Benbow CDP, California",571700,57489
1600000US0605276,0605276,"Bend CDP, California",321400,65554
1600000US0605290,0605290,"Benicia city, California",515200,16922
1600000US0605332,0605332,"Ben Lomond CDP, California",634100,23665
1600000US0605346,0605346,"Benton CDP, California",405600,466220
1600000US0606000,0606000,"Berkeley city, California",731100,12182
1600000US0606028,0606028,"Bermuda Dunes CDP, California",398100,46744
1600000US0606070,0606070,"Berry Creek CDP, California",190100,34576
1600000US0606150,0606150,"Bertsch-Oceanview CDP, California",211800,73119
1600000US0606210,0606210,"Bethel Island CDP, California",226400,174542
1600000US0606308,0606308,"Beverly Hills city, California","1,000,000+",***
1600000US0606336,0606336,"Bieber CDP, California",112500,26948
1600000US0606406,0606406,"Big Bear City CDP, California",299700,20594
1600000US0606434,0606434,"Big Bear Lake city, California",390500,47201
1600000US0606475,0606475,"Big Bend CDP, California",300000,345554
1600000US0606518,0606518,"Big Creek CDP, California",204200,133507
1600000US0606560,0606560,"Biggs city, California",197200,15488
1600000US0606567,0606567,"Big Lagoon CDP, California",335700,218824
1600000US0606616,0606616,"Big Pine CDP, California",254100,34595
1600000US0606635,0606635,"Big River CDP, California",91600,23485
1600000US0606728,0606728,"Biola CDP, California",241300,341478
1600000US0606798,0606798,"Bishop city, California",324200,28133
1600000US0606928,0606928,"Blackhawk CDP, California","1,000,000+",***
1600000US0606935,0606935,"Blacklake CDP, California",723400,91835
1600000US0606982,0606982,"Black Point-Green Point CDP, California","1,000,000+",***
1600000US0606994,0606994,"Blairsden CDP, California",-,**
1600000US0607036,0607036,"Bloomfield CDP, California",736100,515595
1600000US0607064,0607064,"Bloomington CDP, California",258700,29129
1600000US0607162,0607162,"Blue Lake city, California",324500,19077
1600000US0607172,0607172,"Bluewater CDP, California",19000,26081
1600000US0607218,0607218,"Blythe city, California",174700,14779
1600000US0607246,0607246,"Bodega CDP, California",707200,172026
1600000US0607260,0607260,"Bodega Bay CDP, California",748200,139846
1600000US0607274,0607274,"Bodfish CDP, California",157900,19303
1600000US0607316,0607316,"Bolinas CDP, California","1,000,000+",***
1600000US0607372,0607372,"Bombay Beach CDP, California",30100,5862
1600000US0607379,0607379,"Bonadelle Ranchos-Madera Ranchos CDP, California",333900,16158
1600000US0607414,0607414,"Bonita CDP, California",623900,28873
1600000US0607470,0607470,"Bonny Doon CDP, California",774600,75899
1600000US0607498,0607498,"Bonsall CDP, California",783800,103600
1600000US0607512,0607512,"Boonville CDP, California",465600,169329
1600000US0607525,0607525,"Bootjack CDP, California",198800,48440
1600000US0607568,0607568,"Boron CDP, California",113100,23731
1600000US0607578,0607578,"Boronda CDP, California",233800,25546
1600000US0607596,0607596,"Borrego Springs CDP, California",310600,47262
1600000US0607624,0607624,"Bostonia CDP, California",318700,31876
1600000US0607652,0607652,"Boulder Creek CDP, California",491000,43276
1600000US0607694,0607694,"Boulevard CDP, California",-,**
1600000US0607750,0607750,"Bowles CDP, California",307100,91217
1600000US0607848,0607848,"Boyes Hot Springs CDP, California",506100,50282
1600000US0607946,0607946,"Bradbury city, California","1,000,000+",***
1600000US0607974,0607974,"Bradley CDP, California",350000,29930
1600000US0608058,0608058,"Brawley city, California",181500,11039
1600000US0608100,0608100,"Brea city, California",598600,10568
