city,application,address,zoning,totalUnits,singleFamily,multiFamily,totalUnitsNet,singleFamilyNet,multiFamilyNet,affordability,planningVote,planningApprove,councilVote,councilApprove,finalApproval,year,redesign,Notes,
Escondido,PHG 11-0009,313 S Orange St,0,84,0,84,84,0,84,0,2011-08-09,1,2011-09-14,1,,2011,1,Modification,
Escondido,SUB 09-0004,511 N Escondido Boulevard,0,116,0,116,116,0,116,0,,,2011-06-22,1,,,0,"Consent Agenda, ",
Escondido,ER 2005-48,1330 RIncon Ave,0,41,41,0,41,41,0,0,,,2011-07-13,1,,,0,"Consent Agenda, approved by CC in 2008",https://www.escondido.org/ccagendas/MG146940/AS146956/AS146963/AI147147/DO147167/DO_147167.pdf
Escondido,RES 2011-102,2400 W Valley Pkwy,0,4,4,0,4,4,0,1,,,2011-10-05,1,,2011,0,https://www.escondido.org/ccagendas/MG148589/AS148605/AS148614/AI148643/DO148711/DO_148711.PDF,Technically single family housing?
Escondido,RES 2011-102,1750 W Citracado Pkwy,0,2,2,0,2,2,0,1,,,2011-10-06,1,,2011,0,https://www.escondido.org/ccagendas/MG148589/AS148605/AS148614/AI148643/DO148711/DO_148711.PDF,
Escondido,,2155 Amanda Lane,1,22,22,0,22,22,0,0,2012-05-07,1,,,,,0,Doubled the zoning,Picked up for real in 2016
Escondido,PHG11-0033,2323 Felicita Ave,0,85,85,0,85,85,0,1,2012-07-24,0,2012-08-22,1,,2012,0,Assisted living for seniors,
Escondido,1,114 W 3rd Ave,1,1637,0,1637,1637,0,1637,0,2013-07-09,1,2013-08-07,1,,2013,0,Downtown Specific Plan,
Escondido,2,150 Valley Parkway,1,1637,0,1637,1637,0,1637,0,2013-07-09,1,2013-08-07,1,,2013,0,Downtown Specific Plan,
Escondido,PHG 13-0028,733 Stanley Ave,0,16,16,0,16,16,0,0,2013-11-12,1,,,,,,"Not really, it's a development agreement quid pro quo for a previously approved development from 2006",
Escondido,PHG 13-0010,100 Holland Glen,0,66,0,66,54,0,54,1,2014-04-08,1,,,,2014,0,*assisted living facility for seniors,
Escondido,SUB 13-0009,2412 Escondidio Boulevard,0,76,76,0,76,76,0,0,2014-04-22,1,2014-06-11,1,,2014,0,"Consent calendar in 2015, doesn't count",
