city,application,address,zoning,totalUnits,singleFamily,multiFamily,totalUnitsNet,singleFamilyNet,multiFamilyNet,affordability,planningVote,planningApprove,councilVote,councilApprove,finalApproval,year,redesign,Notes,Sources,
Ventura,x,510 Poli St,0,29,0,29,29,0,29,0,,,2011-01-24,1,,,0,"Choosing project to negotiate with, not final approval",https://www.vcreporter.com/2010/10/ventura-city-council-to-vote-on-downtown-watermark-hotel-project/,
Ventura,DA-38,200 S Wells Rd,0,499,216,282,499,216,282,1,2011-01-18,1,2011-06-06,1,,2011,0,Parklands Specific Plan,https://www.cityofventura.ca.gov/DocumentCenter/View/7825/04_02-15-17_Item-4?bidId=,
Ventura,PROJ-1951,2055 Harbor Blvd,0,30,0,30,30,0,30,0,2011-12-14,1,2012-05-04,1,,2012,0,,,
Ventura,PROJ-1200,2055 N Ventura Ave,0,105,0,105,105,0,105,0,2012-02-07,1,,,,2012,0,,,
Ventura,PROJ-1857,11000 Darling Rd,0,51,0,51,51,0,51,0,2012-04-17,1,2012-12-10,1,,2012,0,Saticoy,,
Ventura,PROJ-4154,1008 Los Angeles Ave,0,50,0,50,50,0,50,1,2012-09-19,1,2012-12-10,1,,2012,0,Saticoy,,
Ventura,PROJ-5211,1155 Citrus Drive,0,54,0,54,54,0,54,0,2013-04-10,1,,,,2013,0,2013-02-20,,
Ventura,PROJ-1126,264 S Hemlock St,0,23,0,23,23,0,23,0,2013-05-01,1,,,,2013,0,,,
Ventura,PROJ-6187,3009 Central Ave. ,0,40,0,40,40,0,40,1,2013-06-26,1,,,,2013,0,special needs residents housing,,
Ventura,PROJ-4148,10528 Sunflower Street,0,91,84,7,91,84,7,0,2013-08-21,1,,,,2013,0,,,
Ventura,PROJ-6098,5533 Foothill Rd,0,9,9,0,9,9,0,0,2013-08-21,1,,,,2013,0,,,
Ventura,PROJ-2008,1898 Alameda Ave,0,154,0,154,154,0,154,0,2012-06-19,1,2013-06-17,1,,2013,0,this was appealed and then the council voted on it,"http://archive.vcstar.com/news/ventura-council-oks-154-unit-apartment-complex-ep-363035784-351948971.html
https://www.cityofventura.ca.gov/DocumentCenter/View/9084/Project-Update---for-Website-Posted-July-2017?bidId=",
Ventura,PROJ-7290,72 West Santa Clara,0,3,0,3,3,0,3,1,2014-11-19,1,,,,2014,1,"- project was originally approved sometime before 2013 (as PROJ-04263 but later renamed to PROJ-7290)
- redesign (1) is meant to capture the planning commission passsing an ammendment to add 3 more units in 2014
- link on right shows theres 24 total units so I coded that",where I found the total units,
