"city","geoid","year","treat","switcher","nunits_multi_z","nunits_single_z","nunits_total_z","pct_black","pct_hisp","pct_nlw","n_households","own_rate","vacancy_rate","med_value","med_value_imp","med_income","med_income_imp"
"Anaheim",60590218121,2011,0,1,0,0,0,0,0.112745098,0.887254902,204,0.935724963,0.072727273,905000,905000,103542,103542
"Anaheim",60590219052,2011,0,1,0,56,56,0,0.121727749,0.709424084,764,0.888114754,0.010362694,573400,573400,110878,110878
"Anaheim",60590219152,2011,0,1,0,0,0,0,0.104516129,0.716129032,775,0.974346793,0.032459426,773800,773800,133681,133681
"Anaheim",60590219051,2011,0,1,0,0,0,0,0.065449011,0.809741248,657,0.805820371,0,617400,617400,107682,107682
"Anaheim",60590761011,2011,0,1,0,0,0,0.021172638,0.236156352,0.422909881,1842,0.143428168,0.095284872,40400,40400,79231,79231
"Anaheim",60590863013,2011,0,1,0,0,0,0.014827018,0.635914333,0.331136738,607,0.673224979,0.011400651,371800,371800,60740,60740
"Anaheim",60590117141,2011,0,1,0,0,0,0.016528926,0.429752066,0.384297521,242,0,0.050980392,NA,561549.2089,74375,74375
"Anaheim",60590219191,2011,0,1,0,3,3,0.029126214,0.097087379,0.695145631,515,0.907725322,0.031954887,725000,725000,94375,94375
"Anaheim",60590863011,2011,0,1,0,0,0,0,0.691860465,0.257751938,516,0.708409506,0.06010929,384000,384000,47000,47000
"Anaheim",60590218122,2011,0,1,0,0,0,0,0.122807018,0.705802969,741,0.859231412,0.057251908,475200,475200,99426,99426
"Anaheim",60590871052,2011,0,1,0,0,0,0.035962877,0.19837587,0.40487239,862,0.522207848,0.052747253,420400,420400,38889,38889
"Anaheim",60590762021,2011,0,1,0,0,0,0.185446009,0.41314554,0.382629108,426,0.441717791,0,207800,207800,68393,68393
"Anaheim",60590870013,2011,0,1,0,0,0,0.074144487,0.311787072,0.353612167,526,0.671332587,0.024118738,363700,363700,52453,52453
