GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
1600000US0600135,0600135,"Acalanes Ridge CDP, California",434,82,160000,54588,73.0,16.0,122422,102264,0.0,7.7,-,**,0.0,7.7,-,**,17.7,10.7,156417,74886,0.0,7.7,-,**,0.0,7.7,-,**,9.2,13.8,-,**,0.0,7.7,-,**,73.0,16.0,122422,102264,0.0,7.7,-,**,18.9,11.9,"250,000+",***,64.7,13.5,164432,93534,16.4,11.5,111058,124322,329,90,190104,64110,40.4,17.6,248583,72596,59.6,17.6,156167,41285,84.8,10.2,207411,56222,15.2,10.2,121894,6304,0.0,10.1,-,**,105,59,40089,35558,46.7,28.8,40089,7210,46.7,28.8,40089,7210,0.0,27.7,-,**,53.3,28.8,55000,70587,39.0,29.7,33828,60406,14.3,21.2,-,**,6.5,(X),(X),(X),4.0,(X),(X),(X),14.3,(X),(X),(X)
1600000US0600156,0600156,"Acampo CDP, California",190,124,141250,66407,100.0,16.8,141250,66407,0.0,16.8,-,**,0.0,16.8,-,**,0.0,16.8,-,**,0.0,16.8,-,**,0.0,16.8,-,**,0.0,16.8,-,**,31.1,41.9,-,**,68.9,41.9,154256,166840,0.0,16.8,-,**,18.9,25.6,-,**,81.1,25.6,153571,73460,0.0,16.8,-,**,101,114,-,**,0.0,28.5,-,**,100.0,28.5,-,**,100.0,28.5,-,**,0.0,28.5,-,**,0.0,28.5,-,**,89,82,205401,297814,20.2,39.9,-,**,20.2,39.9,-,**,0.0,31.4,-,**,79.8,39.9,-,**,20.2,40.5,-,**,59.6,52.6,-,**,68.4,(X),(X),(X),58.4,(X),(X),(X),79.8,(X),(X),(X)
1600000US0600212,0600212,"Acton CDP, California",2533,152,92245,11446,93.2,3.6,96028,10249,0.0,1.4,-,**,0.0,1.4,-,**,0.9,1.0,176071,23526,0.0,1.4,-,**,5.1,3.1,81719,44015,0.8,0.8,-,**,10.1,3.0,86595,10852,87.3,3.5,95093,12300,0.0,1.4,-,**,19.9,4.2,99948,45272,64.4,5.0,98184,9079,15.7,3.6,63906,11732,1994,174,99448,13157,32.1,5.9,119750,30940,67.9,5.9,97926,9650,85.6,5.5,117978,28200,11.0,4.8,61071,22740,3.4,3.3,82639,66587,539,156,50121,15052,30.1,12.0,54500,20458,22.3,9.9,49038,34437,7.8,7.6,102717,97129,69.9,12.0,44740,18854,50.3,17.3,44635,13804,19.7,14.9,62917,115998,29.4,(X),(X),(X),32.6,(X),(X),(X),17.4,(X),(X),(X)
1600000US0600296,0600296,"Adelanto city, California",7392,399,35262,3387,57.3,4.7,39409,4287,20.7,4.4,16581,5271,0.2,0.3,-,**,2.6,1.4,65096,44834,0.6,0.7,-,**,12.9,3.5,33859,15090,5.8,2.3,35050,19149,48.0,4.9,34813,4876,24.1,4.0,41711,9232,6.4,3.0,23269,23448,47.7,4.9,33355,7330,33.2,4.2,42169,3996,12.8,2.6,27459,7007,6291,312,35537,4822,64.1,4.7,30944,6653,35.9,4.7,40718,4071,60.3,5.4,50773,7435,32.3,5.4,14658,4562,7.4,2.5,32273,17787,1101,273,26234,8024,57.2,11.5,28894,10925,45.9,11.4,26434,14526,11.4,6.2,46174,13792,42.8,11.5,20223,11111,26.2,11.8,13594,5716,16.5,8.7,34118,16437,37.1,(X),(X),(X),34.8,(X),(X),(X),35.7,(X),(X),(X)
1600000US0600310,0600310,"Adin CDP, California",64,40,29583,83627,100.0,38.5,29583,83627,0.0,38.5,-,**,0.0,38.5,-,**,0.0,38.5,-,**,0.0,38.5,-,**,0.0,38.5,-,**,0.0,38.5,-,**,0.0,38.5,-,**,100.0,38.5,29583,83627,0.0,38.5,-,**,23.4,30.8,-,**,54.7,29.9,28854,55692,21.9,22.4,26071,2840,53,39,60083,67845,45.3,40.1,-,**,54.7,40.1,27604,11619,71.7,38.1,28542,42277,28.3,38.1,-,**,0.0,42.3,-,**,11,10,25938,45336,0.0,92.8,-,**,0.0,92.8,-,**,0.0,92.8,-,**,100.0,92.8,25938,45336,72.7,48.3,-,**,27.3,48.3,-,**,26.6,(X),(X),(X),32.1,(X),(X),(X),0.0,(X),(X),(X)
1600000US0600394,0600394,"Agoura Hills city, California",7311,297,107268,7980,86.8,2.5,108989,8882,0.6,0.6,151563,255197,0.0,0.5,-,**,6.2,1.4,129148,27622,0.0,0.5,-,**,3.6,1.9,90475,101480,2.8,1.7,104808,83870,10.6,2.8,95962,26846,80.7,3.3,109261,9380,1.0,0.8,47625,81574,29.6,3.9,112618,19676,50.1,3.7,124726,19048,19.3,2.9,67019,8018,5632,233,118673,14626,46.2,4.9,140683,27416,53.8,4.9,114102,12614,79.2,4.1,142183,13568,17.8,4.0,52902,12573,3.0,1.5,65417,58936,1679,335,73510,18035,37.5,9.0,60539,15742,31.0,8.0,50655,12550,6.6,5.6,68333,107692,62.5,9.0,96827,23878,42.2,10.1,95545,47733,20.3,8.9,103000,28057,30.1,(X),(X),(X),30.5,(X),(X),(X),28.9,(X),(X),(X)
1600000US0600450,0600450,"Agua Dulce CDP, California",1064,119,88864,25553,93.1,5.2,81771,24580,0.0,3.2,-,**,0.0,3.2,-,**,0.9,1.5,-,**,0.0,3.2,-,**,0.0,3.2,-,**,5.9,5.4,187228,68388,15.6,6.6,70640,30498,79.7,7.7,97938,23481,0.8,1.6,-,**,17.4,7.1,65489,41937,55.2,7.6,121761,21252,26.6,5.6,60729,11609,897,115,102989,18260,35.3,11.0,112266,60388,64.7,11.0,99938,13639,97.9,2.6,104022,20536,1.0,1.8,-,**,1.1,1.8,-,**,167,67,33207,14130,50.3,22.3,33696,7043,50.3,22.3,33696,7043,0.0,18.8,-,**,49.7,22.3,23977,29994,38.3,21.1,23864,25660,11.4,12.5,-,**,30.5,(X),(X),(X),32.3,(X),(X),(X),20.4,(X),(X),(X)
1600000US0600464,0600464,"Aguanga CDP, California",418,176,50213,17739,88.5,10.8,44457,22814,3.8,6.2,-,**,0.0,8.0,-,**,0.0,8.0,-,**,0.0,8.0,-,**,4.1,6.5,-,**,3.6,6.1,-,**,9.1,11.7,57059,95655,83.5,14.5,43859,18146,0.0,8.0,-,**,4.1,6.5,-,**,56.9,21.9,50160,29752,39.0,20.4,41458,42665,219,111,52420,10721,42.0,32.3,51596,3758,58.0,32.3,57422,35825,84.9,17.5,51809,8699,9.6,18.8,-,**,5.5,8.0,-,**,199,136,26677,30113,15.1,18.5,-,**,15.1,18.5,-,**,0.0,16.1,-,**,84.9,18.5,40234,79613,78.9,21.0,27226,99202,6.0,10.2,-,**,31.8,(X),(X),(X),34.7,(X),(X),(X),28.6,(X),(X),(X)
1600000US0600478,0600478,"Ahwahnee CDP, California",905,173,59129,8954,97.5,2.8,58939,9632,0.0,3.8,-,**,0.0,3.8,-,**,0.0,3.8,-,**,0.0,3.8,-,**,0.0,3.8,-,**,2.5,2.8,82946,47761,1.5,2.5,-,**,97.5,2.8,58939,9632,2.0,2.8,-,**,26.1,8.1,69444,103681,25.6,9.9,86563,47343,46.3,10.0,33558,17774,571,155,69583,27889,29.8,9.8,130664,95998,70.2,9.8,64399,19498,100.0,5.9,69583,27889,0.0,5.9,-,**,0.0,5.9,-,**,334,152,28424,10285,47.0,19.4,17644,7457,43.4,20.2,14732,7630,3.6,4.9,-,**,53.0,19.4,29755,10088,53.0,19.4,29755,10088,0.0,9.9,-,**,28.4,(X),(X),(X),31.9,(X),(X),(X),22.5,(X),(X),(X)
