GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
1500000US060371011101,060371011101,"Block Group 1, Census Tract 1011.10, Los Angeles County, California",738,102,705,102,33,42
1500000US060371011102,060371011102,"Block Group 2, Census Tract 1011.10, Los Angeles County, California",635,108,603,108,32,51
1500000US060371011103,060371011103,"Block Group 3, Census Tract 1011.10, Los Angeles County, California",384,89,374,91,10,16
1500000US060371011221,060371011221,"Block Group 1, Census Tract 1011.22, Los Angeles County, California",851,88,782,89,69,54
1500000US060371011222,060371011222,"Block Group 2, Census Tract 1011.22, Los Angeles County, California",505,82,446,74,59,62
1500000US060371012101,060371012101,"Block Group 1, Census Tract 1012.10, Los Angeles County, California",898,144,871,140,27,44
1500000US060371012102,060371012102,"Block Group 2, Census Tract 1012.10, Los Angeles County, California",1454,139,1345,143,109,86
1500000US060371012201,060371012201,"Block Group 1, Census Tract 1012.20, Los Angeles County, California",452,66,389,74,63,51
1500000US060371012202,060371012202,"Block Group 2, Census Tract 1012.20, Los Angeles County, California",830,78,778,87,52,42
1500000US060371013001,060371013001,"Block Group 1, Census Tract 1013, Los Angeles County, California",489,92,489,92,0,12
1500000US060371013002,060371013002,"Block Group 2, Census Tract 1013, Los Angeles County, California",412,77,379,80,33,46
1500000US060371013003,060371013003,"Block Group 3, Census Tract 1013, Los Angeles County, California",361,80,352,79,9,14
1500000US060371013004,060371013004,"Block Group 4, Census Tract 1013, Los Angeles County, California",309,70,309,70,0,12
1500000US060371014001,060371014001,"Block Group 1, Census Tract 1014, Los Angeles County, California",346,84,346,84,0,12
1500000US060371014002,060371014002,"Block Group 2, Census Tract 1014, Los Angeles County, California",661,99,651,99,10,16
1500000US060371014003,060371014003,"Block Group 3, Census Tract 1014, Los Angeles County, California",550,81,537,87,13,21
1500000US060371021031,060371021031,"Block Group 1, Census Tract 1021.03, Los Angeles County, California",680,50,680,50,0,12
1500000US060371021041,060371021041,"Block Group 1, Census Tract 1021.04, Los Angeles County, California",874,116,852,118,22,35
1500000US060371021042,060371021042,"Block Group 2, Census Tract 1021.04, Los Angeles County, California",458,112,458,112,0,12
1500000US060371021051,060371021051,"Block Group 1, Census Tract 1021.05, Los Angeles County, California",271,80,271,80,0,12
1500000US060371021052,060371021052,"Block Group 2, Census Tract 1021.05, Los Angeles County, California",299,79,299,79,0,12
1500000US060371021071,060371021071,"Block Group 1, Census Tract 1021.07, Los Angeles County, California",890,97,802,103,88,74
1500000US060371021072,060371021072,"Block Group 2, Census Tract 1021.07, Los Angeles County, California",426,88,414,90,12,20
1500000US060371031011,060371031011,"Block Group 1, Census Tract 1031.01, Los Angeles County, California",607,61,597,61,10,15
1500000US060371031012,060371031012,"Block Group 2, Census Tract 1031.01, Los Angeles County, California",344,57,307,52,37,44
1500000US060371031021,060371031021,"Block Group 1, Census Tract 1031.02, Los Angeles County, California",422,92,395,89,27,43
1500000US060371031022,060371031022,"Block Group 2, Census Tract 1031.02, Los Angeles County, California",259,74,233,71,26,42
1500000US060371031023,060371031023,"Block Group 3, Census Tract 1031.02, Los Angeles County, California",376,77,376,77,0,12
1500000US060371031024,060371031024,"Block Group 4, Census Tract 1031.02, Los Angeles County, California",265,84,265,84,0,12
1500000US060371031025,060371031025,"Block Group 5, Census Tract 1031.02, Los Angeles County, California",407,85,392,81,15,25
1500000US060371032001,060371032001,"Block Group 1, Census Tract 1032, Los Angeles County, California",745,122,702,119,43,69
1500000US060371032002,060371032002,"Block Group 2, Census Tract 1032, Los Angeles County, California",770,151,723,149,47,69
1500000US060371032003,060371032003,"Block Group 3, Census Tract 1032, Los Angeles County, California",744,143,744,143,0,12
1500000US060371033001,060371033001,"Block Group 1, Census Tract 1033, Los Angeles County, California",671,81,602,92,69,64
1500000US060371033002,060371033002,"Block Group 2, Census Tract 1033, Los Angeles County, California",731,73,678,70,53,34
1500000US060371034001,060371034001,"Block Group 1, Census Tract 1034, Los Angeles County, California",548,118,509,119,39,63
1500000US060371034002,060371034002,"Block Group 2, Census Tract 1034, Los Angeles County, California",320,92,320,92,0,12
1500000US060371034003,060371034003,"Block Group 3, Census Tract 1034, Los Angeles County, California",212,80,212,80,0,12
1500000US060371034004,060371034004,"Block Group 4, Census Tract 1034, Los Angeles County, California",413,122,413,122,0,12
1500000US060371034005,060371034005,"Block Group 5, Census Tract 1034, Los Angeles County, California",1069,152,980,159,89,94
1500000US060371041031,060371041031,"Block Group 1, Census Tract 1041.03, Los Angeles County, California",419,75,395,63,24,38
1500000US060371041032,060371041032,"Block Group 2, Census Tract 1041.03, Los Angeles County, California",410,64,373,61,37,35
1500000US060371041051,060371041051,"Block Group 1, Census Tract 1041.05, Los Angeles County, California",427,84,387,88,40,46
1500000US060371041052,060371041052,"Block Group 2, Census Tract 1041.05, Los Angeles County, California",1097,81,1047,99,50,45
1500000US060371041081,060371041081,"Block Group 1, Census Tract 1041.08, Los Angeles County, California",507,81,489,81,18,28
1500000US060371041082,060371041082,"Block Group 2, Census Tract 1041.08, Los Angeles County, California",652,75,635,78,17,28
1500000US060371041083,060371041083,"Block Group 3, Census Tract 1041.08, Los Angeles County, California",231,67,231,67,0,12
1500000US060371041241,060371041241,"Block Group 1, Census Tract 1041.24, Los Angeles County, California",438,84,438,84,0,12
1500000US060371041242,060371041242,"Block Group 2, Census Tract 1041.24, Los Angeles County, California",569,85,530,85,39,45
1500000US060371041243,060371041243,"Block Group 3, Census Tract 1041.24, Los Angeles County, California",217,66,217,66,0,12
1500000US060371042011,060371042011,"Block Group 1, Census Tract 1042.01, Los Angeles County, California",305,75,296,77,9,16
1500000US060371042012,060371042012,"Block Group 2, Census Tract 1042.01, Los Angeles County, California",387,63,371,62,16,15
1500000US060371042013,060371042013,"Block Group 3, Census Tract 1042.01, Los Angeles County, California",214,67,214,67,0,12
1500000US060371042031,060371042031,"Block Group 1, Census Tract 1042.03, Los Angeles County, California",627,71,591,82,36,39
1500000US060371042032,060371042032,"Block Group 2, Census Tract 1042.03, Los Angeles County, California",464,74,420,70,44,40
1500000US060371042041,060371042041,"Block Group 1, Census Tract 1042.04, Los Angeles County, California",308,77,301,76,7,16
1500000US060371042042,060371042042,"Block Group 2, Census Tract 1042.04, Los Angeles County, California",427,67,413,68,14,22
1500000US060371043101,060371043101,"Block Group 1, Census Tract 1043.10, Los Angeles County, California",296,68,264,63,32,34
1500000US060371043102,060371043102,"Block Group 2, Census Tract 1043.10, Los Angeles County, California",348,70,310,62,38,42
1500000US060371043103,060371043103,"Block Group 3, Census Tract 1043.10, Los Angeles County, California",266,59,266,59,0,12
1500000US060371043201,060371043201,"Block Group 1, Census Tract 1043.20, Los Angeles County, California",532,107,503,115,29,47
1500000US060371043202,060371043202,"Block Group 2, Census Tract 1043.20, Los Angeles County, California",341,104,316,107,25,39
1500000US060371043203,060371043203,"Block Group 3, Census Tract 1043.20, Los Angeles County, California",178,80,134,63,44,53
1500000US060371043204,060371043204,"Block Group 4, Census Tract 1043.20, Los Angeles County, California",191,81,169,80,22,35
1500000US060371044011,060371044011,"Block Group 1, Census Tract 1044.01, Los Angeles County, California",268,62,237,64,31,39
1500000US060371044012,060371044012,"Block Group 2, Census Tract 1044.01, Los Angeles County, California",434,63,388,63,46,39
1500000US060371044031,060371044031,"Block Group 1, Census Tract 1044.03, Los Angeles County, California",372,66,354,65,18,27
1500000US060371044032,060371044032,"Block Group 2, Census Tract 1044.03, Los Angeles County, California",278,58,262,58,16,26
1500000US060371044041,060371044041,"Block Group 1, Census Tract 1044.04, Los Angeles County, California",242,57,226,57,16,27
1500000US060371044042,060371044042,"Block Group 2, Census Tract 1044.04, Los Angeles County, California",383,64,369,61,14,21
1500000US060371045001,060371045001,"Block Group 1, Census Tract 1045, Los Angeles County, California",216,68,187,61,29,44
1500000US060371045002,060371045002,"Block Group 2, Census Tract 1045, Los Angeles County, California",509,74,467,80,42,42
1500000US060371046101,060371046101,"Block Group 1, Census Tract 1046.10, Los Angeles County, California",475,58,475,58,0,12
1500000US060371046102,060371046102,"Block Group 2, Census Tract 1046.10, Los Angeles County, California",276,66,258,66,18,28
1500000US060371046201,060371046201,"Block Group 1, Census Tract 1046.20, Los Angeles County, California",270,67,270,67,0,12
1500000US060371046202,060371046202,"Block Group 2, Census Tract 1046.20, Los Angeles County, California",478,63,466,65,12,19
1500000US060371047011,060371047011,"Block Group 1, Census Tract 1047.01, Los Angeles County, California",261,67,251,67,10,15
1500000US060371047012,060371047012,"Block Group 2, Census Tract 1047.01, Los Angeles County, California",414,85,392,85,22,35
1500000US060371047013,060371047013,"Block Group 3, Census Tract 1047.01, Los Angeles County, California",245,64,230,66,15,23
1500000US060371047031,060371047031,"Block Group 1, Census Tract 1047.03, Los Angeles County, California",338,61,295,70,43,37
1500000US060371047032,060371047032,"Block Group 2, Census Tract 1047.03, Los Angeles County, California",216,53,216,53,0,12
1500000US060371047041,060371047041,"Block Group 1, Census Tract 1047.04, Los Angeles County, California",1171,34,1114,65,57,53
1500000US060371048101,060371048101,"Block Group 1, Census Tract 1048.10, Los Angeles County, California",258,95,258,95,0,12
1500000US060371048102,060371048102,"Block Group 2, Census Tract 1048.10, Los Angeles County, California",253,74,253,74,0,12
1500000US060371048103,060371048103,"Block Group 3, Census Tract 1048.10, Los Angeles County, California",539,110,524,112,15,23
