GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
1600000US0600135,0600135,"Acalanes Ridge CDP, California",459,88,459,88,0,13
1600000US0600156,0600156,"Acampo CDP, California",95,102,95,102,0,13
1600000US0600212,0600212,"Acton CDP, California",2643,139,2458,153,185,99
1600000US0600296,0600296,"Adelanto city, California",8521,535,7101,409,1420,338
1600000US0600310,0600310,"Adin CDP, California",173,65,154,60,19,23
1600000US0600394,0600394,"Agoura Hills city, California",7690,324,7229,259,461,183
1600000US0600450,0600450,"Agua Dulce CDP, California",1208,137,1052,121,156,95
1600000US0600464,0600464,"Aguanga CDP, California",581,252,467,184,114,117
1600000US0600478,0600478,"Ahwahnee CDP, California",925,136,795,143,130,103
1600000US0600535,0600535,"Airport CDP, California",649,92,498,96,151,66
1600000US0600562,0600562,"Alameda city, California",31735,505,29509,475,2226,328
1600000US0600618,0600618,"Alamo CDP, California",5493,231,5283,247,210,122
1600000US0600674,0600674,"Albany city, California",7847,288,7359,254,488,144
1600000US0600716,0600716,"Albion CDP, California",159,78,146,84,13,22
1600000US0600786,0600786,"Alderpoint CDP, California",156,79,132,88,24,39
1600000US0600884,0600884,"Alhambra city, California",31105,624,29103,622,2002,361
1600000US0600898,0600898,"Alhambra Valley CDP, California",332,94,332,94,0,13
1600000US0600947,0600947,"Aliso Viejo city, California",19126,374,18098,370,1028,307
1600000US0600982,0600982,"Alleghany CDP, California",43,31,33,27,10,16
1600000US0600996,0600996,"Allendale CDP, California",623,107,623,107,0,13
1600000US0601010,0601010,"Allensworth CDP, California",121,23,97,23,24,12
1600000US0601094,0601094,"Almanor CDP, California",85,99,0,13,85,99
1600000US0601150,0601150,"Alondra Park CDP, California",2742,131,2637,140,105,85
1600000US0601164,0601164,"Alpaugh CDP, California",241,49,219,51,22,18
1600000US0601192,0601192,"Alpine CDP, California",5544,144,5110,218,434,180
1600000US0601228,0601228,"Alpine Village CDP, California",57,22,38,17,19,18
1600000US0601276,0601276,"Alta CDP, California",319,55,205,46,114,38
1600000US0601290,0601290,"Altadena CDP, California",16076,180,15440,258,636,196
1600000US0601360,0601360,"Alta Sierra CDP, California",3048,74,2783,156,265,146
1600000US0601416,0601416,"Alto CDP, California",348,106,348,106,0,13
1600000US0601444,0601444,"Alturas city, California",1348,128,1187,125,161,94
1600000US0601458,0601458,"Alum Rock CDP, California",3062,218,2791,235,271,138
1600000US0601514,0601514,"Amador City city, California",105,40,83,39,22,18
1600000US0601640,0601640,"American Canyon city, California",5630,256,5357,241,273,144
1600000US0601651,0601651,"Amesti CDP, California",1036,88,1013,88,23,26
1600000US0602000,0602000,"Anaheim city, California",104323,1144,98433,1080,5890,556
1600000US0602028,0602028,"Anchor Bay CDP, California",363,105,129,64,234,100
1600000US0602042,0602042,"Anderson city, California",4433,285,4043,228,390,164
1600000US0602112,0602112,"Angels city, California",2165,201,1763,180,402,139
1600000US0602168,0602168,"Angwin CDP, California",942,123,791,118,151,68
1600000US0602210,0602210,"Antelope CDP, California",14993,171,14158,313,835,270
1600000US0602252,0602252,"Antioch city, California",35410,822,31871,758,3539,424
1600000US0602294,0602294,"Anza CDP, California",1359,261,990,214,369,181
1600000US0602364,0602364,"Apple Valley town, California",25882,709,22975,543,2907,501
1600000US0602378,0602378,"Aptos CDP, California",2901,223,2736,226,165,112
1600000US0602382,0602382,"Aptos Hills-Larkin Valley CDP, California",726,129,708,132,18,29
1600000US0602420,0602420,"Arbuckle CDP, California",1082,135,969,124,113,69
1600000US0602462,0602462,"Arcadia city, California",20290,411,19409,375,881,220
1600000US0602476,0602476,"Arcata city, California",7501,416,6682,390,819,245
1600000US0602553,0602553,"Arden-Arcade CDP, California",44315,419,40127,652,4188,574
1600000US0602700,0602700,"Armona CDP, California",1020,115,985,112,35,44
1600000US0602770,0602770,"Arnold CDP, California",4992,214,1285,256,3707,285
1600000US0602812,0602812,"Aromas CDP, California",938,127,847,131,91,84
1600000US0602868,0602868,"Arroyo Grande city, California",7797,411,6835,316,962,269
1600000US0602896,0602896,"Artesia city, California",4742,326,4611,312,131,91
1600000US0602910,0602910,"Artois CDP, California",114,59,97,63,17,27
1600000US0602924,0602924,"Arvin city, California",4889,343,4440,311,449,177
1600000US0602980,0602980,"Ashland CDP, California",7757,162,7187,240,570,215
1600000US0603026,0603026,"Aspen Springs CDP, California",52,55,14,20,38,63
1600000US0603064,0603064,"Atascadero city, California",12079,451,11112,382,967,299
1600000US0603092,0603092,"Atherton town, California",2466,174,2291,128,175,105
1600000US0603162,0603162,"Atwater city, California",9426,336,8449,266,977,223
1600000US0603190,0603190,"Auberry CDP, California",932,148,855,150,77,88
1600000US0603204,0603204,"Auburn city, California",6222,337,5756,292,466,217
1600000US0603205,0603205,"Auburn Lake Trails CDP, California",1560,136,1407,143,153,114
1600000US0603209,0603209,"August CDP, California",2568,170,2220,192,348,159
1600000US0603274,0603274,"Avalon city, California",2081,155,1262,100,819,121
