GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total population in occupied housing units:,Margin of Error; Total population in occupied housing units:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - Moved in 2015 or later,Margin of Error; Owner occupied: - Moved in 2015 or later,Estimate; Owner occupied: - Moved in 2010 to 2014,Margin of Error; Owner occupied: - Moved in 2010 to 2014,Estimate; Owner occupied: - Moved in 2000 to 2009,Margin of Error; Owner occupied: - Moved in 2000 to 2009,Estimate; Owner occupied: - Moved in 1990 to 1999,Margin of Error; Owner occupied: - Moved in 1990 to 1999,Estimate; Owner occupied: - Moved in 1980 to 1989,Margin of Error; Owner occupied: - Moved in 1980 to 1989,Estimate; Owner occupied: - Moved in 1979 or earlier,Margin of Error; Owner occupied: - Moved in 1979 or earlier,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - Moved in 2015 or later,Margin of Error; Renter occupied: - Moved in 2015 or later,Estimate; Renter occupied: - Moved in 2010 to 2014,Margin of Error; Renter occupied: - Moved in 2010 to 2014,Estimate; Renter occupied: - Moved in 2000 to 2009,Margin of Error; Renter occupied: - Moved in 2000 to 2009,Estimate; Renter occupied: - Moved in 1990 to 1999,Margin of Error; Renter occupied: - Moved in 1990 to 1999,Estimate; Renter occupied: - Moved in 1980 to 1989,Margin of Error; Renter occupied: - Moved in 1980 to 1989,Estimate; Renter occupied: - Moved in 1979 or earlier,Margin of Error; Renter occupied: - Moved in 1979 or earlier
1600000US0600135,0600135,"Acalanes Ridge CDP, California",1000,338,973,341,0,12,56,75,288,192,443,302,140,146,46,42,27,32,0,12,27,32,0,12,0,12,0,12,0,12
1600000US0600156,0600156,"Acampo CDP, California",466,398,349,373,0,12,0,12,251,321,98,152,0,12,0,12,117,158,0,12,0,12,117,158,0,12,0,12,0,12
1600000US0600212,0600212,"Acton CDP, California",7157,555,6537,612,208,152,851,294,2758,478,1322,399,1241,610,157,106,620,271,48,73,360,218,178,160,34,44,0,17,0,17
1600000US0600296,0600296,"Adelanto city, California",30618,319,13773,1340,751,463,3974,784,6659,1207,2188,599,134,108,67,63,16845,1346,1967,819,10584,1317,3772,1266,497,318,7,10,18,29
1600000US0600310,0600310,"Adin CDP, California",125,89,117,89,0,12,0,12,3,5,71,71,20,32,23,30,8,12,0,12,0,12,8,12,0,12,0,12,0,12
1600000US0600394,0600394,"Agoura Hills city, California",20578,45,15968,859,157,184,2176,652,6375,974,3836,710,2473,437,951,413,4610,855,267,145,2494,889,1608,720,241,233,0,22,0,22
1600000US0600450,0600450,"Agua Dulce CDP, California",3535,414,3371,421,9,14,608,324,1197,374,890,337,407,181,260,129,164,116,0,12,94,100,28,44,27,41,0,12,15,16
1600000US0600464,0600464,"Aguanga CDP, California",673,309,452,224,0,12,202,155,109,134,124,140,17,27,0,12,221,221,106,167,90,135,0,12,25,39,0,12,0,12
1600000US0600478,0600478,"Ahwahnee CDP, California",2213,494,1495,376,0,12,72,86,927,365,302,169,107,79,87,78,718,402,269,423,131,123,318,290,0,12,0,12,0,12
1600000US0600535,0600535,"Airport CDP, California",1605,393,589,321,0,12,194,228,285,235,55,79,31,34,24,30,1016,373,23,38,426,203,561,348,6,10,0,12,0,12
1600000US0600562,0600562,"Alameda city, California",76229,263,37994,1427,632,246,6401,749,13953,1199,8362,988,4921,587,3725,420,38235,1431,2318,487,21153,1326,11311,1061,2362,521,801,340,290,173
1600000US0600618,0600618,"Alamo CDP, California",16023,823,14301,883,350,209,2733,501,4912,671,3553,751,1571,361,1182,254,1722,608,127,92,1144,474,225,242,127,192,0,19,99,84
1600000US0600674,0600674,"Albany city, California",19357,47,9543,695,228,138,1500,394,4108,597,2146,407,848,247,713,186,9814,702,748,221,6191,632,2398,515,353,137,93,68,31,36
1600000US0600716,0600716,"Albion CDP, California",97,74,67,58,0,12,0,12,0,12,53,53,14,24,0,12,30,46,0,12,30,46,0,12,0,12,0,12,0,12
1600000US0600786,0600786,"Alderpoint CDP, California",224,169,204,176,0,12,0,12,41,67,146,161,17,24,0,12,20,31,0,12,0,12,0,12,0,12,20,31,0,12
1600000US0600884,0600884,"Alhambra city, California",84127,201,36041,1297,417,206,4316,625,14136,996,9040,973,3926,689,4206,534,48086,1318,2907,762,23990,1300,15066,1276,4782,687,937,363,404,201
1600000US0600898,0600898,"Alhambra Valley CDP, California",501,159,445,156,16,25,89,111,17,27,138,88,136,102,49,45,56,52,0,12,11,17,22,33,0,12,0,12,23,35
1600000US0600947,0600947,"Aliso Viejo city, California",49789,139,31442,1038,753,266,6904,812,14204,1309,9059,948,488,214,34,51,18347,1068,1474,399,12170,1115,4456,842,237,115,10,16,0,28
1600000US0600982,0600982,"Alleghany CDP, California",134,137,134,137,0,12,0,12,28,40,106,130,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1600000US0600996,0600996,"Allendale CDP, California",1342,300,1308,300,30,38,216,120,281,161,503,250,234,132,44,39,34,39,0,12,25,37,9,13,0,12,0,12,0,12
1600000US0601010,0601010,"Allensworth CDP, California",561,131,253,90,0,12,46,53,137,69,54,48,16,16,0,12,308,112,24,37,140,72,92,65,48,46,0,12,4,6
1600000US0601094,0601094,"Almanor CDP, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1600000US0601150,0601150,"Alondra Park CDP, California",8097,946,4142,474,25,47,522,260,1157,426,1437,339,339,150,662,171,3955,832,417,379,1612,608,1268,493,400,427,236,342,22,26
1600000US0601164,0601164,"Alpaugh CDP, California",1124,212,513,152,0,12,65,56,200,103,131,93,76,58,41,52,611,185,25,29,420,155,137,92,0,12,29,35,0,12
1600000US0601192,0601192,"Alpine CDP, California",14991,772,11027,901,290,190,2509,595,3851,850,3109,675,804,281,464,205,3964,711,603,400,2361,624,904,402,60,54,0,19,36,58
1600000US0601228,0601228,"Alpine Village CDP, California",148,68,136,68,0,12,4,7,55,48,11,14,30,41,36,34,12,15,9,14,3,4,0,12,0,12,0,12,0,12
1600000US0601276,0601276,"Alta CDP, California",427,117,320,87,0,12,31,32,75,50,122,73,45,23,47,32,107,90,21,25,63,81,0,12,0,12,23,30,0,12
1600000US0601290,0601290,"Altadena CDP, California",44439,1087,31659,1317,267,181,5684,895,9071,1059,7972,1086,3165,539,5500,878,12780,1375,459,280,6055,975,3751,726,1901,736,393,299,221,150
1600000US0601360,0601360,"Alta Sierra CDP, California",6622,395,5321,511,82,98,1680,452,1559,416,1255,320,583,239,162,80,1301,433,130,150,816,338,222,207,133,134,0,17,0,17
1600000US0601416,0601416,"Alto CDP, California",649,241,387,234,0,12,0,12,176,223,69,97,84,83,58,89,262,117,0,12,154,106,36,40,43,68,29,47,0,12
1600000US0601444,0601444,"Alturas city, California",2574,30,1775,233,119,96,317,165,642,242,454,190,163,114,80,44,799,237,108,83,403,170,264,160,24,28,0,12,0,12
1600000US0601458,0601458,"Alum Rock CDP, California",11558,911,6970,894,239,182,1685,550,2475,779,967,394,664,366,940,402,4588,760,280,215,2003,625,1779,589,297,198,141,204,88,139
1600000US0601514,0601514,"Amador City city, California",174,84,64,40,0,12,13,14,14,19,17,14,17,19,3,7,110,68,24,38,42,36,44,42,0,12,0,12,0,12
1600000US0601640,0601640,"American Canyon city, California",20254,56,15523,708,362,238,3814,558,8595,705,1259,331,993,265,500,160,4731,701,357,240,2388,549,1628,504,41,36,229,320,88,94
1600000US0601651,0601651,"Amesti CDP, California",3182,396,2292,396,0,12,284,172,863,256,586,258,401,344,158,55,890,274,10,18,346,160,444,222,74,80,0,12,16,34
1600000US0602000,0602000,"Anaheim city, California",342043,482,155277,3494,3021,939,26215,2390,56636,2734,41510,2558,14360,1368,13535,1210,186766,3507,12048,1443,103421,4239,58562,3655,10674,1517,1428,430,633,296
1600000US0602028,0602028,"Anchor Bay CDP, California",310,137,240,137,0,12,96,81,34,40,47,71,53,82,10,14,70,60,0,12,48,50,22,29,0,12,0,12,0,12
1600000US0602042,0602042,"Anderson city, California",10138,39,5088,578,141,110,1305,393,2155,421,575,181,441,226,471,184,5050,580,340,191,3107,517,1535,373,68,59,0,19,0,19
1600000US0602112,0602112,"Angels city, California",3774,37,2322,365,49,47,407,163,1180,334,418,179,87,65,181,105,1452,366,75,90,784,313,559,334,34,50,0,12,0,12
1600000US0602168,0602168,"Angwin CDP, California",2274,286,1140,212,10,15,296,128,298,173,274,107,105,64,157,98,1134,253,196,170,640,214,193,127,50,44,55,64,0,12
