"GEO_ID","NAME","B25026_001E","B25026_001M","B25026_002E","B25026_002M","B25026_003E","B25026_003M","B25026_004E","B25026_004M","B25026_005E","B25026_005M","B25026_006E","B25026_006M","B25026_007E","B25026_007M","B25026_008E","B25026_008M","B25026_009E","B25026_009M","B25026_010E","B25026_010M","B25026_011E","B25026_011M","B25026_012E","B25026_012M","B25026_013E","B25026_013M","B25026_014E","B25026_014M","B25026_015E","B25026_015M"
"id","Geographic Area Name","Estimate!!Total population in occupied housing units","Margin of Error!!Total population in occupied housing units","Estimate!!Total population in occupied housing units!!Owner occupied","Margin of Error!!Total population in occupied housing units!!Owner occupied","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 2017 or later","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 2017 or later","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 2015 to 2016","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 2015 to 2016","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 2010 to 2014","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 2010 to 2014","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 2000 to 2009","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 2000 to 2009","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 1990 to 1999","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 1990 to 1999","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 1989 or earlier","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 1989 or earlier","Estimate!!Total population in occupied housing units!!Renter occupied","Margin of Error!!Total population in occupied housing units!!Renter occupied","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 2017 or later","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 2017 or later","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 2015 to 2016","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 2015 to 2016","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 2010 to 2014","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 2010 to 2014","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 2000 to 2009","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 2000 to 2009","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 1990 to 1999","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 1990 to 1999","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 1989 or earlier","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 1989 or earlier"
"1600000US0603274","Avalon city, California","3743","35","857","296","0","12","25","41","331","200","48","56","303","191","150","111","2886","294","140","97","542","331","989","432","853","322","362","273","0","12"
"1600000US0686328","Woodland city, California","57876","247","31637","1232","540","272","1876","491","7434","901","11163","1221","5875","928","4749","610","26239","1264","1476","572","4746","806","13423","1242","5486","1156","928","380","180","176"
"1600000US0600212","Acton CDP, California","7171","513","6788","507","179","140","632","285","1270","306","2519","539","1034","351","1154","539","383","193","23","36","35","43","217","168","69","64","39","45","0","17"
"1600000US0602462","Arcadia city, California","57668","295","35045","1386","481","237","1344","452","5703","879","14007","1443","6413","892","7097","739","22623","1372","1681","584","4095","938","10485","1095","4016","839","1912","715","434","240"
"1600000US0604870","Bell city, California","35121","402","11192","1063","44","55","384","247","1486","395","2854","629","3175","777","3249","809","23929","1058","375","253","3321","748","9746","1026","7509","1130","2486","657","492","263"
"1600000US0611530","Carson city, California","91681","173","66715","2034","534","233","2305","600","11412","1378","19840","1688","15172","1767","17452","1317","24966","2022","1488","548","2931","712","9038","1263","7230","1302","3336","1119","943","380"
"1600000US0615044","Compton city, California","96671","227","51927","2031","817","337","2203","546","10808","1505","17461","1588","9698","1292","10940","1042","44744","2015","2389","787","5257","1117","18767","1567","13061","1466","3428","736","1842","534"
"1600000US0619192","Diamond Bar city, California","56228","104","42050","1292","524","266","2135","653","6430","953","13426","1375","10729","1437","8806","965","14178","1269","1239","478","3275","747","7185","1093","1906","643","452","250","121","104"
"1600000US0621096","East San Gabriel CDP, California","15808","660","9366","909","173","128","149","109","1682","593","3381","543","2165","602","1816","353","6442","824","442","226","1175","469","2769","524","1246","385","652","370","158","183"
"1600000US0684550","Westminster city, California","91040","150","49445","1842","673","410","2293","808","7719","1141","15817","1461","12002","1243","10941","1128","41595","1863","2033","568","6362","1092","18239","1444","11105","1326","3245","718","611","284"
"1600000US0646170","Marysville city, California","11690","151","5231","834","36","59","878","784","895","353","1973","695","622","295","827","234","6459","850","366","239","1562","552","3304","705","966","549","219","229","42","39"
"1600000US0657829","Plumas Lake CDP, California","7342","871","6365","880","58","50","1029","387","2651","712","2556","523","32","51","39","66","977","422","204","270","383","241","352","213","38","45","0","17","0","17"
"1600000US0658134","Ponderosa CDP, California","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1600000US0658422","Posey CDP, California","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1600000US0658436","Poso Park CDP, California","2","3","2","3","0","12","0","12","0","12","0","12","0","12","2","3","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1600000US0658478","Potrero CDP, California","625","416","555","410","0","12","0","12","555","410","0","12","0","12","0","12","70","89","0","12","0","12","15","23","0","12","55","88","0","12"
"1600000US0658506","Potter Valley CDP, California","412","127","269","123","0","12","25","26","73","69","45","38","61","59","65","67","143","85","6","9","22","23","41","52","13","19","15","25","46","67"
"1600000US0658758","Princeton CDP, California","297","104","179","69","0","12","19","28","53","52","20","26","30","18","57","32","118","85","0","12","0","12","95","84","14","14","9","13","0","12"
"1600000US0658814","Proberta CDP, California","165","170","165","170","0","12","0","12","0","12","0","12","0","12","165","170","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1600000US0659115","Rackerby CDP, California","189","97","112","56","0","12","0","12","4","6","52","48","13","15","43","29","77","83","0","12","64","81","7","12","6","9","0","12","0","12"
"1600000US0659896","Red Corral CDP, California","1838","505","1536","421","11","17","0","12","385","275","616","282","336","277","188","158","302","263","0","12","87","124","197","295","18","29","0","12","0","12"
"1600000US0659906","Redcrest CDP, California","23","29","23","29","0","12","0","12","0","12","0","12","23","29","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1600000US0660214","Redwood Valley CDP, California","1376","389","963","369","0","12","84","93","42","66","509","360","185","152","143","101","413","332","0","12","0","12","221","284","72","117","120","145","0","12"
"1600000US0660279","Reliez Valley CDP, California","3542","421","3294","438","96","138","133","116","940","401","800","326","585","334","740","222","248","150","28","32","29","34","191","151","0","12","0","12","0","12"
"1600000US0660592","Richfield CDP, California","272","110","182","91","0","12","0","12","73","63","49","49","36","36","24","21","90","73","0","12","61","61","18","33","11","19","0","12","0","12"
"1600000US0660662","Richvale CDP, California","99","59","99","59","0","12","0","12","0","12","15","23","59","59","25","40","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1600000US0660970","Rio Oso CDP, California","406","119","268","70","0","12","32","29","26","33","134","58","46","22","30","17","138","94","0","12","3","4","71","61","57","70","7","8","0","12"
"1600000US0672380","Smith River CDP, California","632","291","341","184","0","12","78","107","0","12","84","94","23","19","156","144","291","186","0","12","0","12","291","186","0","12","0","12","0","12"
"1600000US0672408","Snelling CDP, California","101","82","93","82","0","12","0","12","0","12","81","81","0","12","12","11","8","11","0","12","0","12","6","11","2","3","0","12","0","12"
"1600000US0672478","Soda Bay CDP, California","933","311","689","234","52","69","25","46","353","224","46","56","202","173","11","20","244","270","0","12","0","12","14","22","0","12","186","254","44","75"
"1600000US0672492","Soda Springs CDP, California","21","34","0","12","0","12","0","12","0","12","0","12","0","12","0","12","21","34","0","12","0","12","21","34","0","12","0","12","0","12"
"1600000US0673167","South Monrovia Island CDP, California","7060","760","4271","702","27","42","197","168","498","268","924","328","1301","486","1324","424","2789","836","0","17","282","214","1927","889","437","239","73","63","70","94"
"1600000US0673554","Spaulding CDP, California","110","53","101","53","0","12","0","12","34","37","47","30","20","22","0","12","9","13","0","12","0","12","9","13","0","12","0","12","0","12"
"1600000US0673690","Spring Valley CDP (Lake County), California","1081","291","603","127","14","32","34","45","39","44","453","126","54","38","9","14","478","270","0","12","132","127","179","164","167","206","0","12","0","12"
"1600000US0673696","Spring Valley CDP (San Diego County), California","31455","1246","18351","1141","235","138","907","365","3317","710","7103","1017","2509","638","4280","578","13104","1196","805","472","2685","724","5709","1079","3363","660","153","79","389","246"
"1600000US0673700","Spring Valley Lake CDP, California","7744","796","5290","899","95","156","390","271","1699","813","1566","486","776","440","764","448","2454","725","303","335","74","95","1746","640","331","333","0","17","0","17"
"1600000US0674130","Stevenson Ranch CDP, California","19364","679","15262","866","267","188","1394","416","3525","936","7193","901","2680","644","203","211","4102","576","507","316","659","309","2279","522","618","333","39","62","0","19"
"1600000US0674144","Stevinson CDP, California","331","125","117","75","0","12","50","50","37","49","0","12","23","33","7","12","214","122","0","12","3","7","211","123","0","12","0","12","0","12"
"1600000US0674186","Stirling City CDP, California","307","236","56","51","0","12","0","12","0","12","37","42","19","29","0","12","251","244","0","12","0","12","0","12","0","12","219","238","32","49"
"1600000US0675154","Stonyford CDP, California","133","62","84","52","0","12","4","7","7","9","46","53","12","9","15","9","49","39","0","12","0","12","20","27","0","12","26","28","3","6"
"1600000US0675315","Strawberry CDP (Marin County), California","5437","390","2781","367","72","117","154","127","929","299","742","281","475","220","409","109","2656","360","302","152","533","184","1249","306","445","181","94","77","33","23"
"1600000US0675322","Strawberry CDP (Tuolumne County), California","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1600000US0675588","Sugarloaf Mountain Park CDP, California","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1600000US0675592","Sugarloaf Saw Mill CDP, California","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1600000US0675596","Sugarloaf Village CDP, California","10","11","10","11","0","12","0","12","0","12","2","5","8","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1600000US0675672","Sultana CDP, California","1030","332","194","137","0","12","0","12","0","12","28","42","27","31","139","129","836","331","36","40","126","118","298","184","300","258","76","102","0","12"
"1600000US0675994","Sunnyside CDP, California","4445","785","3053","650","11","17","242","272","1126","497","675","236","388","187","611","223","1392","439","0","12","137","196","873","424","344","224","9","17","29","33"
"1600000US0676040","Sunny Slopes CDP, California","80","42","80","42","23","35","0","12","0","12","8","13","42","37","7","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1600000US0677960","Tarpey Village CDP, California","3381","622","2311","469","153","225","202","164","544","322","496","225","324","149","592","208","1070","476","0","12","393","328","594","304","38","57","45","187","0","12"
"1600000US0677308","Sun Village CDP, California","13516","1186","8245","1187","609","657","415","342","1394","444","2842","985","1543","534","1442","594","5271","1129","139","177","1045","773","2331","831","1115","589","624","794","17","34"
"1600000US0677430","Swall Meadows CDP, California","218","73","218","73","8","13","2","3","26","21","71","43","69","56","42","32","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1600000US0677728","Tahoma CDP, California","867","254","594","188","15","26","0","12","29","22","204","152","141","71","205","113","273","172","29","45","0","12","212","164","32","28","0","12","0","12"
"1600000US0678232","Terminous CDP, California","411","117","391","117","26","38","25","36","126","110","64","36","90","49","60","39","20","21","0","12","0","12","0","12","10","15","10","15","0","12"
"1600000US0678336","Teviston CDP, California","1027","434","268","182","0","12","0","12","0","12","150","140","43","63","75","65","759","397","75","118","0","12","169","209","515","388","0","12","0","12"
"1600000US0678456","Thermal CDP, California","1354","546","740","427","0","12","22","35","206","209","39","41","164","225","309","301","614","308","0","12","0","12","133","140","333","242","102","162","46","76"
"1600000US0678568","Thornton CDP, California","1038","235","409","168","18","30","10","34","58","67","152","119","93","94","78","47","629","194","0","12","175","146","181","122","222","116","0","12","51","50"
"1600000US0606070","Berry Creek CDP, California","1241","229","965","212","92","68","54","49","217","135","250","107","195","96","157","69","276","126","14","20","0","12","193","102","69","56","0","12","0","12"
"1600000US0606336","Bieber CDP, California","178","106","146","89","3","5","20","37","36","56","37","46","0","12","50","35","32","49","0","12","0","12","0","12","32","49","0","12","0","12"
"1600000US0606518","Big Creek CDP, California","181","80","34","27","0","12","0","12","17","25","0","12","6","8","11","10","147","75","0","12","72","69","75","51","0","12","0","12","0","12"
"1600000US0606567","Big Lagoon CDP, California","118","53","107","53","4","6","0","12","41","40","45","32","7","10","10","10","11","11","0","12","6","9","0","12","5","7","0","12","0","12"
"1600000US0606928","Blackhawk CDP, California","9860","681","8996","696","205","122","743","405","2462","527","2467","526","2444","490","675","251","864","336","37","60","43","46","730","331","54","85","0","17","0","17"
"1600000US0606935","Blacklake CDP, California","892","282","836","280","0","12","189","278","194","117","268","178","185","132","0","12","56","62","0","12","0","12","56","62","0","12","0","12","0","12"
