GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Householder who is White alone,Margin of Error; Total: - Householder who is White alone,Estimate; Total: - Householder who is Black or African American alone,Margin of Error; Total: - Householder who is Black or African American alone,Estimate; Total: - Householder who is American Indian and Alaska Native alone,Margin of Error; Total: - Householder who is American Indian and Alaska Native alone,Estimate; Total: - Householder who is Asian alone,Margin of Error; Total: - Householder who is Asian alone,Estimate; Total: - Householder who is Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Householder who is Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Householder who is Some other race alone,Margin of Error; Total: - Householder who is Some other race alone,Estimate; Total: - Householder who is Two or more races:,Margin of Error; Total: - Householder who is Two or more races:,Estimate; Total: - Householder who is Two or more races: - Householder who is Two races including Some other race,Margin of Error; Total: - Householder who is Two or more races: - Householder who is Two races including Some other race,"Estimate; Total: - Householder who is Two or more races: - Householder who is Two races excluding Some other race, and three or more races","Margin of Error; Total: - Householder who is Two or more races: - Householder who is Two races excluding Some other race, and three or more races"
1500000US060371011101,060371011101,"Block Group 1, Census Tract 1011.10, Los Angeles County, California",621,96,525,85,0,12,0,12,8,12,0,12,80,64,8,14,0,12,8,14
1500000US060371011102,060371011102,"Block Group 2, Census Tract 1011.10, Los Angeles County, California",597,94,403,94,25,39,0,12,42,24,0,12,122,52,5,9,0,12,5,9
1500000US060371011103,060371011103,"Block Group 3, Census Tract 1011.10, Los Angeles County, California",427,98,346,100,0,12,0,12,41,32,0,12,40,41,0,12,0,12,0,12
1500000US060371011221,060371011221,"Block Group 1, Census Tract 1011.22, Los Angeles County, California",785,100,599,97,0,12,17,21,102,68,0,12,34,33,33,42,0,12,33,42
1500000US060371011222,060371011222,"Block Group 2, Census Tract 1011.22, Los Angeles County, California",433,99,364,92,15,28,0,12,52,46,0,12,0,12,2,8,2,8,0,12
1500000US060371012101,060371012101,"Block Group 1, Census Tract 1012.10, Los Angeles County, California",917,142,610,138,18,29,0,12,0,12,0,12,250,108,39,43,16,26,23,34
1500000US060371012102,060371012102,"Block Group 2, Census Tract 1012.10, Los Angeles County, California",1382,132,1068,158,63,59,0,12,22,36,0,12,170,92,59,58,0,12,59,58
1500000US060371012201,060371012201,"Block Group 1, Census Tract 1012.20, Los Angeles County, California",377,66,214,57,0,12,0,12,35,26,0,12,104,48,24,30,0,12,24,30
1500000US060371012202,060371012202,"Block Group 2, Census Tract 1012.20, Los Angeles County, California",787,80,561,85,14,23,0,12,121,47,0,12,50,45,41,34,14,22,27,26
1500000US060371013001,060371013001,"Block Group 1, Census Tract 1013, Los Angeles County, California",420,86,370,90,0,12,6,9,25,24,0,12,6,11,13,20,0,12,13,20
1500000US060371013002,060371013002,"Block Group 2, Census Tract 1013, Los Angeles County, California",429,66,322,71,10,16,0,12,97,40,0,12,0,12,0,12,0,12,0,12
1500000US060371013003,060371013003,"Block Group 3, Census Tract 1013, Los Angeles County, California",348,93,325,91,0,12,0,12,0,12,0,12,23,36,0,12,0,12,0,12
1500000US060371013004,060371013004,"Block Group 4, Census Tract 1013, Los Angeles County, California",338,74,310,73,0,12,0,12,18,25,0,12,10,17,0,12,0,12,0,12
1500000US060371014001,060371014001,"Block Group 1, Census Tract 1014, Los Angeles County, California",383,79,334,75,0,12,0,12,0,12,0,12,49,49,0,12,0,12,0,12
1500000US060371014002,060371014002,"Block Group 2, Census Tract 1014, Los Angeles County, California",605,75,489,74,27,42,0,12,32,26,0,12,57,52,0,12,0,12,0,12
1500000US060371014003,060371014003,"Block Group 3, Census Tract 1014, Los Angeles County, California",510,84,388,94,0,12,0,12,48,29,0,12,43,40,31,35,0,12,31,35
1500000US060371021031,060371021031,"Block Group 1, Census Tract 1021.03, Los Angeles County, California",680,46,624,53,0,12,0,12,37,26,0,12,16,26,3,7,0,12,3,7
1500000US060371021041,060371021041,"Block Group 1, Census Tract 1021.04, Los Angeles County, California",794,126,662,112,13,20,0,12,102,65,0,12,17,26,0,12,0,12,0,12
1500000US060371021042,060371021042,"Block Group 2, Census Tract 1021.04, Los Angeles County, California",500,123,413,103,0,12,0,12,54,65,0,12,0,12,33,49,33,49,0,12
1500000US060371021051,060371021051,"Block Group 1, Census Tract 1021.05, Los Angeles County, California",231,45,178,51,0,12,0,12,17,15,0,12,23,18,13,13,6,9,7,10
1500000US060371021052,060371021052,"Block Group 2, Census Tract 1021.05, Los Angeles County, California",346,45,218,69,24,29,5,8,40,43,0,12,59,51,0,12,0,12,0,12
1500000US060371021071,060371021071,"Block Group 1, Census Tract 1021.07, Los Angeles County, California",816,89,649,103,0,12,8,13,83,44,16,18,53,46,7,11,0,12,7,11
1500000US060371021072,060371021072,"Block Group 2, Census Tract 1021.07, Los Angeles County, California",442,78,370,89,0,12,0,12,72,71,0,12,0,12,0,12,0,12,0,12
1500000US060371031011,060371031011,"Block Group 1, Census Tract 1031.01, Los Angeles County, California",594,58,505,65,0,12,7,10,56,23,0,12,26,27,0,12,0,12,0,12
1500000US060371031012,060371031012,"Block Group 2, Census Tract 1031.01, Los Angeles County, California",324,45,289,46,0,12,0,12,14,22,0,12,3,8,18,17,0,12,18,17
1500000US060371031021,060371031021,"Block Group 1, Census Tract 1031.02, Los Angeles County, California",278,64,223,61,0,12,0,12,30,48,0,12,0,12,25,25,0,12,25,25
1500000US060371031022,060371031022,"Block Group 2, Census Tract 1031.02, Los Angeles County, California",277,87,226,75,33,54,9,13,9,16,0,12,0,12,0,12,0,12,0,12
1500000US060371031023,060371031023,"Block Group 3, Census Tract 1031.02, Los Angeles County, California",353,78,281,76,0,12,0,12,46,45,0,12,13,17,13,20,0,12,13,20
1500000US060371031024,060371031024,"Block Group 4, Census Tract 1031.02, Los Angeles County, California",278,68,197,63,0,12,0,12,31,29,0,12,29,42,21,25,0,12,21,25
1500000US060371031025,060371031025,"Block Group 5, Census Tract 1031.02, Los Angeles County, California",434,89,308,75,0,12,0,12,106,70,0,12,0,12,20,24,0,12,20,24
1500000US060371032001,060371032001,"Block Group 1, Census Tract 1032, Los Angeles County, California",738,156,572,165,56,67,0,12,42,39,0,12,14,23,54,83,0,12,54,83
1500000US060371032002,060371032002,"Block Group 2, Census Tract 1032, Los Angeles County, California",561,121,503,126,0,12,0,12,43,35,0,12,15,24,0,12,0,12,0,12
1500000US060371032003,060371032003,"Block Group 3, Census Tract 1032, Los Angeles County, California",874,168,701,172,16,26,0,12,96,80,0,12,48,59,13,21,0,12,13,21
1500000US060371033001,060371033001,"Block Group 1, Census Tract 1033, Los Angeles County, California",613,77,564,80,8,13,0,12,26,19,0,12,0,12,15,21,5,11,10,17
1500000US060371033002,060371033002,"Block Group 2, Census Tract 1033, Los Angeles County, California",591,86,534,84,0,12,0,12,19,20,0,12,11,19,27,26,0,12,27,26
1500000US060371034001,060371034001,"Block Group 1, Census Tract 1034, Los Angeles County, California",491,129,392,120,9,14,0,12,14,24,34,44,13,20,29,35,0,12,29,35
1500000US060371034002,060371034002,"Block Group 2, Census Tract 1034, Los Angeles County, California",280,102,239,95,0,12,0,12,0,12,0,12,22,38,19,31,0,12,19,31
1500000US060371034003,060371034003,"Block Group 3, Census Tract 1034, Los Angeles County, California",247,93,247,93,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371034004,060371034004,"Block Group 4, Census Tract 1034, Los Angeles County, California",388,101,372,101,0,12,0,12,16,27,0,12,0,12,0,12,0,12,0,12
1500000US060371034005,060371034005,"Block Group 5, Census Tract 1034, Los Angeles County, California",993,173,727,162,98,78,15,24,111,58,0,12,42,67,0,12,0,12,0,12
1500000US060371041031,060371041031,"Block Group 1, Census Tract 1041.03, Los Angeles County, California",376,61,236,59,42,25,13,15,38,21,0,12,42,23,5,8,0,12,5,8
1500000US060371041032,060371041032,"Block Group 2, Census Tract 1041.03, Los Angeles County, California",414,59,199,48,101,26,0,12,57,27,7,10,50,34,0,12,0,12,0,12
1500000US060371041051,060371041051,"Block Group 1, Census Tract 1041.05, Los Angeles County, California",445,88,235,96,49,34,0,12,85,47,0,12,76,48,0,12,0,12,0,12
1500000US060371041052,060371041052,"Block Group 2, Census Tract 1041.05, Los Angeles County, California",1082,94,757,104,87,44,0,12,35,29,0,12,184,78,19,23,19,23,0,12
1500000US060371041081,060371041081,"Block Group 1, Census Tract 1041.08, Los Angeles County, California",436,84,258,86,76,49,0,12,27,23,0,12,75,52,0,12,0,12,0,12
1500000US060371041082,060371041082,"Block Group 2, Census Tract 1041.08, Los Angeles County, California",642,90,445,93,78,50,10,16,61,51,0,12,41,38,7,12,7,12,0,12
1500000US060371041083,060371041083,"Block Group 3, Census Tract 1041.08, Los Angeles County, California",280,82,68,39,96,59,0,12,14,22,0,12,77,59,25,33,0,12,25,33
1500000US060371041241,060371041241,"Block Group 1, Census Tract 1041.24, Los Angeles County, California",473,94,311,87,17,21,0,12,10,15,0,12,122,80,13,23,0,12,13,23
1500000US060371041242,060371041242,"Block Group 2, Census Tract 1041.24, Los Angeles County, California",440,105,232,67,165,90,0,12,31,38,0,12,12,14,0,12,0,12,0,12
1500000US060371041243,060371041243,"Block Group 3, Census Tract 1041.24, Los Angeles County, California",327,95,247,84,40,59,0,12,14,21,0,12,26,30,0,12,0,12,0,12
1500000US060371042011,060371042011,"Block Group 1, Census Tract 1042.01, Los Angeles County, California",254,58,145,52,58,32,5,8,0,12,0,12,46,36,0,12,0,12,0,12
1500000US060371042012,060371042012,"Block Group 2, Census Tract 1042.01, Los Angeles County, California",400,55,223,61,94,47,0,12,0,12,0,12,79,42,4,7,0,12,4,7
1500000US060371042013,060371042013,"Block Group 3, Census Tract 1042.01, Los Angeles County, California",243,61,137,47,56,37,0,12,0,12,0,12,44,30,6,9,6,9,0,12
1500000US060371042031,060371042031,"Block Group 1, Census Tract 1042.03, Los Angeles County, California",544,63,328,77,19,21,0,12,43,42,0,12,137,61,17,18,9,14,8,12
1500000US060371042032,060371042032,"Block Group 2, Census Tract 1042.03, Los Angeles County, California",490,72,302,77,91,47,0,12,0,12,0,12,97,53,0,12,0,12,0,12
1500000US060371042041,060371042041,"Block Group 1, Census Tract 1042.04, Los Angeles County, California",304,51,147,49,56,30,8,12,4,6,0,12,89,39,0,12,0,12,0,12
1500000US060371042042,060371042042,"Block Group 2, Census Tract 1042.04, Los Angeles County, California",400,52,273,52,11,11,0,12,51,25,0,12,34,24,31,19,6,9,25,17
1500000US060371043101,060371043101,"Block Group 1, Census Tract 1043.10, Los Angeles County, California",233,52,134,46,20,17,6,9,0,12,0,12,68,37,5,7,5,7,0,12
1500000US060371043102,060371043102,"Block Group 2, Census Tract 1043.10, Los Angeles County, California",383,70,226,56,50,39,5,8,0,12,0,12,93,44,9,10,0,12,9,10
1500000US060371043103,060371043103,"Block Group 3, Census Tract 1043.10, Los Angeles County, California",242,49,188,47,0,12,5,8,0,12,0,12,43,28,6,10,6,10,0,12
1500000US060371043201,060371043201,"Block Group 1, Census Tract 1043.20, Los Angeles County, California",489,105,351,111,33,39,0,12,0,12,0,12,89,48,16,20,16,20,0,12
1500000US060371043202,060371043202,"Block Group 2, Census Tract 1043.20, Los Angeles County, California",299,97,80,55,31,40,0,12,85,64,0,12,103,84,0,12,0,12,0,12
1500000US060371043203,060371043203,"Block Group 3, Census Tract 1043.20, Los Angeles County, California",224,72,111,63,0,12,14,23,0,12,0,12,99,56,0,12,0,12,0,12
1500000US060371043204,060371043204,"Block Group 4, Census Tract 1043.20, Los Angeles County, California",152,73,57,51,50,45,0,12,0,12,0,12,45,44,0,12,0,12,0,12
1500000US060371044011,060371044011,"Block Group 1, Census Tract 1044.01, Los Angeles County, California",306,58,248,61,0,12,0,12,0,12,0,12,58,32,0,12,0,12,0,12
1500000US060371044012,060371044012,"Block Group 2, Census Tract 1044.01, Los Angeles County, California",399,55,272,61,0,12,0,12,0,12,8,11,119,44,0,12,0,12,0,12
1500000US060371044031,060371044031,"Block Group 1, Census Tract 1044.03, Los Angeles County, California",381,65,275,68,5,7,0,12,5,7,0,12,96,43,0,12,0,12,0,12
1500000US060371044032,060371044032,"Block Group 2, Census Tract 1044.03, Los Angeles County, California",251,53,155,53,0,12,5,7,0,12,0,12,84,40,7,12,0,12,7,12
1500000US060371044041,060371044041,"Block Group 1, Census Tract 1044.04, Los Angeles County, California",213,49,150,46,13,17,0,12,5,7,0,12,45,25,0,12,0,12,0,12
1500000US060371044042,060371044042,"Block Group 2, Census Tract 1044.04, Los Angeles County, California",390,59,277,61,15,18,6,9,0,12,0,12,84,38,8,15,0,12,8,15
1500000US060371045001,060371045001,"Block Group 1, Census Tract 1045, Los Angeles County, California",133,42,91,36,0,12,0,12,0,12,0,12,36,22,6,9,6,9,0,12
1500000US060371045002,060371045002,"Block Group 2, Census Tract 1045, Los Angeles County, California",482,61,333,67,0,12,4,7,6,9,0,12,120,53,19,18,19,18,0,12
1500000US060371046101,060371046101,"Block Group 1, Census Tract 1046.10, Los Angeles County, California",482,59,337,50,0,12,0,12,0,12,0,12,129,45,16,20,0,12,16,20
1500000US060371046102,060371046102,"Block Group 2, Census Tract 1046.10, Los Angeles County, California",231,51,175,49,0,12,0,12,0,12,0,12,49,29,7,10,7,10,0,12
1500000US060371046201,060371046201,"Block Group 1, Census Tract 1046.20, Los Angeles County, California",240,61,175,54,0,12,0,12,0,12,0,12,65,36,0,12,0,12,0,12
1500000US060371046202,060371046202,"Block Group 2, Census Tract 1046.20, Los Angeles County, California",481,59,346,61,0,12,0,12,3,5,0,12,127,53,5,9,5,9,0,12
1500000US060371047011,060371047011,"Block Group 1, Census Tract 1047.01, Los Angeles County, California",291,53,168,45,23,16,0,12,0,12,0,12,80,36,20,21,8,11,12,18
1500000US060371047012,060371047012,"Block Group 2, Census Tract 1047.01, Los Angeles County, California",422,53,263,54,44,39,0,12,0,12,0,12,111,45,4,6,0,12,4,6
1500000US060371047013,060371047013,"Block Group 3, Census Tract 1047.01, Los Angeles County, California",178,47,125,47,10,14,0,12,0,12,0,12,43,25,0,12,0,12,0,12
1500000US060371047031,060371047031,"Block Group 1, Census Tract 1047.03, Los Angeles County, California",344,60,213,64,32,39,0,12,0,12,0,12,99,47,0,12,0,12,0,12
1500000US060371047032,060371047032,"Block Group 2, Census Tract 1047.03, Los Angeles County, California",240,46,170,44,6,9,17,26,0,12,0,12,40,27,7,8,7,8,0,12
1500000US060371047041,060371047041,"Block Group 1, Census Tract 1047.04, Los Angeles County, California",1114,71,659,105,175,54,9,16,51,25,0,12,214,79,6,10,0,12,6,10
