GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1600000US0600135,0600135,"Acalanes Ridge CDP, California",1111,307,1092,305,737,252,0,12,0,12,224,142,0,12,0,12,131,123,0,12,131,123,19,31,19,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1600000US0600156,0600156,"Acampo CDP, California",666,697,237,217,237,217,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,429,663,429,663,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1600000US0600212,0600212,"Acton CDP, California",7022,698,5823,563,5526,586,22,25,18,31,95,77,0,17,60,95,102,68,0,17,102,68,1199,322,594,261,1,3,0,17,0,17,0,17,587,235,17,19,6,9,11,17
1600000US0600296,0600296,"Adelanto city, California",31376,39,15069,1236,6252,1178,6509,1448,6,10,661,339,170,240,9,15,1462,741,32,50,1430,700,16307,1237,11786,1291,95,100,110,89,40,45,12,21,3545,993,719,293,448,226,271,172
1600000US0600310,0600310,"Adin CDP, California",289,134,278,129,275,123,0,12,3,9,0,12,0,12,0,12,0,12,0,12,0,12,11,19,11,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1600000US0600394,0600394,"Agoura Hills city, California",20488,32,18133,602,15776,748,329,273,15,23,1426,284,0,23,52,47,535,227,25,30,510,224,2355,602,1350,445,0,23,0,23,13,24,0,23,785,543,207,121,142,114,65,71
1600000US0600450,0600450,"Agua Dulce CDP, California",3161,604,2402,437,2043,410,0,12,0,12,12,20,0,12,0,12,347,302,0,12,347,302,759,371,395,276,0,12,0,12,10,16,0,12,105,98,249,326,23,35,226,329
1600000US0600464,0600464,"Aguanga CDP, California",1119,430,1012,400,965,397,30,47,0,12,0,12,0,12,0,12,17,28,0,12,17,28,107,114,40,40,0,12,0,12,0,12,0,12,67,106,0,12,0,12,0,12
1600000US0600478,0600478,"Ahwahnee CDP, California",1788,487,1775,484,1735,482,0,12,26,47,1,2,0,12,0,12,13,18,0,12,13,18,13,20,1,2,0,12,0,12,0,12,0,12,0,12,12,19,12,19,0,12
