GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1500000US060371011101,060371011101,"Block Group 1, Census Tract 1011.10, Los Angeles County, California",387200,47455
1500000US060371011102,060371011102,"Block Group 2, Census Tract 1011.10, Los Angeles County, California",346500,19982
1500000US060371011103,060371011103,"Block Group 3, Census Tract 1011.10, Los Angeles County, California",334100,54921
1500000US060371011221,060371011221,"Block Group 1, Census Tract 1011.22, Los Angeles County, California",458500,39002
1500000US060371011222,060371011222,"Block Group 2, Census Tract 1011.22, Los Angeles County, California",453800,48488
1500000US060371012101,060371012101,"Block Group 1, Census Tract 1012.10, Los Angeles County, California",303700,40824
1500000US060371012102,060371012102,"Block Group 2, Census Tract 1012.10, Los Angeles County, California",296900,56849
1500000US060371012201,060371012201,"Block Group 1, Census Tract 1012.20, Los Angeles County, California",424500,69063
1500000US060371012202,060371012202,"Block Group 2, Census Tract 1012.20, Los Angeles County, California",317700,63516
1500000US060371013001,060371013001,"Block Group 1, Census Tract 1013, Los Angeles County, California",461900,18850
1500000US060371013002,060371013002,"Block Group 2, Census Tract 1013, Los Angeles County, California",443800,46818
1500000US060371013003,060371013003,"Block Group 3, Census Tract 1013, Los Angeles County, California",446100,24178
1500000US060371013004,060371013004,"Block Group 4, Census Tract 1013, Los Angeles County, California",421800,66847
1500000US060371014001,060371014001,"Block Group 1, Census Tract 1014, Los Angeles County, California",232300,71212
1500000US060371014002,060371014002,"Block Group 2, Census Tract 1014, Los Angeles County, California",494300,56354
1500000US060371014003,060371014003,"Block Group 3, Census Tract 1014, Los Angeles County, California",451900,48273
1500000US060371021031,060371021031,"Block Group 1, Census Tract 1021.03, Los Angeles County, California",466700,26376
1500000US060371021041,060371021041,"Block Group 1, Census Tract 1021.04, Los Angeles County, California",418800,20724
1500000US060371021042,060371021042,"Block Group 2, Census Tract 1021.04, Los Angeles County, California",492500,75263
1500000US060371021051,060371021051,"Block Group 1, Census Tract 1021.05, Los Angeles County, California",420900,51927
1500000US060371021052,060371021052,"Block Group 2, Census Tract 1021.05, Los Angeles County, California",381500,47715
