GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1600000US0600135,0600135,"Acalanes Ridge CDP, California",896000,71359
1600000US0600156,0600156,"Acampo CDP, California",-,**
1600000US0600212,0600212,"Acton CDP, California",497700,32252
1600000US0600296,0600296,"Adelanto city, California",151600,10957
1600000US0600310,0600310,"Adin CDP, California",112500,51008
1600000US0600394,0600394,"Agoura Hills city, California",745000,32766
1600000US0600450,0600450,"Agua Dulce CDP, California",585500,39721
1600000US0600464,0600464,"Aguanga CDP, California",215900,107976
1600000US0600478,0600478,"Ahwahnee CDP, California",326000,34894
1600000US0600535,0600535,"Airport CDP, California",158200,82510
1600000US0600562,0600562,"Alameda city, California",729100,15849
1600000US0600618,0600618,"Alamo CDP, California",1517700,43068
1600000US0600674,0600674,"Albany city, California",766000,42045
1600000US0600716,0600716,"Albion CDP, California",420400,110572
1600000US0600786,0600786,"Alderpoint CDP, California",-,**
1600000US0600884,0600884,"Alhambra city, California",553800,10229
1600000US0600898,0600898,"Alhambra Valley CDP, California",937500,119887
1600000US0600947,0600947,"Aliso Viejo city, California",582300,13770
1600000US0600982,0600982,"Alleghany CDP, California",-,**
1600000US0600996,0600996,"Allendale CDP, California",600300,64068
1600000US0601010,0601010,"Allensworth CDP, California",85700,6812
1600000US0601094,0601094,"Almanor CDP, California",-,**
1600000US0601150,0601150,"Alondra Park CDP, California",496900,32946
1600000US0601164,0601164,"Alpaugh CDP, California",77500,20197
1600000US0601192,0601192,"Alpine CDP, California",526200,29145
1600000US0601228,0601228,"Alpine Village CDP, California",292900,198929
1600000US0601276,0601276,"Alta CDP, California",357900,46236
1600000US0601290,0601290,"Altadena CDP, California",649800,13510
1600000US0601360,0601360,"Alta Sierra CDP, California",343800,24550
1600000US0601416,0601416,"Alto CDP, California",1701900,928066
1600000US0601444,0601444,"Alturas city, California",95800,11295
1600000US0601458,0601458,"Alum Rock CDP, California",511600,31798
1600000US0601514,0601514,"Amador City city, California",271900,98378
1600000US0601640,0601640,"American Canyon city, California",418600,18229
1600000US0601651,0601651,"Amesti CDP, California",405900,71487
1600000US0602000,0602000,"Anaheim city, California",491400,5311
1600000US0602028,0602028,"Anchor Bay CDP, California",660200,78877
1600000US0602042,0602042,"Anderson city, California",174000,8937
1600000US0602112,0602112,"Angels city, California",268700,44428
1600000US0602168,0602168,"Angwin CDP, California",644400,109421
1600000US0602210,0602210,"Antelope CDP, California",275000,5594
1600000US0602252,0602252,"Antioch city, California",330900,5387
