"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"1600000US0600156","Acampo CDP, California","-","**"
"1600000US0600982","Alleghany CDP, California","-","**"
"1600000US0601094","Almanor CDP, California","-","**"
"1600000US0603026","Aspen Springs CDP, California","-","**"
"1600000US0603092","Atherton town, California","2,000,000+","***"
"1600000US0604576","Beale AFB CDP, California","-","**"
"1600000US0604632","Bear Creek CDP, California","-","**"
"1600000US0604856","Belden CDP, California","-","**"
"1600000US0605164","Belvedere city, California","2,000,000+","***"
"1600000US0606308","Beverly Hills city, California","2,000,000+","***"
"1600000US0606336","Bieber CDP, California","-","**"
"1600000US0606994","Blairsden CDP, California","-","**"
"1600000US0607750","Bowles CDP, California","-","**"
"1600000US0608716","Buck Meadows CDP, California","-","**"
"1600000US0608744","Bucks Lake CDP, California","-","**"
"1600000US0609318","Butte Meadows CDP, California","-","**"
"1600000US0609822","California Hot Springs CDP, California","-","**"
"1600000US0609990","Calpella CDP, California","-","**"
"1600000US0610004","Calpine CDP, California","-","**"
"1600000US0610494","Camp Nelson CDP, California","-","**"
"1600000US0610559","Camp Pendleton North CDP, California","-","**"
"1600000US0610561","Camp Pendleton South CDP, California","-","**"
"1600000US0610732","Canby CDP, California","-","**"
"1600000US0610914","Canyondam CDP, California","-","**"
"1600000US0611166","Caribou CDP, California","-","**"
"1600000US0611376","Carmet CDP, California","-","**"
"1600000US0611481","Carrick CDP, California","-","**"
"1600000US0611600","Cartago CDP, California","-","**"
"1600000US0611782","Cassel CDP, California","-","**"
"1600000US0612314","Cedar Slope CDP, California","-","**"
"1600000US0614008","Cleone CDP, California","-","**"
"1600000US0614106","Clio CDP, California","-","**"
"1600000US0614148","Clipper Mills CDP, California","-","**"
"1600000US0614454","Cold Springs CDP (Tuolumne County), California","-","**"
"1600000US0615030","Comptche CDP, California","-","**"
"1600000US0616714","Courtland CDP, California","-","**"
"1600000US0616762","Cowan CDP, California","-","**"
"1600000US0617232","Creston CDP, California","-","**"
"1600000US0617995","Daphnedale Park CDP, California","-","**"
"1600000US0618450","Delft Colony CDP, California","-","**"
"1600000US0618506","Del Mar city, California","2,000,000+","***"
"1600000US0619150","Diablo CDP, California","2,000,000+","***"
"1600000US0619976","Drytown CDP, California","-","**"
"1600000US0620424","Eagleville CDP, California","-","**"
"1600000US0621138","East Shore CDP, California","-","**"
"1600000US0621600","Edwards AFB CDP, California","-","**"
"1600000US0622146","Elmira CDP, California","-","**"
"1600000US0622286","El Nido CDP, California","-","**"
"1600000US0622360","El Rancho CDP, California","-","**"
"1600000US0623150","Fairbanks Ranch CDP, California","2,000,000+","***"
"1600000US0623532","Fall River Mills CDP, California","-","**"
"1600000US0623630","Farmington CDP, California","-","**"
"1600000US0623980","Fiddletown CDP, California","-","**"
"1600000US0624022","Fields Landing CDP, California","-","**"
"1600000US0624218","Fish Camp CDP, California","-","**"
"1600000US0624526","Floriston CDP, California","-","**"
"1600000US0625114","Fort Irwin CDP, California","-","**"
"1600000US0625590","Freeport CDP, California","-","**"
"1600000US0630339","Gold Mountain CDP, California","-","**"
"1600000US0630420","Goodyears Bar CDP, California","-","**"
