City,County,Date of Agreement to Switch,Date of First Election,Phase-in? x/y districts and when,Means of Conversion (No Threat/Letter/Settlement/Always),Decided by Ballot Initiative or City Council?,Date of Letter Receipt/Suit Filed?,Sender?,Resisting/Fought Switch?,Notes,Permits?,Source 1,Source 2,Source 3,Population (2017),Households,Hi Segregation?,Latino Population,Non-Hispanic White,Multifamily permitting,Post years (2019 - Conversion - 1 for lag),Suitability,Council minutes,Planning Commission minutes,Additional Commission minutes,Always
San Francisco,San Francisco,2000,2002,"5/11 (2000), 6/11 (2002)",,,,,,,,http://s10294.pcdn.co/wp-content/uploads/2016/11/CVRA-White-Paper-2.pdf,https://en.wikipedia.org/wiki/San_Francisco_Board_of_Supervisors,,884363,,,,,,16,"Too early, no post treatment",,,,0
Modesto,Stanislaus,2008,2009,"3/6 (2009), 3/6 (2011)",Settlement,,,Modesto residents,,"$3m fees, $1.7m for own lawyers",,https://www.modbee.com/news/politics-government/election/article3114754.html,,,214221,71371,1,28.8,49.4,150 permits over 8 years,8,Too few multifamily permits,,,,0
Madera,Madera,2010,2012,,,Ballot,,,,,,,,,65508,17134,1,69.8,49.9 (all white),125 over 9 years,6,"Too few permits, too high population",,,,0
Sanger,Fresno,2010,2012,"Measure L, 2/4 in 12, 2/4 in 14",No Threat,Ballot,,,,,,,,,25161,6957,,80.5,59.6 (all white),56 permits over 9 years,6,,,,,0
Chula Vista,San Diego,2012,2016,"2/4 (2016), 2/4 (2018)",No Threat,,,,,,,http://www.sandiegouniontribune.com/sdut-commission-oks-plan-chula-vista-council-districts-2015jun17-htmlstory.html,https://www.chulavistaca.gov/departments/city-clerk/elections,,270471,,,58.2,,,,,,,,0
Compton,Los Angeles,2012,2013,Measure B,Settlement,Ballot,2010,Citizens,,,,"https://ballotpedia.org/Compton_Formation_of_City_Council_Districts,_Measure_B_(June_2012)",https://latimesblogs.latimes.com/lanow/2012/02/compton-latino-voting-rights-lawsuit-settlement.html,,97612,23641,1,65,0.8; 25.9 (all white),56 permits over 9 years,5,,,,,0
Tulare,Tulare,2012,2014,Measure A,No Threat,Ballot,,,,"$500,000 settlement for healthcare district (2009)",,,,,63855,18472,1,50,61.3 (all white),350 permits over 9 years,4,Good segregation but Hispanic population too high,,,,0
Escondido,San Diego,2013,2014,"3/5 (2014), 2/5 (2016)",,,,,,,Have permits in pdf form,https://www.sacbee.com/news/politics-government/article2587092.html,https://www.kpbs.org/news/2014/nov/04/escondido-mayoral-council-races-could-change-face-/,,151969,45144,1,36.8,40.4; 60.4 (all white),1038 permits over 9 years,4,"This could work, but most densely populated areas uniformly Hispanic",https://www.escondido.org/meeting-minutes.aspx,https://www.escondido.org/minutes.aspx,,0
Los Banos,Merced ,2014,2016,,Letter,,,Community Advocacy Coalition,,,,,,,39183,,,,,,,,,,,0
Santa Barbara,Santa Barbara,2014,2015,"3/6 (2015), 3/6 (2017)",Settlement,,,,,"$600,000 settlement in Feb '15, but begun negotiations in '14",,https://www.noozhawk.com/article/santa_barbara_politics_district_elections_20150329,,,92101,36114,1,27.2,52.2; 75.1 (all white),484 permits over 9 years,3,"Good potential, densely populated areas equally white and Hispanic",http://santabarbara.granicus.com/ViewPublisher.php?view_id=6,https://www.santabarbaraca.gov/gov/brdcomm/nz/planning/archives/2018.asp,https://www.santabarbaraca.gov/gov/brdcomm/ac/abr/agendas.asp,0
Turlock,Stanislaus,2014,2016,"2/4 (2016), 2/4 (2018)",Letter,Ballot,2013,,,,,https://www.ca-ilg.org/case-story/city-turlock-district-elections,,,73556,,,,,,,,,,,0
Whittier,Los Angeles,2014,2016,First opening,Settlement,Ballot,2013,Shenkman,,$1m settlement,,https://www.dailybreeze.com/2013/08/05/suit-filed-challenging-at-large-voting-in-whittier-city-elections/,,,86838,,,,,,,,,,,0
Woodland,Yolo,2014,2016,Measure U,Letter,Ballot,,Shenkman,,,,https://www.sacbee.com/news/local/article203727479.html,,,60012,,,,,,,,,,,0
